"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"CC","GO:0005759","mitochondrial matrix",392,-0.667247859428494,-2.02697222191733,1e-10,7.74222222222222e-08,6.68538011695907e-08,2324,"tags=43%, list=20%, signal=35%","IVD/PDHA1/PPTC7/CS/TXN2/ETHE1/MIPEP/HIBADH/MTERF2/MRPL32/MRPS33/FLAD1/TRMT61B/COASY/MRPL17/TBRG4/CHPF/TRAP1/FPGS/IDH3A/PDP1/PDK2/WARS2/MRPS5/MRPL18/PRIMPOL/NUDT13/PCCB/D2HGDH/SUCLA2/LARS2/NFS1/PUS1/DNAJA3/FASTKD2/BTD/MRPL13/ETFDH/MCCC2/TRIT1/CLPP/MRPL24/HAGH/DMGDH/VDAC2/SDHAF3/MECR/MRPS22/AK4/PARS2/PMPCB/COQ5/ALDH2/ACADSB/MRPL55/C1QBP/NAGS/SOD1/ME3/GADD45GIP1/HSPA9/TRUB2/ALKBH7/MTERF4/MRPS9/ALDH7A1/ALDH1L2/NDUFAF1/SIRT5/ALDH5A1/HOGA1/ACADVL/SDHAF2/MRPS34/CHCHD1/NUBPL/ISCA2/THEM4/HMGCL/MRPS18B/AADAT/LONP1/GOT2/MRPL21/NARS2/ABHD10/AGXT/NDUFA9/DHTKD1/PDPR/MARS2/SARDH/HADHB/ACO2/PDK3/IDH3G/ACSS3/ARL2BP/HSD17B10/NUDT2/NDUFS7/SOD2/NT5M/TFB2M/TIMM44/SHMT2/GPT2/HSPD1/SMDT1/PRDX5/TSFM/BCKDHB/ACADS/MRPS26/PCCA/HSD17B8/GCSH/OAT/DBT/ACADM/DNAJC19/TMLHE/ACAA2/SCO2/PHYKPL/FH/ALAS1/ALDH6A1/AGXT2/GLDC/LRRC59/ETFA/GSTK1/ALDH4A1/OTC/AUH/LIAS/SUCLG2/SUOX/DLD/ABAT/PCK2/PTCD1/MRPL44/MPV17L2/COQ3/GCDH/ACAD8/ACADL/GRPEL1/ECHS1/FAHD1/HIBCH/SUCLG1/MTG2/PYROXD2/DGUOK/ACP6/ACSF2/ACAT1/DECR1/HADH/ETFB/AMT/ARL2/DLST/MDH2"
"CC","GO:0005929","cilium",417,-0.61965650635687,-1.8885843144001,1e-10,7.74222222222222e-08,6.68538011695907e-08,1808,"tags=40%, list=16%, signal=35%","ARMC9/IFT46/TEKT1/KIF27/CDC14A/TMEM218/DYNLL2/DZIP1/DNAH12/CCDC63/DRC1/CFAP157/TCTN3/HYDIN/GABARAP/IFT74/TTLL1/FAM161B/RAB34/CCDC40/ODF3/MAP1LC3B/CC2D2A/EFCAB7/DAAM1/RAB28/AK8/CDKL5/KIF3C/PACRG/WDR35/FHDC1/NPHP1/CCDC113/CEP89/IFT52/RGS9BP/UMOD/RSPH3/TPGS1/INPP5E/KIF5B/DNAL4/DYNC2LI1/DRC3/DRC7/CFAP65/B9D2/CCDC39/CEP126/EHD1/DCX/QRICH2/SPEF2/CFAP44/TTC21B/TCTE1/CFAP70/IFT43/SPAG16/DNAI1/EVC2/CFAP99/IQCE/ARL3/DYNC2H1/TTC26/BBS9/IFT122/IQCB1/PCM1/AKAP14/DNALI1/IFT88/IQCG/TEKT2/WDR19/IFT27/LRRC56/CFAP20/IFT81/AK7/EZR/CFAP58/RSPH1/ARL13B/RPGR/ARL2BP/CEP41/CFAP100/KIF3B/CFAP53/TEKT4/CFAP43/BBOF1/CFAP77/MAPK15/BBS1/TCTN2/CCDC181/IFT140/MNS1/DCDC2/AGBL2/TMEM107/CFAP69/GAS8/BSG/ROPN1L/DNAI2/IFT172/SPATA4/EFCAB2/USH1G/KIF17/CCDC103/BBS5/LCA5/ATP1B1/PHYH/SPAG6/SLC9A3R1/TTLL6/WDPCP/AKT1/CFAP221/TMEM231/MOK/DAW1/TTC8/CERKL/NME8/DNAAF1/CFAP36/SSX2IP/TTLL11/DNAH2/CCR6/SPATA6/CEP104/CCDC61/MLF1/IQCD/PSEN2/RSPH4A/RSPH9/DYNLRB2/DNAL1/DNAH5/SLC26A6/BBS2/DLD/NEK4/TTLL9/CFAP52/NME5/BBS7/SPA17/USH1C/CDK20/RILPL2/EFHC1/FAM149B1/CFAP74/IFT22/IQCA1/SORD"
"BP","GO:0006520","cellular amino acid metabolic process",257,-0.653802992655695,-1.92662072147665,1e-10,7.74222222222222e-08,6.68538011695907e-08,1573,"tags=32%, list=14%, signal=28%","PARS2/AFMID/IYD/ACADSB/PLOD2/BPHL/NAGS/GLUL/MTR/NOX4/ALDH7A1/HGD/ALDH5A1/HOGA1/DPYD/PTS/HMGCL/AADAT/PM20D1/GOT2/DCT/UROC1/NARS2/AGXT/HNF4A/MARS2/SARDH/ILVBL/HSD17B10/AMDHD1/PSME2/HAL/ENOSF1/PSMC2/SHMT2/GPT2/GCLC/UPB1/PSMF1/ALDH8A1/AZIN1/GCSH/OAT/NIT2/HNMT/DPYS/PHYKPL/PLOD3/SLC7A7/DDAH1/ALDH6A1/AGXT2/FTCD/GLDC/ALDH4A1/OTC/AUH/DLD/PRODH2/ABAT/GCDH/OAZ1/MAT1A/ACAD8/ASPA/PEMT/SEPHS2/HAAO/ACY1/BAAT/HIBCH/TYR/AHCY/ACAT1/CRYM/NAALAD2/SDSL/DAO/AMT/GCLM/INS/ASS1/DLST"
"BP","GO:0007186","G protein-coupled receptor signaling pathway",482,0.525035134110022,1.80555351832185,1e-10,7.74222222222222e-08,6.68538011695907e-08,1537,"tags=27%, list=14%, signal=25%","SORCS2/ADGRB3/PDE2A/RGS5/GRK4/SCG5/AVPR1A/PLCB4/NPR3/HEBP1/C5AR1/CPE/PDE7A/S1PR4/DGKG/GPR1/HCRTR2/F2R/RGS14/RGS16/DRD2/MC2R/MC5R/ADM2/GNB3/S1PR3/SSTR5/ADCYAP1R1/DGKI/RGS17/PDYN/RGS4/AIPL1/P2RY14/APOE/CHGA/ARHGEF1/RXFP3/LRP1/ADRA2A/EDNRB/NMU/DGKZ/GNB2/P2RY6/LPAR4/LTB4R/CISH/CNGA1/SLC12A2/ADCY6/RIC8A/ARHGEF25/KNG1/GNB5/PDE3B/ANXA1/OR7D2/PLCB1/PPP1R9B/GPR142/GNG3/PLEKHG2/SNCA/GPR22/GPR68/RASD1/JAK2/RAPGEF4/GNAS/CXCR6/P2RY10/TUB/PDE4A/SOS2/TAPT1/ARRB2/DGKA/TACR3/ARHGEF12/PDE3A/GAP43/PRKCA/GNAI2/DGKE/GNAI1/GNB4/MCF2L/PDE10A/ATF4/ADRB1/AKAP12/CXCR3/FRS2/MARCO/ADCY2/RGS1/FGD3/AKAP13/CNR2/GPR37/PLCL2/APLP1/GABRB2/OGFR/ARHGEF9/BDKRB2/ROCK2/ZDHHC3/F2RL2/NMUR1/CCL20/DAGLB/GAS2L2/METAP2/CXCL5/VAV3/GNG7/GRK6/FLNA/CXCL6/LPAR6/GLP1R/GPR146/GNG10/EDN1/LPAR1/NPR1/CXCR1/PTAFR/CXCL12"
"BP","GO:0016054","organic acid catabolic process",209,-0.714021571333127,-2.07009096689392,1e-10,7.74222222222222e-08,6.68538011695907e-08,1339,"tags=46%, list=12%, signal=42%","ACBD5/HAO1/ALDH7A1/ALDH1L2/ACOT8/HGD/ALDH5A1/HOGA1/ACADVL/DECR2/ALDH3A2/PECR/HMGCL/AADAT/GOT2/UROC1/ECI2/AGXT/SLC27A4/SARDH/ABCD3/HADHB/SLC25A17/SCP2/ILVBL/HSD17B10/AMDHD1/HAL/ENOSF1/PPARA/SHMT2/GPT2/XYLB/ECHDC2/BCKDHB/ACADS/PHYH/ALDH8A1/AKT1/ALDH1L1/EHHADH/LONP2/PCCA/GCSH/OAT/DBT/ACADM/ACAA2/HNMT/PHYKPL/ACOX3/DDAH1/ALDH6A1/AGXT2/FTCD/GLDC/ETFA/PCK1/AMACR/ALDH4A1/OTC/ACOX1/AUH/ACAA1/LDHD/SLC25A44/CPT2/DLD/PRODH2/ABAT/PCK2/GCDH/MAT1A/ACAD8/ACADL/ASPA/ACAD11/ECHS1/HAAO/AMDHD2/HIBCH/CRYL1/BDH2/AHCY/NPL/ACAT1/CRYM/AKR1D1/DECR1/HADH/ETFB/SORD/SDSL/DAO/AMT/GNPDA1/DLST"
"BP","GO:0044282","small molecule catabolic process",333,-0.678969646574346,-2.03953494483447,1e-10,7.74222222222222e-08,6.68538011695907e-08,1719,"tags=43%, list=15%, signal=37%","ETFDH/MCCC2/ACACB/FAAH/CRAT/HAGH/SRD5A3/MECR/MGAT1/ENTPD5/PKLR/ABCD4/AFMID/TKFC/ABHD3/ALDH2/ACADSB/KHK/ALDH3B1/RBKS/SNX17/GLUL/ACBD5/GK/HAO1/ALDH7A1/ALDH1L2/UMOD/INPP5E/ACOT8/HGD/ALDH5A1/HOGA1/ACADVL/DECR2/ESD/DPYD/ALDH3A2/PECR/HMGCL/AADAT/GOT2/UROC1/ECI2/AGXT/SLC27A4/SARDH/ABCD3/HADHB/SLC25A17/SCP2/XDH/ILVBL/HSD17B10/AMDHD1/ENTPD7/NT5M/HAL/ENOSF1/PPARA/SHMT2/GPT2/XYLB/ECHDC2/BCKDHB/ACADS/UPB1/PHYH/HSD17B6/ALDH8A1/AKT1/ALDH1L1/EHHADH/LONP2/ADAL/CDA/GALT/PCCA/GCSH/OAT/DBT/ACADM/ACAA2/HNMT/DPYS/PHYKPL/ACOX3/DDAH1/ALDH6A1/AGXT2/FTCD/GLDC/ETFA/PCK1/AMACR/ALDH4A1/OTC/ACOX1/AUH/ACAA1/LDHD/ENO3/SLC25A44/ALDOB/GAPDH/CPT2/DLD/PRODH2/SULT1C4/ABAT/PCK2/GCDH/MAT1A/ACAD8/ACADL/GK5/ASPA/ACAD11/GALM/ECHS1/HAAO/AMDHD2/HIBCH/BPNT1/DERA/CRYL1/BDH2/AHCY/NPL/ACAT1/MIOX/CRYM/AKR1D1/DECR1/HADH/ETFB/SORD/SDSL/DAO/AMT/GNPDA1/DLST"
"BP","GO:0044782","cilium organization",307,-0.64672740912788,-1.93090091555423,1e-10,7.74222222222222e-08,6.68538011695907e-08,1992,"tags=44%, list=18%, signal=37%","ARMC2/TUBA1A/ARL6/NPHP4/BBS4/PTPDC1/CCDC65/FNBP1L/LRRC49/ARMC9/IFT46/TEKT1/KIF27/CDC14A/DYNLL2/DZIP1/CCDC63/DRC1/CFAP157/TCTN3/HYDIN/IFT74/TTLL1/FAM161B/EHD2/CCDC40/CC2D2A/RFX3/YWHAE/LIMK2/CDKL5/KIF3C/WDR35/PARVA/FHDC1/NPHP1/CCDC113/CEP89/IFT52/TPGS1/NINL/DYNC2LI1/CFAP65/B9D2/CCDC39/CEP126/EHD1/DCX/SPEF2/CFAP44/TTC21B/ZMYND10/CFAP70/IFT43/SPAG16/DNAI1/ARL3/DYNC2H1/TTC26/BBS9/IFT122/IQCB1/PCM1/IFT88/IQCG/TEKT2/WDR19/ABCC4/SYNE2/IFT27/AVIL/CFAP20/IFT81/RAB23/RSPH1/ARL13B/RPGR/CEP41/CFAP100/KIF3B/CFAP53/TEKT4/CFAP43/DNAAF5/BBOF1/NUDCD3/MAPK15/BBS1/TCTN2/IFT140/MNS1/DCDC2/TMEM107/CFAP69/STK36/GAS8/DNAI2/IFT172/KIF17/CCDC103/BBS5/LCA5/CATIP/FOXJ1/SLC9A3R1/GALNT11/WDPCP/DNAAF3/CFAP221/TMEM231/DAW1/TTC8/HDAC6/NME8/DNAAF1/DNAAF2/SSX2IP/LRGUK/SPATA6/CCDC13/FUZ/RSPH4A/RSPH9/DYNLRB2/DNAL1/DNAH5/BBS2/CFAP52/NME5/BBS7/RILPL2/FAM149B1/CFAP74/IFT22"
"BP","GO:0046395","carboxylic acid catabolic process",198,-0.718806746297384,-2.07546702686324,1e-10,7.74222222222222e-08,6.68538011695907e-08,1339,"tags=47%, list=12%, signal=43%","ACBD5/HAO1/ALDH7A1/ALDH1L2/ACOT8/HGD/ALDH5A1/HOGA1/ACADVL/DECR2/ALDH3A2/PECR/HMGCL/AADAT/GOT2/UROC1/ECI2/AGXT/SLC27A4/SARDH/ABCD3/HADHB/SLC25A17/SCP2/ILVBL/HSD17B10/AMDHD1/HAL/ENOSF1/PPARA/SHMT2/GPT2/XYLB/ECHDC2/ACADS/PHYH/ALDH8A1/AKT1/ALDH1L1/EHHADH/LONP2/PCCA/GCSH/OAT/ACADM/ACAA2/HNMT/PHYKPL/ACOX3/DDAH1/ALDH6A1/AGXT2/FTCD/GLDC/ETFA/PCK1/AMACR/ALDH4A1/OTC/ACOX1/AUH/ACAA1/LDHD/CPT2/DLD/PRODH2/ABAT/PCK2/GCDH/MAT1A/ACAD8/ACADL/ASPA/ACAD11/ECHS1/HAAO/AMDHD2/HIBCH/CRYL1/BDH2/AHCY/NPL/ACAT1/CRYM/AKR1D1/DECR1/HADH/ETFB/SORD/SDSL/DAO/AMT/GNPDA1/DLST"
"BP","GO:0060271","cilium assembly",297,-0.64713734863006,-1.92191819883964,1e-10,7.74222222222222e-08,6.68538011695907e-08,1992,"tags=44%, list=18%, signal=37%","ARMC2/TUBA1A/ARL6/NPHP4/BBS4/PTPDC1/CCDC65/FNBP1L/LRRC49/ARMC9/IFT46/TEKT1/KIF27/CDC14A/DYNLL2/DZIP1/CCDC63/DRC1/CFAP157/TCTN3/HYDIN/IFT74/TTLL1/EHD2/CCDC40/CC2D2A/RFX3/YWHAE/LIMK2/CDKL5/KIF3C/WDR35/PARVA/FHDC1/NPHP1/CCDC113/CEP89/IFT52/TPGS1/NINL/DYNC2LI1/CFAP65/B9D2/CCDC39/CEP126/EHD1/DCX/SPEF2/CFAP44/TTC21B/ZMYND10/CFAP70/IFT43/SPAG16/DNAI1/ARL3/DYNC2H1/TTC26/BBS9/IFT122/IQCB1/PCM1/IFT88/IQCG/TEKT2/WDR19/ABCC4/SYNE2/IFT27/AVIL/CFAP20/IFT81/RAB23/RSPH1/ARL13B/RPGR/CEP41/CFAP100/KIF3B/CFAP53/TEKT4/CFAP43/DNAAF5/BBOF1/NUDCD3/MAPK15/BBS1/TCTN2/IFT140/MNS1/DCDC2/TMEM107/CFAP69/STK36/GAS8/DNAI2/IFT172/KIF17/CCDC103/BBS5/FOXJ1/GALNT11/WDPCP/DNAAF3/CFAP221/TMEM231/DAW1/TTC8/HDAC6/NME8/DNAAF1/DNAAF2/SSX2IP/LRGUK/SPATA6/CCDC13/FUZ/RSPH4A/RSPH9/DYNLRB2/DNAL1/DNAH5/BBS2/CFAP52/NME5/BBS7/RILPL2/FAM149B1/CFAP74/IFT22"
"CC","GO:0005743","mitochondrial inner membrane",369,-0.581515061321613,-1.76330844377058,5.59217840214362e-10,3.89662991061368e-07,3.3647254470161e-07,2460,"tags=40%, list=22%, signal=32%","CYP27A1/SLC25A3/COQ10A/AFG3L2/NDUFS8/MRPL4/DNAJC15/NDUFAF6/COX16/SLC25A19/MTCH2/COQ9/CYC1/COX5A/SPG7/AGK/MRPL32/MRPS33/MRPL1/MRPL17/SPHK2/STOML2/TRAP1/UQCC1/ABCB7/FPGS/PARL/COX18/SLC25A51/SFXN5/NDUFA1/L2HGDH/MRPS5/SLC25A1/MRPL18/NDUFS4/NDUFAF4/TMEM65/SAMM50/FASTKD2/MRPL13/NDUFB3/ETFDH/OMA1/MRPL24/CRAT/MRPS22/PMPCB/AIFM1/COQ5/COX5B/PET100/TIMM23/MRPL55/TMEM126A/PISD/DNAJC30/HSPA9/NDUFB10/AURKAIP1/TIMMDC1/TMEM14C/SDHA/MRPS9/TIMM8A/UQCRC2/SLC25A42/NDUFA13/NDUFAF1/TIMM13/ACAD9/ACADVL/TIMM17A/MRPS34/CHCHD1/SFXN1/NOA1/THEM4/MRPS18B/COQ6/GOT2/MRPL21/NDUFA9/COX7A2/GHITM/COX11/COX15/HADHB/TOMM40/ABCB8/GATM/TMEM177/NDUFS7/TIMM44/SHMT2/BCS1L/NDUFB9/HSPD1/SMDT1/SDHD/TIMM8B/NDUFAF2/COX10/MICU2/SLC25A15/NDUFV1/MRPS26/SURF1/SDHC/MCU/SLC25A11/DNAJC19/CYP2U1/SCO2/SLC25A45/MPC2/MPC1/TMEM70/UQCRC1/PSEN2/FOXRED1/CCDC51/SDHB/OTC/UQCRFS1/SLC25A38/PHB/MCUR1/LDHD/MPV17/CPT2/PRODH2/PINK1/MRPL44/MPV17L2/COQ3/GRPEL1/COQ4/ACAD11/HIGD1A/SLC25A35/MTG2/CRLS1/SCO1/LETM1/NDUFV2/APOO/CHDH"
