"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.936399244982329,"29974"
"A2ML1","LOC107373335",-0.000185553087957616,"144568"
"A2ML1","LOC107380767",0.276713757674274,"144568"
"A3GALT2","LOC107372345",-0.0865562462215758,"127550"
"AAAS","aaas",0.0560719078838724,"8086"
"AACS","aacs",-0.498444269332553,"65985"
"AADAT","aadat",-0.715558962694913,"51166"
"AAGAB","aagab",-0.465617745026734,"79719"
"AAK1","LOC107373159",0.249123759687996,"22848"
"AAMDC","aamdc",-0.706859305194052,"28971"
"AAMP","aamp",-0.39882204161639,"14"
"AANAT","LOC107376253",-0.374095758025634,"15"
"AAR2","aar2",-0.178202039007494,"25980"
"AARS2","aars2",-0.0393980305348544,"57505"
"AARSD1","aarsd1",-0.045865892403377,"80755"
"AASDH","aasdh",0.142880081120975,"132949"
"AASDHPPT","aasdhppt",0.12628337990894,"60496"
"AASS","aass",0.250790988199898,"10157"
"AATF","aatf",-0.235252966489289,"26574"
"AATK","aatk",0.275821641852095,"9625"
"ABAT","abat",-1.53800536241316,"18"
"ABCA1","LOC107392625",0.00127907034875902,"19"
"ABCA1","LOC107381037",0.176875108308514,"19"
"ABCA1","LOC107391047",0.00106129526426005,"19"
"ABCA1","LOC107372735",-0.00499433169217051,"19"
"ABCA1","LOC107377411",-0.399972340036374,"19"
"ABCA12","LOC107376062",-0.00106129526426005,"26154"
"ABCA3","abca3",-0.968876097043195,"21"
"ABCA4","LOC107383559",0.12364500958892,"24"
"ABCA5","abca5",-0.28483136185889,"23461"
"ABCB1","abcb1",0.101940624686031,"5243"
"ABCB10","abcb10",0.0273500578349368,"23456"
"ABCB6","abcb6",-0.308230443288801,"10058"
"ABCB7","abcb7",-0.28483136185889,"22"
"ABCB8","LOC107383862",-0.841921758913603,"11194"
"ABCB9","abcb9",-1.38094313197675,"23457"
"ABCC1","LOC107391801",0.0342169536422522,"4363"
"ABCC1","LOC107373251",0.331901955759284,"4363"
"ABCC1","LOC107392837",-0.0973757640627621,"4363"
"ABCC10","abcc10",-0.10101700247374,"89845"
"ABCC12","LOC107381982",-0.719060822025912,"94160"
"ABCC2","abcc2",-1.47293240048275,"1244"
"ABCC3","LOC107388296",0.252465736689871,"8714"
"ABCC4","abcc4",-0.80697549319801,"10257"
"ABCC5","abcc5",-0.859814116107982,"10057"
"ABCC8","abcc8",0.37740275564005,"6833"
"ABCC9","LOC107387088",-0.123121637726973,"10060"
"ABCD1","LOC107391455",-0.140590100279783,"215"
"ABCD2","abcd2",-0.21131212295593,"225"
"ABCD3","LOC107395207",-0.501139484878654,"5825"
"ABCD3","abcd3",-1.08577961287155,"5825"
"ABCD4","abcd4",-0.45924156201415,"5826"
"ABCE1","abce1",-0.00423873244170007,"6059"
"ABCF1","abcf1",0.00096036403433917,"23"
"ABCF2","abcf2",-0.00499433169217051,"10061"
"ABCF3","abcf3",-0.186987617981937,"55324"
"ABCG2","LOC107376824",0.957956798001055,"9429"
"ABHD10","abhd10",-0.738547631397572,"55347"
"ABHD11","abhd11",0.0168161744631481,"83451"
"ABHD12","abhd12b",-0.569003735029282,"26090"
"ABHD12","LOC107376141",-0.223453746786233,"26090"
"ABHD12","LOC107375545",-1.0667603399343,"26090"
"ABHD13","abhd13",-0.117458398721321,"84945"
"ABHD14A","abhd14a",0.0487383047031214,"25864"
"ABHD14B","abhd14b",-1.03640279394726,"84836"
"ABHD15","LOC107380403",-0.0269380375104196,"116236"
"ABHD16A","abhd16a",-0.00808216935659272,"7920"
"ABHD17B","abhd17b",-0.0147455871657606,"51104"
"ABHD17C","LOC107393262",-0.882069030787569,"58489"
"ABHD17C","LOC107384127",-0.00499433169217051,"58489"
"ABHD18","abhd18",-0.0171631698709064,"80167"
"ABHD2","abhd2",0.3044013952162,"11057"
"ABHD2","LOC107376844",-0.195347571059714,"11057"
"ABHD3","LOC107377588",-0.477252566285389,"171586"
"ABHD4","abhd4",-0.138888356872942,"63874"
"ABHD5","LOC107383196",0.674508407506717,"51099"
"ABHD5","abhd5",-0.00409567826355928,"51099"
"ABHD6","abhd6",-0.0150363105225743,"57406"
"ABHD8","LOC107396936",0.441716896604457,"79575"
"ABI1","LOC107389593",1.39837779840196,"10006"
"ABI1","LOC107384312",3.77045599106226,"10006"
"ABI1","LOC107390296",0.102869604486995,"10006"
"ABI1","abi1",-0.0292500607906897,"10006"
"ABI2","LOC107388106",-0.0170058741462962,"10152"
"ABI2","abi2",0.00718492011897715,"10152"
"ABI3BP","LOC107384590",0.0541793979145419,"25890"
"ABL1","abl1",-0.101478144900693,"25"
"ABL2","abl2",0.0305588844417638,"27"
"ABLIM1","ablim1",-0.108556909588024,"3983"
"ABLIM2","ablim2",0.11949792975266,"84448"
"ABLIM3","LOC107373670",1.00671342808994,"22885"
"ABLIM3","LOC107394056",0.54140045768994,"22885"
"ABO","LOC107381863",-1.57944387738664,"28"
"ABR","LOC107377344",-0.00523425349666672,"29"
"ABR","abr",0.258386882220725,"29"
"ABRACL","abracl",4.08353001069532e-06,"58527"
"ABT1","abt1",-0.10240444386801,"29777"
"ABTB1","abtb1",0.020312195460544,"80325"
"ABTB2","abtb2",-0.177537755954045,"25841"
"ACAA1","acaa1",-1.43974481948365,"30"
"ACAA2","acaa2",-1.22114596750933,"10449"
"ACACA","acaca",-1.26368473517146,"31"
"ACACB","acacb",-0.410429766934075,"32"
"ACAD11","LOC107374620",-1.81864466172677,"84129"
"ACAD11","LOC107372609",-1.77918878535665,"84129"
"ACAD11","acad11",-1.38094313197675,"84129"
"ACAD8","acad8",-1.59887374754397,"27034"
"ACAD9","acad9",-0.641640952552472,"28976"
"ACADL","acadl",-1.61521407717231,"33"
"ACADM","acadm",-1.21329681686523,"34"
"ACADS","LOC107383304",-1.36941681922427,"35"
"ACADS","acads",-0.726102443643443,"35"
"ACADSB","acadsb",-0.495759398466482,"36"
"ACADVL","acadvl",-0.0186165895872832,"37"
"ACADVL","LOC107393942",-1.26638163196661,"37"
"ACAN","LOC107382072",-0.0196236665325235,"176"
"ACAP2","acap2",0.469473408414711,"23527"
"ACAP2","LOC107379876",0.116447076169676,"23527"
"ACAP2","acap1",0.186987617981937,"23527"
"ACAP3","LOC107385549",3.0437138550803,"116983"
"ACAP3","LOC107376598",-1.83681903969843,"116983"
"ACAP3","LOC107374920",0.32487309328273,"116983"
"ACAT1","acat1",-2.17010020028665,"38"
