"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"CC","GO:0000323","lytic vacuole",462,0.624118292503087,2.03698375566932,1e-10,7.00358296118419e-09,4.76165289555213e-09,1741,"tags=37%, list=19%, signal=31%","PDGFRB/ABHD6/CPQ/TNFAIP3/MAN2B1/C3/VLDLR/PRCP/PIGR/BPI/LYZ/CTSS/LAMTOR1/HCK/SLC29A3/FUCA1/CTSK/GCA/HLA-DPA1/NCF1/CTSC/FLCN/UNC93B1/TCN2/HPSE/PEBP4/HLA-DPB1/SMPD1/SLC2A6/CLNK/ATP6AP2/HEXB/CTSD/DRAM2/TPCN1/CP/NAAA/TPP1/VPS18/TMEM179B/SLC30A4/IL4I1/GRN/CD74/RNF19B/GNS/B4GALT1/MFSD12/BCL10/VPS41/SLC15A4/CLN5/PSAP/DNASE2/SLC35F6/ASAH1/OSTM1/NAGLU/CHMP2B/DRAM1/PRSS16/VPS35/CST7/DAB2/GM2A/LAMP3/SPG11/CALCRL/MCOLN1/SDCBP/STOM/HPS1/GLB1/BRI3/STXBP2/ANXA11/VMA21/ATP6V0C/NPC1/CTSZ/MCOLN3/STARD3NL/CD63/MANBA/ECE1/PIK3C3/TLR3/VASN/CTBS/ATP6V1D/NCF4/ADA/CDIP1/CTSA/NCF2/NCSTN/AP2M1/SLC38A9/LAMP1/LPCAT1/SLC17A5/ATP6V0D1/FUCA2/SLC44A2/NEU1/TMEM59/DAGLB/AP5M1/LRP1/ATP6V0A2/SLC2A8/CAPN1/STARD3/PLD1/GALNS/CLCN7/ATP6V1A/SNAP23/ATP11C/SPNS1/GLMP/ATP13A2/ITM2C/ATP11B/GNAI1/TINAGL1/FRK/RAB27A/RAMP3/SDC4/HSP90AB1/FLOT1/GNB4/LNPEP/GNAQ/VPS33A/GUSB/SIDT2/SLC48A1/STK11IP/ACE/CCDC115/NHLRC3/SPPL2A/ACTR2/SLC46A3/GPR137B/DPP4/M6PR/CPNE3/IDUA/RRAGA/SLC26A11/DTX3L/NPRL2/CEACAM6/CTSF/ABCA5/CTSB/SLC36A1/TMBIM1/CTNS/SLC3A2/SQSTM1/ANKFY1/TPCN2/CLTC/WDR81/ATP6V1H/GLA"
"BP","GO:0000375","RNA splicing, via transesterification reactions",290,-0.681822566298787,-2.38416957564612,1e-10,7.00358296118419e-09,4.76165289555213e-09,1787,"tags=46%, list=20%, signal=38%","GPKOW/POLR2G/PRPF31/RBM4B/RBM14/DYRK1A/IK/POLR2E/DDX23/NCL/CLNS1A/LSM5/SMNDC1/NUP98/ZBTB7A/PDCD7/CWC27/NSRP1/SRSF3/CPSF4/LSM7/AAR2/SNRNP40/SNRNP27/STRAP/PPIL3/METTL3/SRSF1/HNRNPA0/SNRPG/SNRPE/SNRPD1/RNPC3/CELF3/PRMT7/MPHOSPH10/RBM25/PRMT5/PRPF38A/RBMX2/RBM17/HNRNPUL1/GEMIN4/SCAF11/SF3B2/HNRNPM/ZCRB1/SNRPD2/LUC7L2/POLR2C/HNRNPR/CWF19L2/SRSF9/RBM4/PSIP1/SF3A3/SRSF4/CWC15/SRRT/ZMAT2/POLR2I/SNRNP200/JMJD6/SNRPA1/WDR77/SRPK1/HTATSF1/METTL14/SYNCRIP/CWC22/FIP1L1/RBM42/SLU7/PRPF4B/LSM3/CSTF1/GTF2F2/SNRPD3/POLR2H/PPIL1/TXNL4B/CASC3/CDK13/SNW1/PHF5A/SNU13/MAGOHB/COIL/PPIE/SART1/SNRPB2/UBL5/PRPF19/PRPF3/U2SURP/SRSF2/RNPS1/SF3B6/CACTIN/SNRPN/PABPN1/SNRNP70/SRSF6/CD2BP2/TRA2B/ALYREF/DDX39B/GEMIN2/LSM2/CWC25/PRPF6/DHX16/RAVER1/SNRPF/WBP11/EIF4A3/SRPK3/SART3/PPIH/RBM39/U2AF1/LUC7L/POLR2A/CLP1/SF3B4/SUGP1/LUC7L3/SON/HNRNPU/PNN/U2AF2/SRRM2/GEMIN6/MFAP1"
"BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",287,-0.683506537335425,-2.38416690805317,1e-10,7.00358296118419e-09,4.76165289555213e-09,1787,"tags=46%, list=20%, signal=38%","GPKOW/POLR2G/PRPF31/RBM4B/RBM14/DYRK1A/IK/POLR2E/DDX23/NCL/CLNS1A/LSM5/SMNDC1/NUP98/ZBTB7A/PDCD7/CWC27/NSRP1/SRSF3/CPSF4/LSM7/AAR2/SNRNP40/SNRNP27/STRAP/PPIL3/METTL3/SRSF1/HNRNPA0/SNRPG/SNRPE/SNRPD1/RNPC3/CELF3/PRMT7/RBM25/PRMT5/PRPF38A/RBMX2/RBM17/HNRNPUL1/GEMIN4/SCAF11/SF3B2/HNRNPM/ZCRB1/SNRPD2/LUC7L2/POLR2C/HNRNPR/CWF19L2/SRSF9/RBM4/PSIP1/SF3A3/SRSF4/CWC15/SRRT/ZMAT2/POLR2I/SNRNP200/JMJD6/SNRPA1/WDR77/SRPK1/HTATSF1/METTL14/SYNCRIP/CWC22/FIP1L1/RBM42/SLU7/PRPF4B/LSM3/CSTF1/GTF2F2/SNRPD3/POLR2H/PPIL1/TXNL4B/CASC3/CDK13/SNW1/PHF5A/SNU13/MAGOHB/COIL/PPIE/SART1/SNRPB2/UBL5/PRPF19/PRPF3/U2SURP/SRSF2/RNPS1/SF3B6/CACTIN/SNRPN/PABPN1/SNRNP70/SRSF6/CD2BP2/TRA2B/ALYREF/DDX39B/GEMIN2/LSM2/CWC25/PRPF6/DHX16/RAVER1/SNRPF/WBP11/EIF4A3/SRPK3/SART3/PPIH/RBM39/U2AF1/LUC7L/POLR2A/CLP1/SF3B4/SUGP1/LUC7L3/SON/HNRNPU/PNN/U2AF2/SRRM2/GEMIN6/MFAP1"
"BP","GO:0000398","mRNA splicing, via spliceosome",287,-0.683506537335425,-2.38416690805317,1e-10,7.00358296118419e-09,4.76165289555213e-09,1787,"tags=46%, list=20%, signal=38%","GPKOW/POLR2G/PRPF31/RBM4B/RBM14/DYRK1A/IK/POLR2E/DDX23/NCL/CLNS1A/LSM5/SMNDC1/NUP98/ZBTB7A/PDCD7/CWC27/NSRP1/SRSF3/CPSF4/LSM7/AAR2/SNRNP40/SNRNP27/STRAP/PPIL3/METTL3/SRSF1/HNRNPA0/SNRPG/SNRPE/SNRPD1/RNPC3/CELF3/PRMT7/RBM25/PRMT5/PRPF38A/RBMX2/RBM17/HNRNPUL1/GEMIN4/SCAF11/SF3B2/HNRNPM/ZCRB1/SNRPD2/LUC7L2/POLR2C/HNRNPR/CWF19L2/SRSF9/RBM4/PSIP1/SF3A3/SRSF4/CWC15/SRRT/ZMAT2/POLR2I/SNRNP200/JMJD6/SNRPA1/WDR77/SRPK1/HTATSF1/METTL14/SYNCRIP/CWC22/FIP1L1/RBM42/SLU7/PRPF4B/LSM3/CSTF1/GTF2F2/SNRPD3/POLR2H/PPIL1/TXNL4B/CASC3/CDK13/SNW1/PHF5A/SNU13/MAGOHB/COIL/PPIE/SART1/SNRPB2/UBL5/PRPF19/PRPF3/U2SURP/SRSF2/RNPS1/SF3B6/CACTIN/SNRPN/PABPN1/SNRNP70/SRSF6/CD2BP2/TRA2B/ALYREF/DDX39B/GEMIN2/LSM2/CWC25/PRPF6/DHX16/RAVER1/SNRPF/WBP11/EIF4A3/SRPK3/SART3/PPIH/RBM39/U2AF1/LUC7L/POLR2A/CLP1/SF3B4/SUGP1/LUC7L3/SON/HNRNPU/PNN/U2AF2/SRRM2/GEMIN6/MFAP1"
"BP","GO:0001816","cytokine production",354,0.62577130228647,1.99977350785019,1e-10,7.00358296118419e-09,4.76165289555213e-09,1392,"tags=36%, list=15%, signal=32%","TLR6/PTPN6/CD244/TNFAIP3/C3/BPI/CMKLR1/AIF1/SIGIRR/MALT1/HLA-G/NLRC5/CHIA/CD84/IL12RB2/HLA-DPA1/LPL/CRP/BCL3/HPSE/HLA-DPB1/HLA-A/TRIM27/B2M/CLNK/TRIB2/ATP6AP2/IRF1/IFIH1/CSF1R/TIRAP/MAPK14/DDIT3/CCL3/STAT1/IL6R/BTN1A1/IKBKE/PCSK5/RIPK2/C5AR1/CD74/STAT6/HMOX1/BCL10/C1QTNF3/NFKB2/ARG2/DHX58/LBP/SERPINF2/EPHA2/KIT/MOG/PLCG2/CASP1/PTPRC/RFTN1/INS/INPP5D/C5/SOCS1/HDAC7/WNT5A/LGALS9B/MEFV/RELA/TBK1/STAT3/F11R/SULF2/NRROS/TLR3/MERTK/TLR2/NLRC3/CADM1/IL6ST/TAX1BP1/DENND1B/NOD1/TMEM106A/TRIM32/PDE4B/TMSB4X/SMAD3/MAPK13/CYBA/TLR5/RSAD2/RELB/PELI1/LTF/APP/HRAS/MUL1/F3/IRF8/RGCC/IGF1/BCL6/F2R/LGR4/LRP1/LRRC32/SERPINB1/ROCK2/PLA2G1B/PTPN11/CSK/CLU/TRIM21/ARHGEF2/S1PR3/FURIN/HSP90AB1/AGT/FLOT1/BATF/BTK/ITGAV/IRF5/NLRP12/TGFB3/AFAP1L2/TSPO/DHX9"
"BP","GO:0001817","regulation of cytokine production",330,0.638778797788765,2.03718686379726,1e-10,7.00358296118419e-09,4.76165289555213e-09,1392,"tags=36%, list=15%, signal=32%","TLR6/PTPN6/CD244/TNFAIP3/C3/BPI/CMKLR1/AIF1/SIGIRR/MALT1/HLA-G/NLRC5/CHIA/CD84/IL12RB2/HLA-DPA1/LPL/CRP/BCL3/HPSE/HLA-DPB1/HLA-A/TRIM27/B2M/CLNK/TRIB2/ATP6AP2/IRF1/IFIH1/CSF1R/TIRAP/MAPK14/DDIT3/CCL3/STAT1/IL6R/BTN1A1/IKBKE/RIPK2/C5AR1/CD74/STAT6/HMOX1/BCL10/C1QTNF3/NFKB2/ARG2/DHX58/LBP/SERPINF2/EPHA2/MOG/PLCG2/CASP1/PTPRC/INS/INPP5D/C5/SOCS1/HDAC7/WNT5A/LGALS9B/MEFV/RELA/TBK1/STAT3/F11R/SULF2/TLR3/MERTK/TLR2/NLRC3/CADM1/IL6ST/TAX1BP1/NOD1/TRIM32/PDE4B/TMSB4X/SMAD3/MAPK13/CYBA/TLR5/RSAD2/RELB/PELI1/LTF/APP/HRAS/MUL1/F3/IRF8/RGCC/IGF1/BCL6/F2R/LGR4/LRP1/LRRC32/SERPINB1/ROCK2/PLA2G1B/PTPN11/CSK/CLU/TRIM21/ARHGEF2/S1PR3/FURIN/HSP90AB1/AGT/FLOT1/BTK/ITGAV/IRF5/NLRP12/TGFB3/AFAP1L2/TSPO/DHX9"
"BP","GO:0001819","positive regulation of cytokine production",206,0.676418917139677,2.080656519932,1e-10,7.00358296118419e-09,4.76165289555213e-09,1392,"tags=38%, list=15%, signal=33%","TLR6/CD244/C3/AIF1/MALT1/HLA-G/CHIA/IL12RB2/HLA-DPA1/LPL/BCL3/HPSE/HLA-DPB1/HLA-A/B2M/CLNK/ATP6AP2/IRF1/IFIH1/CSF1R/TIRAP/MAPK14/DDIT3/CCL3/STAT1/IL6R/RIPK2/C5AR1/CD74/STAT6/HMOX1/BCL10/C1QTNF3/NFKB2/DHX58/LBP/SERPINF2/PLCG2/CASP1/PTPRC/INS/C5/WNT5A/RELA/TBK1/STAT3/SULF2/TLR3/TLR2/CADM1/IL6ST/NOD1/TRIM32/PDE4B/SMAD3/MAPK13/CYBA/TLR5/RSAD2/PELI1/APP/HRAS/F3/IRF8/RGCC/F2R/LRP1/ROCK2/PLA2G1B/PTPN11/CLU/ARHGEF2/FURIN/AGT/FLOT1/IRF5/NLRP12/AFAP1L2/DHX9"
"BP","GO:0002250","adaptive immune response",167,0.748814784235721,2.25437073576176,1e-10,7.00358296118419e-09,4.76165289555213e-09,1016,"tags=41%, list=11%, signal=37%","PTPN6/SERPING1/CD244/PTK2B/C1R/TNFAIP3/CLEC4C/C3/FGB/C8A/MALT1/CTSS/HLA-G/C4B/CD84/HLA-DPA1/CTSC/UNC93B1/C1QC/CRP/BCL3/HLA-DPB1/CLEC4D/HLA-A/TRIM27/C8B/B2M/IRF1/SAMSN1/C9/C1QA/TAP2/JAM3/CFI/IL6R/IL4I1/RIPK2/CD74/WAS/CD247/RNF19B/BCL10/SLC15A4/NFKB2/ARG2/HPX/FGA/PTPRC/TFE3/RFTN1/INPP5D/LAMP3/C5/MCOLN1/C4BPA/ERCC1/C7/STAT3/PRKCB/ERAP1/CLEC10A/ADA/IL6ST/DENND1B/RSAD2/RELB/HRAS/BCL6/SWAP70"
"BP","GO:0002253","activation of immune response",257,0.657857166227802,2.06101213433127,1e-10,7.00358296118419e-09,4.76165289555213e-09,1059,"tags=30%, list=12%, signal=28%","PTPN6/SERPING1/C1R/CLEC4C/C3/CMKLR1/C8A/MALT1/HCK/C4B/PAX5/HLA-DPA1/C1QC/VAV1/CRP/HLA-DPB1/CLEC4D/HLA-A/C8B/C9/FCGR1A/C1QA/GRB2/CFI/ARPC1B/PSMB8/BTN1A1/RIPK2/C5AR1/WAS/CD247/CFHR1/BCL10/CFH/PLA2G6/ARPC2/MOG/PLCG2/RBCK1/PSME2/PTPRC/RFTN1/INPP5D/WIPF1/C5/C4BPA/GRAP2/PAK2/PRKCH/RELA/TBK1/C7/PRKCB/PRKACA/CLEC10A/PSMB9/ADA/CFP/DENND1B/NCKIPSD/PDE4B/BLNK/MFAP4/A2M/IKBKB/CYFIP1/CD38/RELB/CFB/PSMB7/ACTR3/HRAS/RGCC/CLEC4E/PSME1/COLEC10/ELF1/PSMB6"
"BP","GO:0002263","cell activation involved in immune response",411,0.577246287309569,1.86757188779275,1e-10,7.00358296118419e-09,4.76165289555213e-09,1360,"tags=31%, list=15%, signal=28%","PTPN6/CD244/PTK2B/MAN2B1/CLEC4C/C3/PRCP/PIGR/BPI/OLFM4/MALT1/LYZ/CTSS/FGL2/LAMTOR1/FUCA1/GCA/ITGB2/LCP1/CD84/CD53/CTSC/BCL3/TSPAN14/HPSE/CLEC4D/B2M/CLNK/ATP6AP2/HEXB/CTSD/MAPK14/TMEM179B/CCL3/IL6R/GRN/RIPK2/C5AR1/CD74/HMOX1/GNS/RHOF/B4GALT1/GPR84/SLC15A4/LBP/PSAP/RHOG/ASAH1/PLEKHO2/KIT/PLCG2/PTPRC/PLAUR/GM2A/SDCBP/STOM/GLB1/BRI3/STXBP2/ATP6V0C/CTSZ/ERCC1/SNX4/PKM/STAT3/RHOA/ADAM10/NOTCH2/CD63/MANBA/DEGS1/BIN2/TLR2/ATP6V1D/ADA/CFP/CTSA/GSN/TIMP2/HVCN1/STK10/ADGRE5/GHDC/CYBA/NCSTN/ANO6/LAMP1/CYFIP1/RELB/LPCAT1/PSMB7/LTF/CRISPLD2/APP/FUCA2/SLC44A2/CSTB/NEU1/BCL6/SWAP70/STXBP3/LRP1/STBD1/CAPN1/ALDOC/SERPINB1/PLD1/GALNS/PFKL/RAC2/SNAP23/LRG1/GMFG/ATP11B/FRK/RAB27A/AGL/GOLGA7/HSP90AB1/BATF/QSOX1/BTK/HLX/IGF2R/ITGAV/DNASE1L3"
