"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",2.08373605056042,"29974"
"A2M","LOC107395751",0.738479795109347,"2"
"A2ML1","LOC107373335",0.0612897305570643,"144568"
"A2ML1","LOC107380767",0.533962482431962,"144568"
"A2ML1","LOC107373536",0.0164185719476231,"144568"
"AAAS","aaas",-0.181465458826404,"8086"
"AACS","aacs",-0.0667271270777511,"65985"
"AADAT","aadat",0.0195661376252184,"51166"
"AAGAB","aagab",-0.172661408821857,"79719"
"AAK1","LOC107373159",0.235756885005878,"22848"
"AAMDC","aamdc",0.0318017352936689,"28971"
"AAMP","aamp",-2.03764606004335,"14"
"AAR2","aar2",-0.411520559165097,"25980"
"AARS2","aars2",2.48254998108193e-05,"57505"
"AARSD1","aarsd1",-0.260844801147167,"80755"
"AASDH","aasdh",-0.310496871864143,"132949"
"AASDHPPT","aasdhppt",-0.801786750422065,"60496"
"AASS","aass",-0.104523718556622,"10157"
"AATF","aatf",-0.118132713938472,"26574"
"ABAT","abat",0.716819494631321,"18"
"ABCA1","LOC107381037",1.27294577038042,"19"
"ABCA1","LOC107391047",1.78898025629899,"19"
"ABCA3","abca3",2.08373605056042,"21"
"ABCA5","abca5",0.305840051290869,"23461"
"ABCB1","abcb1",0.0171758847297414,"5243"
"ABCB10","abcb10",-0.0153189944548228,"23456"
"ABCB11","LOC107380987",0.0204028954581978,"8647"
"ABCB6","abcb6",0.000332383783290909,"10058"
"ABCB7","abcb7",0.554902339506766,"22"
"ABCB8","LOC107383862",0.430358090947125,"11194"
"ABCB9","abcb9",0.0244219032325764,"23457"
"ABCC1","LOC107373251",0.0818413107619783,"4363"
"ABCC1","LOC107392837",0.760633920370254,"4363"
"ABCC1","LOC107391801",0.454378954375726,"4363"
"ABCC10","abcc10",-0.145118677406254,"89845"
"ABCC12","LOC107381982",-0.25262873296333,"94160"
"ABCC2","abcc2",0.0291275737762488,"1244"
"ABCC3","LOC107388296",0.6831667445446,"8714"
"ABCC4","abcc4",-0.428887645861724,"10257"
"ABCC5","abcc5",1.15317799109456,"10057"
"ABCD1","LOC107391455",0.179843147726913,"215"
"ABCD2","abcd2",0.208760707639374,"225"
"ABCD3","LOC107395207",0.0505241535800725,"5825"
"ABCD3","abcd3",-0.0738158368622345,"5825"
"ABCD4","abcd4",0.00014141216843499,"5826"
"ABCE1","abce1",-0.691465736926735,"6059"
"ABCF1","abcf1",-0.267125089588403,"23"
"ABCF2","abcf2",-0.591134341892031,"10061"
"ABCF3","abcf3",-0.57099797402797,"55324"
"ABCG2","LOC107376824",1.42859381312211,"9429"
"ABCG5","abcg5",-1.11940184487879,"64240"
"ABCG8","abcg8",-0.214165815871293,"64241"
"ABHD10","abhd10",-1.72247878911112,"55347"
"ABHD12","LOC107376141",0.594851080276057,"26090"
"ABHD12","LOC107375545",0.205208542558064,"26090"
"ABHD12","abhd12b",-0.849496508081365,"26090"
"ABHD13","abhd13",0.128887649092821,"84945"
"ABHD14A","abhd14a",0.236727550980843,"25864"
"ABHD14B","abhd14b",0.837368977161002,"84836"
"ABHD15","LOC107386856",0.0724528170252254,"116236"
"ABHD15","LOC107380403",0.343226485867205,"116236"
"ABHD16A","abhd16a",0.0369697054288648,"7920"
"ABHD17B","abhd17b",0.104523718556622,"51104"
"ABHD17C","LOC107393262",0.00694765214590558,"58489"
"ABHD17C","LOC107384127",-0.0253724126439061,"58489"
"ABHD18","abhd18",1.74439934080143,"80167"
"ABHD2","LOC107376844",0.57099797402797,"11057"
"ABHD2","abhd2",0.585591459525542,"11057"
"ABHD3","LOC107377588",0.656711188444359,"171586"
"ABHD4","abhd4",0.36371753721298,"63874"
"ABHD5","LOC107383196",0.811159186886567,"51099"
"ABHD5","abhd5",-0.223381756836317,"51099"
"ABHD6","abhd6",4.26045390265796,"57406"
"ABI1","abi1",0.00465897701098354,"10006"
"ABI1","LOC107384312",0.203447722210144,"10006"
"ABI2","abi2",-0.864228665795855,"10152"
"ABL1","abl1",0.107971644157095,"25"
"ABL2","abl2",-0.451325056841052,"27"
"ABO","LOC107385470",0.0789497048453286,"28"
"ABRACL","abracl",0.747281651014241,"58527"
"ABT1","abt1",-0.140943469728058,"29777"
"ABTB1","abtb1",1.28308833707405,"80325"
"ABTB2","abtb2",0.228088185292756,"25841"
"ACAA1","acaa1",-0.909620402503428,"30"
"ACAA2","acaa2",0.193094185338256,"10449"
"ACACA","acaca",-0.445261490482989,"31"
"ACACB","acacb",1.51613503496339,"32"
"ACAD11","acad11",0.378293628926182,"84129"
"ACAD11","LOC107372609",-0.0761227598011278,"84129"
"ACAD11","LOC107374620",-0.192247601571295,"84129"
"ACAD8","acad8",0.140943469728057,"27034"
"ACAD9","acad9",-0.00456666896611511,"28976"
"ACADL","acadl",0.0761227598011278,"33"
"ACADM","acadm",-0.0422820344176742,"34"
"ACADS","acads",0.0967528843564096,"35"
"ACADS","LOC107383304",-0.00361678485973265,"35"
"ACADSB","acadsb",0.00403374522568016,"36"
"ACADVL","LOC107393942",0.164143958269244,"37"
"ACADVL","acadvl",0.149373623319077,"37"
"ACAP2","acap2",-0.000156829016529023,"23527"
"ACAP2","LOC107379876",-0.242608419357572,"23527"
"ACAP3","LOC107374920",0.0878214692294833,"116983"
"ACAT1","acat1",0.767377890603472,"38"
"ACAT2","acat2",6.58480955229727e-05,"39"
"ACBD3","acbd3",-0.0452692137018846,"64746"
"ACBD4","acbd4",-0.00314856689440236,"79777"
"ACBD5","acbd5",-0.282179853491313,"91452"
"ACBD6","acbd6",0.448285920065951,"84320"
"ACBD7","LOC107374258",-3.14478480680256e-05,"414149"
"ACCS","accs",0.164906578020057,"84680"
"ACE","LOC107374473",-0.000739903363674314,"1636"
"ACE","LOC107373083",-0.0935382118044179,"1636"
"ACE","LOC107374589",-0.175033850605786,"1636"
"ACE","ace",1.85774860552574,"1636"
"ACER2","acer2",-0.00974721654406452,"340485"
"ACER3","acer3",-0.00475228775233271,"55331"
"ACIN1","acin1",-0.00919903149571215,"22985"
"ACIN1","LOC107377177",-0.484137549247204,"22985"
"ACKR3","ackr3",-0.452850157156827,"57007"
"ACKR4","LOC107379530",0.811756269509948,"51554"
"ACLY","acly",-1.26286957201602,"47"
"ACLY","LOC107387857",0.729756948551164,"47"
"ACMSD","acmsd",-0.372946541815289,"130013"
"ACO1","aco1",-0.0873129852022383,"48"
"ACO2","aco2",0.00513560503866509,"50"
"ACOT1","LOC107380820",-0.832555634944514,"641371"
"ACOT1","LOC107395266",0.000207961086924634,"641371"
"ACOT11","acot11",0.0134148108784511,"26027"
"ACOT11","LOC107384368",-0.116296960612905,"26027"
"ACOT13","acot13",-3.51240964296538,"55856"
"ACOT8","acot8",0.0780002416225962,"10005"
"ACOT9","acot9",0.623281333143192,"23597"
"ACOX1","acox1",0.00649428674821925,"51"
"ACOX3","acox3",-0.240637264719408,"8310"
"ACP1","acp1",-0.196505340888157,"52"
"ACP2","acp2",0.0013163274246577,"53"
"ACP5","acp5",0.180653097468813,"54"
"ACP6","acp6",-0.149373623319077,"51205"
"ACP7","acp7",0.259807980587086,"390928"
"ACSBG2","acsbg2",0.0119623481455342,"81616"
"ACSBG2","LOC107394339",-1.02000594688293,"81616"
"ACSF2","LOC107387470",-0.0118067348984122,"80221"
"ACSF3","acsf3",-0.132166614479821,"197322"
"ACSL1","acsl1",-0.0309849280897113,"2180"
"ACSL3","LOC107384026",0.000848999238668337,"2181"
"ACSL4","acsl4",-0.368971327945956,"2182"
"ACSL6","LOC107386827",0.00840969484695821,"23305"
"ACSL6","LOC107393756",0.405844522027046,"23305"
"ACSS1","acss1",1.32433120420227,"84532"
"ACSS2","LOC107390533",0.0185484606039859,"55902"
"ACSS2","LOC107383541",-0.0650237104903188,"55902"
"ACSS3","acss3",1.49286972065143,"79611"
"ACTA2","acta2",-0.330837853407074,"59"
"ACTB","LOC107386128",0.00879944809690532,"60"
"ACTG1","LOC107389815",-0.0646020963216672,"71"
"ACTG1","actb",0.295539094993447,"71"
"ACTL6A","actl6a",-0.037572636733656,"86"
"ACTN1","LOC107391737",0.107392033353416,"87"
"ACTN4","actn4",-0.137524415624384,"81"
"ACTR10","actr10",-0.168754652824844,"55860"
"ACTR1B","LOC107396565",0.0684578367875177,"10120"
"ACTR2","actr2",0.371618137542731,"10097"
"ACTR3","LOC107382736",1.2005669192806,"10096"
"ACTR3","LOC107377239",0.118748736193078,"10096"
"ACTR3","LOC107373242",0.731930286371516,"10096"
"ACTR5","actr5",-0.227141604530485,"79913"
"ACTR6","actr6",-0.0106028338403841,"64431"
"ACTR8","actr8",-0.142326399483141,"93973"
"ACVR1","LOC107392117",0.00172387171132634,"90"
"ACVR1","LOC107390883",0.687306809144781,"90"
"ACVR1","acvr1",0.922553618588742,"90"
"ACVR1B","acvr1b",0.408675538063948,"91"
"ACVR2A","acvr2a",-0.0334731986899812,"92"
"ACVR2B","LOC107383557",-0.00584556256351766,"93"
"ACY1","acy1",-1.57163155336538,"95"
"ACYP1","acyp1",0.0237228623577462,"97"
"ADA","ada",0.85438541510687,"100"
"ADAD2","adad2",0.0151399435554266,"161931"
"ADAL","adal",-0.0693334923398386,"161823"
"ADAM10","LOC107388626",1.12548259930196,"102"
"ADAM10","adam10",0.794812211174313,"102"
"ADAM12","adam12",0.598585080496224,"8038"
"ADAM12","adam15",0.00778176969528681,"8038"
"ADAM12","LOC107387781",0.0527247704628443,"8038"
"ADAM17","adam17",0.383694558021297,"6868"
"ADAM23","adam23",-0.0501629146603284,"8745"
"ADAM28","adam32",2.62085478846507,"10863"
"ADAM8","LOC107387480",0.200825467016169,"101"
"ADAMTS13","adamts13",-0.00683273371527502,"11093"
"ADAMTS15","LOC107386475",0.681103763487917,"170689"
"ADAMTS2","LOC107387186",0.037572636733656,"9509"
"ADARB1","LOC107389392",-0.553134750278685,"104"
"ADAT1","adat1",-0.0228091212025101,"23536"
"ADAT2","adat2",-0.0124360830227489,"134637"
"ADAT3","adat3",-0.209655134819497,"113179"
"ADCK1","adck1",-0.0121191088826433,"57143"
"ADCK2","adck2",-0.0124360830227489,"90956"
"ADCK5","adck5",0.164143958269244,"203054"
"ADCY1","LOC107393050",-0.0291275737762488,"107"
"ADCY2","LOC107383184",0.266071282285792,"108"
"ADCY6","LOC107390847",0.31166869968025,"112"
"ADCY6","adcy6",5.60572124739063e-05,"112"
"ADCY9","LOC107390534",0.000356018241059098,"115"
"ADD1","add1",-0.0230356025940508,"118"
"ADD3","LOC107395483",0.09729535686131,"120"
"ADD3","add3",0.00649428674821925,"120"
"ADGRA3","adgra3",-6.58480955229727e-05,"166647"
"ADGRE5","LOC107378310",1.26153441591968,"976"
"ADGRE5","LOC107390510",0.275658536374778,"976"
"ADGRG4","LOC107389748",-0.000887098171872695,"139378"
"ADGRL4","adgrl4",0.000515404541661544,"64123"
