"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"CC","GO:0099512","supramolecular fiber",414,-0.543867236735822,-1.78966714652853,1.92279305552129e-10,1.19405448747872e-06,1.08283608916199e-06,1025,"tags=23%, list=11%, signal=22%","DPYSL3/ALDOA/AURKA/TUBGCP3/RASSF1/DAPK3/BOD1L1/PNN/FKBP4/TTLL4/PLS3/KIF20B/KIF13B/RAC1/DYNLL2/COL6A1/MYH10/KRT8/RAC3/GLRX3/GAS8/TSC1/KIFC1/SHROOM4/INO80/TNNC1/PSTPIP1/ZNF207/COTL1/RAC2/CFL2/MYO6/TEKT1/MYLPF/LMNB2/SERP1/TPX2/TUBA1A/MYH11/EPPK1/SYNE2/HAUS2/KRT18/MMP2/SCO1/CALM3/ACTN1/PPL/DPYSL2/CDK2AP2/EML1/INCENP/HAUS1/DCN/RACGAP1/RAB3D/KATNA1/JUP/NARF/NINL/PSTPIP2/NDEL1/TPM3/CALD1/PLK1/CSRP1/HAUS5/CDK1/ACTA2/PDLIM5/TPM4/KIF11/ILK/PDLIM1/MYO9B/STMN1/AURKB/HAUS6/ACTB/CKAP2/COL16A1/BAG2/TPM1/VCL/MYH9/FLNA/COL5A1/COL2A1/DSP/MYL9/FBN2/ANXA1/COL1A1/MFAP2/COL1A2/MAP1A"
"CC","GO:0099081","supramolecular polymer",417,-0.547338890249901,-1.80106465589169,4.27640776927485e-10,1.32782461235984e-06,1.20414639819055e-06,1025,"tags=24%, list=11%, signal=22%","DPYSL3/ALDOA/AURKA/TUBGCP3/RASSF1/DAPK3/BOD1L1/PNN/FKBP4/TTLL4/PLS3/KIF20B/KIF13B/RAC1/DYNLL2/COL6A1/MYH10/KRT8/RAC3/GLRX3/GAS8/TSC1/KIFC1/SHROOM4/INO80/TNNC1/PSTPIP1/ZNF207/COTL1/RAC2/CFL2/MYO6/TEKT1/MYLPF/LMNB2/SERP1/TPX2/TUBA1A/MYH11/EPPK1/SYNE2/HAUS2/KRT18/MMP2/SCO1/CALM3/ACTN1/PPL/DPYSL2/CDK2AP2/EML1/INCENP/HAUS1/DCN/RACGAP1/RAB3D/KATNA1/JUP/NARF/NINL/PSTPIP2/NDEL1/TPM3/CALD1/PLK1/COL4A6/CSRP1/HAUS5/CDK1/ACTA2/PDLIM5/TPM4/KIF11/ILK/PDLIM1/MYO9B/STMN1/AURKB/HAUS6/ACTB/COL4A1/CKAP2/COL16A1/BAG2/TPM1/VCL/MYH9/FLNA/COL5A1/COL2A1/DSP/MYL9/FBN2/ANXA1/COL1A1/MFAP2/COL1A2/MAP1A"
"MF","GO:0005198","structural molecule activity",351,-0.549550261134781,-1.78161434545599,2.73354132925372e-09,4.98217079901996e-06,4.51811403928414e-06,976,"tags=18%, list=11%, signal=17%","TUBGCP3/MRPL51/MPZL1/PRELP/NUP98/PNN/TLN1/CLDN15/MRPS34/MRPS21/ERC1/HIP1/SRPX/COL6A1/COL15A1/MRPS33/PXDN/NUP214/MRPL13/MYLPF/MRPL11/MRPL37/TUBA1A/MYH11/EPPK1/NUTF2/KRT18/MRPL12/RPL7L1/ARPC2/ACTN1/PPL/MRPL1/DCN/JUP/HMGA1/NID2/COL4A6/CSRP1/TPM4/AEBP1/EPB41L2/ACTB/COL4A1/HSPG2/MYL6/COL16A1/TPM1/COL18A1/VCL/SNTA1/COL5A1/COL2A1/DSP/COL17A1/MYL9/FBN2/COL6A2/COL1A1/MFAP2/SPARC/COL1A2/MAP1A"
"BP","GO:0006260","DNA replication",180,-0.643985724292443,-1.96419771114121,3.20912772883734e-09,4.98217079901996e-06,4.51811403928414e-06,1254,"tags=37%, list=14%, signal=33%","POLD2/NOC3L/BRCA1/RBBP6/TTF1/BLM/LRWD1/PCNA/SAMHD1/RFC3/WRN/RAD1/EME1/RFC5/BOD1L1/POLD3/TERF2/RAC1/CDC42/RAD9A/RECQL/RFC4/POLE3/GINS2/NFIC/DUT/INO80/RFC1/MCM7/GINS1/HRAS/DACH1/CDK2/ING4/MCM6/ORC2/MCMBP/MCM4/GMNN/TOPBP1/ZRANB3/POLA2/RAD51/CHAF1B/RRM1/MCM5/HMGA1/POLD1/PRIM2/RPA2/MCM2/MCM3/RBBP8/CDK1/RRM2/RPA3/EXO1/PRIM1/CLSPN/NASP/CDC6/CCNE2/NFIB/CHAF1A/CDT1/LIG1/CDC45"
"BP","GO:0006261","DNA-dependent DNA replication",102,-0.701355674795235,-1.96539570588337,8.83951751285029e-08,0.000109786807509601,9.95608814605244e-05,1305,"tags=45%, list=14%, signal=39%","ETAA1/POLD2/NOC3L/BLM/LRWD1/PCNA/SAMHD1/RFC3/WRN/EME1/RFC5/BOD1L1/POLD3/TERF2/RECQL/RFC4/POLE3/GINS2/INO80/RFC1/MCM7/GINS1/DACH1/MCM6/ORC2/MCMBP/MCM4/GMNN/TOPBP1/ZRANB3/POLA2/RAD51/MCM5/HMGA1/POLD1/PRIM2/RPA2/MCM2/MCM3/RPA3/PRIM1/CDC6/CCNE2/CDT1/LIG1/CDC45"
"CC","GO:0000228","nuclear chromosome",144,-0.63159608562221,-1.86126428814632,1.03335125065308e-06,0.00106951854442593,0.000969899858069116,1517,"tags=42%, list=17%, signal=36%","POLE4/NIFK/TUBG1/ORC3/SFR1/HNRNPU/PHF12/BUB1B/SMCHD1/ETAA1/POLD2/LRIF1/SYCE3/BRCA1/BLM/LRWD1/NUFIP1/PCNA/SMARCB1/CDC5L/SYCP2L/RAD1/AGO3/TOP2A/PINX1/MCRS1/CPSF6/POLD3/RAD9A/POLE3/GINS2/INO80/BAZ1B/MCM7/GINS1/RRS1/TERF2IP/SUV39H1/MCM6/ORC2/NCAPD2/INO80E/MCM4/TOPBP1/INCENP/ZRANB3/POLA2/RAD51/NCOR1/MCM5/POLD1/PRIM2/RPA2/PLK1/MCM2/MCM3/RPA3/PRIM1/SAP130/CENPK/HMGA2"
"BP","GO:0044772","mitotic cell cycle phase transition",395,-0.491174645744526,-1.60770250193866,1.24700516790821e-06,0.00110627172753,0.00100322972155021,716,"tags=16%, list=8%, signal=16%","POLE3/NPAT/TACC3/PSMB7/UBE2E2/INO80/MCM7/ZNF207/PKMYT1/TPX2/TUBA1A/HAUS2/CDK2/MYC/MCM6/ORC2/CALM3/AKT1/MCM4/GMNN/CDK2AP2/EZH2/TOPBP1/HAUS1/UBE2C/E2F1/POLA2/MCM5/NINL/PRIM2/ID2/RPA2/PLK1/MCM2/MCM3/CDC25A/HAUS5/CDK1/RRM2/RPA3/AJUBA/SKP2/FBXL15/PRIM1/CLSPN/CDK4/FHL1/TYMS/NASP/AURKB/CDC6/HAUS6/CCNE2/MAD2L1/HECW2/CDT1/CDC23/CDC45/WEE1/LATS2/RIOK2/HMGA2/ANAPC15/ANXA1/NACC2"
"MF","GO:0030246","carbohydrate binding",124,0.659657417114414,1.87971849075627,1.51499591022977e-06,0.00117601557531586,0.00106647738417491,1363,"tags=33%, list=15%, signal=29%","C4B/EGLN2/REG4/REG1A/PAM/PPP1R3C/CLN5/LOXL2/PFKL/EGLN3/STBD1/MAN2A2/LMAN2/GCK/P4HA2/SFTPD/MAN2B1/EMC7/ENPP2/LGALS3/COLEC10/PRG4/PPP1R3D/SFTPA2/CLEC4D/H6PD/ZP3/CLEC14A/PLOD3/P3H1/GPCPD1/CNTN1/CD302/OS9/PLOD1/ATRNL1/PPP1R3G/GYS1/HK2/GALNT16/UAP1"
"CC","GO:0099513","polymeric cytoskeletal fiber",318,-0.518279355834772,-1.66950550266238,2.19563455242024e-06,0.00151498784116997,0.0013738765912805,1151,"tags=24%, list=13%, signal=21%","HOOK1/HAUS7/EIF6/MARK2/MAPRE1/DPYSL3/AURKA/TUBGCP3/RASSF1/DAPK3/BOD1L1/PNN/FKBP4/TTLL4/PLS3/KIF20B/KIF13B/RAC1/DYNLL2/KRT8/RAC3/GAS8/TSC1/KIFC1/SHROOM4/INO80/PSTPIP1/ZNF207/COTL1/RAC2/MYO6/TEKT1/LMNB2/SERP1/TPX2/TUBA1A/EPPK1/HAUS2/KRT18/CALM3/ACTN1/PPL/DPYSL2/CDK2AP2/EML1/INCENP/HAUS1/RACGAP1/RAB3D/KATNA1/JUP/NARF/NINL/PSTPIP2/NDEL1/TPM3/PLK1/HAUS5/CDK1/PDLIM5/TPM4/KIF11/PDLIM1/MYO9B/STMN1/AURKB/HAUS6/ACTB/CKAP2/BAG2/TPM1/FLNA/DSP/ANXA1/MAP1A"
"MF","GO:0038023","signaling receptor activity",311,0.537490163864264,1.68447473358848,2.99254549592992e-06,0.00168942795724771,0.00153206874672011,1285,"tags=22%, list=14%, signal=19%","FGFRL1/CNTFR/GRIA3/SEMA4D/REG4/REG1A/EPHA8/GRIK4/VLDLR/F2/TLR5/VAC14/F2RL2/EPHA7/NPR2/FLT4/GPR146/HTR4/SLC1A5/JMJD6/PTPRD/TLR2/BMPR2/EPHA5/CCKAR/OPN4/LPAR3/SIGMAR1/PLXNB2/IL11RA/MET/TNFRSF10A/RGMA/IL6ST/PDGFRB/NR1H4/ESR2/LGR4/P2RX7/CNR2/PTK2B/GLP1R/M6PR/BMPR1A/ERBB2/ESR1/ADGRL4/ADORA2A/STRA6/SCARB2/F2R/RORB/CD302/GABRA4/ACVR1B/VDR/PTGER4/DMBT1/THBD/GPR22/PRLR/SSTR2/TAPT1/PTGIR/TGFBR1/C5AR1/P2RY4"
