"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",1.49679648059646,"29974"
"A2M","LOC107395751",0.129376789659959,"2"
"A2ML1","LOC107373335",-0.0296998626229991,"144568"
"A2ML1","LOC107380767",1.42254963984379,"144568"
"A2ML1","LOC107373536",-0.226875120352657,"144568"
"AAAS","aaas",0.00698464715762978,"8086"
"AACS","aacs",0.206274752994269,"65985"
"AADAT","aadat",-1.53766131381476,"51166"
"AAGAB","aagab",0.173111239325799,"79719"
"AAK1","LOC107373159",-0.497186048290501,"22848"
"AAMDC","aamdc",0.202704712964234,"28971"
"AAMP","aamp",-0.188459401142003,"14"
"AAR2","aar2",-0.030897145253631,"25980"
"AARS2","aars2",0.00255624038642419,"57505"
"AARSD1","aarsd1",-0.00478326898741541,"80755"
"AASDH","aasdh",-0.0697079393327522,"132949"
"AASDHPPT","aasdhppt",-0.00512590671835472,"60496"
"AASS","aass",-0.241643827648982,"10157"
"AATF","aatf",2.7542086075965e-05,"26574"
"ABAT","abat",0.00693301574898523,"18"
"ABCA1","LOC107381037",0.289323389878361,"19"
"ABCA1","LOC107391047",-0.00319326329041611,"19"
"ABCA3","abca3",1.49214972336087e-05,"21"
"ABCA5","abca5",0.127040283512821,"23461"
"ABCB1","abcb1",0.00503903251043995,"5243"
"ABCB10","abcb10",-0.143981408528782,"23456"
"ABCB11","LOC107380987",-0.0124564281420462,"8647"
"ABCB6","abcb6",-0.260298663521952,"10058"
"ABCB7","abcb7",-0.0255106027638804,"22"
"ABCB8","LOC107383862",0.154948579690064,"11194"
"ABCB9","abcb9",0.0959095404274829,"23457"
"ABCC1","LOC107391801",-0.00246720780473284,"4363"
"ABCC1","LOC107392837",0.537811595848966,"4363"
"ABCC1","LOC107373251",-0.21029034084052,"4363"
"ABCC10","abcc10",-0.0415126328727446,"89845"
"ABCC12","LOC107381982",0.0737493611672125,"94160"
"ABCC2","abcc2",4.04288585884221e-05,"1244"
"ABCC3","LOC107388296",3.36745157601694e-05,"8714"
