"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0001568","blood vessel development",453,-0.531557833613172,-1.80735486394721,1e-10,4.65183021994328e-08,4.04174983021649e-08,1804,"tags=30%, list=18%, signal=25%","RHOA/TIE1/QKI/LRP1/EPN1/PIK3R3/PRKCB/NDNF/CCDC134/ITGB1/NRARP/AMOT/AQP1/SEMA6A/FBXW7/S1PR1/PRICKLE1/EGR3/EPN2/FOXC1/ITGB3/ALDH1A2/ZMIZ1/GLI3/EFNB2/HSPG2/JUN/ACTA2/GADD45A/KLF4/MYDGF/ISM1/RAP1A/TNFSF12/SLC12A2/SFRP2/PKM/PDCD6/HGF/VASH2/DLX3/TAB1/TCF7L2/RUNX1/NOTCH2/ABL1/HPSE/CCM2/SRPX2/TMED2/ANGPT2/SMO/ITGAV/ARHGAP22/LOXL2/EMP2/ANTXR1/PSEN1/PDCD10/RHOB/PLXDC1/ATP7A/STAB1/ANXA2/CD34/PLCD3/CDH13/ANGPTL2/EIF2AK3/FLNA/PLCG1/PLK2/BMPER/GLUL/HGS/AMOTL2/PDGFB/WNT5A/HMGB1/THBS2/CTNNB1/PIK3C2A/ANGPTL1/ACKR3/CDC42/THBS1/EPHB1/EPHB3/FGFR2/FN1/COL15A1/ENPP2/SERPINF1/ADAMTS1/GJC1/ATP2B4/SAT1/NDST1/AGO1/MMP2/MEGF8/COL18A1/MMP14/TGFBR2/RRAS/LRP5/EGR1/COL4A1/DCN/NGFR/HSPB1/NRCAM/SULF1/LOX/FKBP10/ADGRA2/IHH/TNMD/DDAH1/TGFBI/RECK/THBS4/TGFB2/COL22A1/POFUT1/SPARC/COL1A2/COL5A1/NTRK2/PTK7/CREB3L1/COL1A1/CDH2/XBP1"
"MF","GO:0005198","structural molecule activity",432,-0.58633850535261,-1.98853002331341,1e-10,4.65183021994328e-08,4.04174983021649e-08,1200,"tags=23%, list=12%, signal=21%","STX2/HMGA1/CSRP2/SPTBN1/MYBPC3/NUP155/SRPX2/KRT13/MYL6/NEFL/CLTC/LTBP2/COL25A1/CLDN19/AGRN/NUP85/MPZ/DPT/EPB41L1/ACTN1/COL14A1/COPB2/BGN/MYOM2/THBS2/COL6A3/CTNNA1/NUP93/MBP/LAMB2/THBS1/ASPH/MAP1A/TPM1/ABI3BP/FN1/FBLN5/LMNB1/COL15A1/SEC31A/MYLPF/CILP/TUBA1A/HMCN1/FRAS1/COPA/FBN2/LLGL1/MAP2/LUM/COL18A1/SEC13/COPB1/TUBB4B/LAMB1/MARVELD1/ADD2/COL12A1/COL27A1/TUBA1B/COL6A2/COL6A6/TNXB/MXRA5/BGLAP/COL4A1/COL10A1/ASPN/DCN/COPG2/PANX3/COL24A1/SPON1/TUBB/PXDN/MATN2/SRPX/TGFBI/OGN/COL6A1/PRELP/POSTN/MGP/COL22A1/COL16A1/TNC/LAMA4/SPARC/CTHRC1/COL2A1/COL1A2/COL5A1/COL11A1/ELN/COL9A2/COL9A3/COL1A1/LAMC1/NID1/MYH8"
"MF","GO:0005201","extracellular matrix structural constituent",109,-0.805305818431723,-2.37740260324179,1e-10,4.65183021994328e-08,4.04174983021649e-08,986,"tags=53%, list=10%, signal=49%","LTBP2/COL25A1/AGRN/DPT/COL14A1/BGN/THBS2/COL6A3/LAMB2/THBS1/ABI3BP/FN1/FBLN5/COL15A1/CILP/HMCN1/FRAS1/FBN2/LUM/COL18A1/LAMB1/COL12A1/COL27A1/COL6A2/COL6A6/TNXB/MXRA5/COL4A1/COL10A1/ASPN/DCN/COL24A1/SPON1/PXDN/MATN2/SRPX/TGFBI/OGN/COL6A1/PRELP/POSTN/MGP/COL22A1/COL16A1/TNC/LAMA4/SPARC/CTHRC1/COL2A1/COL1A2/COL5A1/COL11A1/ELN/COL9A2/COL9A3/COL1A1/LAMC1/NID1"
"MF","GO:0005509","calcium ion binding",336,-0.57525491201006,-1.91845211334311,1e-10,4.65183021994328e-08,4.04174983021649e-08,1356,"tags=35%, list=13%, signal=32%","PCDH7/SLIT1/ATP2A2/PLCD1/PDCD6/LPCAT2/SYT1/PRKCSH/CAPNS2/CAPN1/PLS3/SULF2/NOTCH2/S100A13/MAN1A1/SYT4/PSPH/S100G/UNC13C/HRC/EHD3/SELL/MYL6/LOXL2/LTBP2/STAB1/DSC1/ANXA13/ANXA2/PLA2G4C/CDH13/PCDH19/AGRN/BMP1/S100P/OCM/EML1/PLCG1/FKBP9/PCDH18/ACTN1/CRELD2/REPS2/EHD1/TNNC2/THBS2/RPH3A/NINL/MAN1C1/THBS1/ASPH/LTBP3/CD248/EDEM3/RASGRP2/CDH11/SVEP1/SCUBE2/FBLN5/KCNIP1/CIB3/CDH4/ENPP2/CLEC3B/HPCAL1/MYLPF/PAM/NCAN/FBLN7/HMCN1/EGFL6/CETN3/FBN2/SNCA/PCDHAC2/FAT1/HSPA5/MEGF8/CALU/PAMR1/CALR/RCN3/FKBP7/SYT11/ESYT1/FKBP14/KCNIP2/HSP90B1/NELL2/SYT2/BGLAP/AOC3/ASPN/MEGF6/ENPP1/SULF1/NCS1/RET/RCN1/FKBP10/MCFD2/IHH/MATN2/ADGRL3/PPP3R1/PLCH2/CETN2/PCDHGC5/THBS4/FSTL1/MGP/PLCD4/SLIT3/SPARC/CGREF1/MATN4/AMY2A/CDH2/NID1"
"CC","GO:0005788","endoplasmic reticulum lumen",192,-0.663492869632518,-2.09654024439465,1e-10,4.65183021994328e-08,4.04174983021649e-08,1100,"tags=41%, list=11%, signal=37%","PDIA3/IGFBP4/ARSJ/TXNDC5/FAM20C/HRC/GPX8/COL25A1/KTN1/LGALS1/MANF/DNAJB11/P3H1/NOTUM/P4HA1/PDGFB/WNT5A/COL14A1/FOXRED2/COL6A3/PPIB/LAMB2/THBS1/COL20A1/EDEM3/FN1/PLOD3/COL15A1/PDIA4/HSPA5/PDIA6/WNT5B/APOA1/APLP2/COLGALT2/ADAMTS7/COL18A1/CALU/CALR/RCN3/FKBP7/LAMB1/COL12A1/COL27A1/COL6A2/FKBP14/PTPRN2/TSPAN33/CRTAP/HSP90B1/BGLAP/CKAP4/COL4A1/COL10A1/COL24A1/SPON1/RCN1/MXRA8/FKBP10/ERP44/SERPINH1/GPX7/QSOX1/COL6A1/FSTL1/COL22A1/COL16A1/TNC/COL2A1/COL1A2/COL5A1/COL11A1/COL9A2/COL9A3/COL1A1/LAMC1/FSTL3/CDH2"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",377,0.564722128633304,1.93139721270917,1e-10,4.65183021994328e-08,4.04174983021649e-08,2505,"tags=37%, list=25%, signal=29%","NUDT16/FRG1/RAN/C1D/NMD3/EIF3G/ABT1/AAR2/NOP14/LUC7L2/GEMIN8/IMP4/EIF3L/LAS1L/EIF3F/PRPF18/LTV1/RSL24D1/EXOSC7/POP4/GTPBP10/EIF3D/NSA2/CHD7/METTL17/NOL10/SMN1/TSC1/EIF3K/GTPBP4/MALSU1/SBDS/DDX39B/POLR2D/RRS1/RPUSD1/PELP1/MRPS11/GEMIN4/PRPF3/EIF3B/KAT2B/TSR3/MYBBP1A/RRP8/RIOK1/ADAR/EIF3M/PIN4/CELF2/UTP23/NGDN/EIF4A3/URB2/CUL4A/DDX52/RBM5/HSP90AB1/SNUPN/NOP9/GNL2/GEMIN5/EXOSC10/NIFK/NUP88/GCFC2/LSG1/GNL3L/PRPF39/ZNF622/SF3A2/RCL1/NHP2/SRSF5/CLP1/SURF6/MTG2/MPHOSPH10/RPS25/BYSL/WDR3/RPF2/EIF3H/NOL9/EXOSC8/WDR36/EIF3I/RPS27/MRTO4/MTERF3/UTP14A/SF3B1/RPS17/TGS1/GTF3A/RIOK2/ERAL1/NLE1/NIP7/NAF1/DCAF13/DDX21/BRIX1/RPL14/EIF3C/RPS9/URB1/NOP10/DDX51/ZNHIT3/RPL7/SART1/CUL4B/EIF6/USP4/NVL/DIMT1/RPL35A/UTP4/METTL5/RPL26/EXOSC2/RPL24/ERCC2/DDX1/RPUSD2/RPS28/NSUN5/NOL8/AGO4/NOC2L/MAK16/CRNKL1/EIF4B/WDR43/RPS6/METTL15/RIOK3/DICER1/ZNHIT6"
"BP","GO:0030198","extracellular matrix organization",264,-0.673096924494965,-2.19455314634751,1e-10,4.65183021994328e-08,4.04174983021649e-08,1560,"tags=45%, list=15%, signal=39%","MMP17/FOXC1/ITGB3/SOX9/SCUBE1/COL28A1/CAV2/SCUBE3/HSPG2/CLASP1/EXT1/SFRP2/HTRA1/HSD17B12/MFAP2/CAPNS2/TNFRSF11B/AEBP1/CAPN1/RUNX1/SULF2/ABL1/MPV17/PAPLN/ADAMTS16/CCDC80/ITGAV/MMP16/LOXL2/ANTXR1/ATP7A/ADAMTS14/HPSE2/AGRN/BMP1/ADAM19/DPT/ADAMTS8/RB1/PDGFB/COL14A1/ADAMTS2/BGN/GPM6B/COL6A3/PRDX4/LAMB2/THBS1/LTBP3/BMP2/CTSK/FN1/FBLN5/ADAMTS15/PLOD3/APLP1/COL15A1/ADAMTS1/NCAN/EGFL6/FBN2/MMP2/LUM/ITGA1/ADAMTS7/DDR2/COL18A1/NTN4/LAMB1/MMP14/COL12A1/COL27A1/COL6A2/FSCN1/ECM2/SH3PXD2B/TNXB/CRTAP/COL4A1/COL10A1/BCAN/DCN/SULF1/COL24A1/LOX/ADAMTS18/ITGA10/LOXL4/ITGA8/FKBP10/SERPINH1/ADAMTS12/IHH/P3H4/PXDN/TGFBI/QSOX1/COL6A1/RECK/POSTN/TGFB2/MMP9/COL22A1/COL16A1/TNC/LAMA4/SPARC/COL2A1/COL1A2/COL5A1/COL11A1/ELN/CREB3L1/COL9A2/COL9A3/MATN4/COL1A1/LAMC1/NID1"
"CC","GO:0030312","external encapsulating structure",321,-0.689636696654778,-2.28894552950291,1e-10,4.65183021994328e-08,4.04174983021649e-08,1093,"tags=41%, list=11%, signal=38%","SRPX2/PAPLN/GPC1/ADAMTS16/CCDC80/ANGPT2/MMP16/LOXL2/LTBP2/PHOSPHO1/COL25A1/ADAMTS14/ANXA2/HPSE2/CDH13/L1CAM/LGALS1/AGRN/LRRC17/C17orf58/ANGPTL2/P3H1/ADAM19/DPT/ADAMTS8/BMPER/PDGFB/WNT5A/COL14A1/ADAMTS2/BGN/TGM2/THBS2/COL6A3/ITIH5/ANGPTL1/LAMB2/THBS1/UCMA/LTBP3/CD248/COL20A1/TPSB2/ABI3BP/FGFR2/FN1/FBLN5/ADAMTS15/NCAM1/PLOD3/APLP1/COL15A1/CLEC3B/SERPINF1/ADAMTS1/CILP/NCAN/FBLN7/SPON2/HMCN1/FRAS1/EGFL6/FREM2/FBN2/LINGO2/MMP2/WNT5B/LUM/APOA1/ALPL/ADAMTS7/COL18A1/NTN4/CALR/LAMB1/MMP14/COL12A1/RTN4RL2/COL27A1/COL6A2/ECM2/COL6A6/TNXB/MXRA5/HSP90B1/SDC3/COL4A1/TMEFF1/COL10A1/ASPN/BCAN/DCN/SULF1/COL24A1/LOX/CHAD/SPON1/ADAMTS18/SERPINH1/ADAMTS12/IHH/PXDN/MATN2/SRPX/TGFBI/OGN/COL6A1/PRELP/TRIL/THBS4/POSTN/TGFB2/MMP9/MGP/COL22A1/COL16A1/TNC/LAMA4/SPARC/CTHRC1/COL2A1/COL1A2/COL5A1/COL11A1/ELN/COL9A2/COL9A3/MATN4/COL1A1/LAMC1/CDH2/NID1"
"CC","GO:0031012","extracellular matrix",321,-0.689636696654778,-2.28894552950291,1e-10,4.65183021994328e-08,4.04174983021649e-08,1093,"tags=41%, list=11%, signal=38%","SRPX2/PAPLN/GPC1/ADAMTS16/CCDC80/ANGPT2/MMP16/LOXL2/LTBP2/PHOSPHO1/COL25A1/ADAMTS14/ANXA2/HPSE2/CDH13/L1CAM/LGALS1/AGRN/LRRC17/C17orf58/ANGPTL2/P3H1/ADAM19/DPT/ADAMTS8/BMPER/PDGFB/WNT5A/COL14A1/ADAMTS2/BGN/TGM2/THBS2/COL6A3/ITIH5/ANGPTL1/LAMB2/THBS1/UCMA/LTBP3/CD248/COL20A1/TPSB2/ABI3BP/FGFR2/FN1/FBLN5/ADAMTS15/NCAM1/PLOD3/APLP1/COL15A1/CLEC3B/SERPINF1/ADAMTS1/CILP/NCAN/FBLN7/SPON2/HMCN1/FRAS1/EGFL6/FREM2/FBN2/LINGO2/MMP2/WNT5B/LUM/APOA1/ALPL/ADAMTS7/COL18A1/NTN4/CALR/LAMB1/MMP14/COL12A1/RTN4RL2/COL27A1/COL6A2/ECM2/COL6A6/TNXB/MXRA5/HSP90B1/SDC3/COL4A1/TMEFF1/COL10A1/ASPN/BCAN/DCN/SULF1/COL24A1/LOX/CHAD/SPON1/ADAMTS18/SERPINH1/ADAMTS12/IHH/PXDN/MATN2/SRPX/TGFBI/OGN/COL6A1/PRELP/TRIL/THBS4/POSTN/TGFB2/MMP9/MGP/COL22A1/COL16A1/TNC/LAMA4/SPARC/CTHRC1/COL2A1/COL1A2/COL5A1/COL11A1/ELN/COL9A2/COL9A3/MATN4/COL1A1/LAMC1/CDH2/NID1"
"BP","GO:0034470","ncRNA processing",331,0.554189613751328,1.86860012627123,1e-10,4.65183021994328e-08,4.04174983021649e-08,2665,"tags=39%, list=26%, signal=30%","NUDT16/FRG1/C1D/TOE1/ABT1/CTU2/NOP14/IMP4/LAS1L/ANKRD16/EXOSC7/POP4/WDR4/NSA2/CHD7/NOL10/TRMT1/RNF113A/GTPBP4/SBDS/RRS1/RPUSD1/PELP1/MRPS11/GEMIN4/KAT2B/TSR3/RRP8/RIOK1/KTI12/TRMT61A/ADAR/PIN4/USB1/UTP23/PUS10/CDKAL1/NGDN/EIF4A3/DDX52/NOP9/EXOSC10/SMAD3/NIFK/RPP25L/ALKBH1/PUS7/GRSF1/RCL1/NHP2/METTL8/TSEN34/FTSJ1/CLP1/RTCB/MPHOSPH10/RPS25/BYSL/STAT3/FAM98B/POLR3K/WDR3/RPF2/NOL9/EXOSC8/ELP4/WDR36/TRMT5/RPS27/MRTO4/UTP14A/URM1/RPS17/RIOK2/THG1L/LARP7/RPP14/TRMT1L/NAF1/DCAF13/CDK5RAP1/DDX21/TRMO/RPL14/MOCS3/RPS9/URB1/NOP10/DDX51/ZNHIT3/RPL7/SART1/DTWD2/EIF6/NVL/DIMT1/RPL35A/UTP4/ELP6/TRPT1/METTL5/RPL26/EXOSC2/ERCC2/DDX1/ELP2/RPUSD2/RPS28/NSUN5/NOL8/TRMT10B/GTPBP3/AGO4/MAK16/WDR43/RPS6/METTL15/RIOK3/DICER1/ZNHIT6/UTP18/DDX49/TFB2M/CTU1/RPL35/TRMT61B/RPS8/RPS19/EXOSC6/MTO1"
