"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",-1.75766934757777,"144568"
"AAAS","aaas",0.00206770757652514,"8086"
"AACS","aacs",-0.200825467016169,"65985"
"AADAC","LOC107380045",0.569192825558597,"13"
"AADAT","aadat",0.721112504151926,"51166"
"AAGAB","aagab",0.12438602778903,"79719"
"AAK1","LOC107373159",-0.126945740538823,"22848"
"AAMDC","aamdc",0.304683441604005,"28971"
"AAMP","aamp",0.553134750278685,"14"
"AAR2","aar2",2.47688002902453,"25980"
"AARS2","aars2",0.110310036426027,"57505"
"AARSD1","aarsd1",-0.0139199424198371,"80755"
"AASDH","aasdh",-0.103390202418296,"132949"
"AASDHPPT","aasdhppt",0.0270870534900405,"60496"
"AASS","aass",0.0413134471196674,"10157"
"AATF","aatf",0.0667271270777511,"26574"
"AATK","LOC107378275",-2.04272058356421,"9625"
"AATK","aatk",0.0208288723041068,"9625"
"ABAT","abat",2.22785175120283,"18"
"ABCA1","LOC107391047",0.176627378203378,"19"
"ABCA3","abca3",0.0439264207544295,"21"
"ABCA5","abca5",-0.137524415624384,"23461"
"ABCB10","abcb10",-0.899376332980458,"23456"
"ABCB6","abcb6",0.170310283773657,"10058"
"ABCB7","abcb7",-0.0569087334180441,"22"
"ABCB8","LOC107383862",-0.17344984852179,"11194"
"ABCB9","abcb9",0.035195646378397,"23457"
"ABCC1","LOC107391801",-0.0625193023259303,"4363"
"ABCC1","LOC107373251",-1.06003788630948,"4363"
"ABCC10","abcc10",-0.00420741654415381,"89845"
"ABCC2","abcc2",0.04359452202048,"1244"
"ABCC3","LOC107388296",-0.04359452202048,"8714"
"ABCC4","abcc4",0.164906578020057,"10257"
"ABCC5","abcc5",0.157384364428284,"10057"
"ABCC8","abcc8",0.0144356785185572,"6833"
"ABCC9","LOC107387088",0.454378954375726,"10060"
"ABCD1","LOC107391455",1.66238193329621,"215"
"ABCD3","LOC107395207",0.849496508081365,"5825"
"ABCD3","abcd3",2.5888771643482,"5825"
"ABCD4","abcd4",-0.00553515525161495,"5826"
"ABCE1","abce1",-0.0149620891174048,"6059"
"ABCF1","abcf1",-0.359811856728287,"23"
"ABCF2","abcf2",-0.00322418816064815,"10061"
"ABCF3","abcf3",0.167208410819159,"55324"
"ABCG2","LOC107376824",0.0843009093450872,"9429"
"ABHD10","abhd10",-0.581917594741149,"55347"
"ABHD12","LOC107376141",-0.627146878807356,"26090"
"ABHD12","abhd12b",-0.00109069401143988,"26090"
"ABHD13","abhd13",0.00361678485973263,"84945"
"ABHD14A","abhd14a",0.0021282344222788,"25864"
"ABHD14B","abhd14b",0.0343280104215103,"84836"
"ABHD15","LOC107380403",-2.19532361879502,"116236"
"ABHD16A","abhd16a",-1.2695796850777,"7920"
"ABHD17B","abhd17b",-0.706171576370026,"51104"
"ABHD17C","LOC107393262",0.011195705958892,"58489"
"ABHD17C","LOC107384127",-0.237700917102625,"58489"
"ABHD18","abhd18",0.0671572375671902,"80167"
"ABHD2","abhd2",0.178230465733537,"11057"
"ABHD2","LOC107376844",-0.37427828706992,"11057"
"ABHD3","LOC107377588",-0.751712398852086,"171586"
"ABHD3","abhd3",-0.716819494631322,"171586"
"ABHD4","abhd4",1.13772430574839,"63874"
"ABHD5","abhd5",1.50059071993946,"51099"
"ABHD5","LOC107383196",0.0476780816845847,"51099"
"ABI1","LOC107389593",0.00206770757652514,"10006"
"ABI1","LOC107384312",-0.414379636033781,"10006"
"ABI1","abi1",-0.00257798550913431,"10006"
"ABI1","LOC107390296",0.0185484606039859,"10006"
"ABI2","abi2",-0.185563592278048,"10152"
"ABI3BP","abi3bp",-0.66679368713415,"25890"
