"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"MF","GO:0005198","structural molecule activity",432,-0.542633832127712,-1.92759703016545,1e-10,8.1775e-08,7.64342105263158e-08,1312,"tags=28%, list=13%, signal=25%","COPA/DLG1/FBLN5/JPH1/MARVELD1/CLTC/MAL2/RPL22L1/ANOS1/CRELD1/SNTA1/SEC31A/COL8A2/TPM1/SPTBN1/COL6A3/MRPL47/STX2/COPG2/COL4A6/TUBGCP3/THBS2/MAP7/NUP85/ARPC5/COL13A1/PNN/MYL1/LLGL1/MYOM2/HIP1/COL15A1/NEFL/MFAP2/HMGA1/COL28A1/COL6A2/HMCN1/VWF/MYLPF/MRPS31/MRPS30/EDIL3/TUBG1/BGN/VIM/CLDN19/PXDN/OTOG/LMNB1/MPZ/DPT/EIF3A/LAMC1/MBP/FGL2/SEC13/MGP/MAP1A/SORBS2/DCN/TUBA1A/SPON1/ELN/COL18A1/NID2/COPB1/NID1/FBN2/COL12A1/CTNNA2/LAMB1/ASPN/MATN2/CTHRC1/SRPX/COL6A1/NUP107/MYL6/TNC/LAMA4/EFEMP2/COL16A1/COL10A1/PRELP/TUBB4B/EPB41L1/COL21A1/TGFBI/TUBA1B/POSTN/NUP188/COL14A1/COL5A1/COL1A1/TNXB/COL24A1/CLDN6/NUP155/COL2A1/PANX3/COL1A2/FN1/LTBP2/COL27A1/SPARC/CILP/COL4A1/COL25A1/MAP2/LUM/COL6A6/OGN/COL9A2/MYH8/COL11A1/MXRA5/AGRN/TUBB/COL22A1/COL9A3"
"MF","GO:0005201","extracellular matrix structural constituent",109,-0.772086731615512,-2.38336084350017,1e-10,8.1775e-08,7.64342105263158e-08,1074,"tags=59%, list=11%, signal=53%","COL8A2/COL6A3/COL4A6/THBS2/COL13A1/COL15A1/MFAP2/COL28A1/COL6A2/HMCN1/VWF/EDIL3/BGN/PXDN/DPT/LAMC1/FGL2/MGP/DCN/SPON1/ELN/COL18A1/NID2/NID1/FBN2/COL12A1/LAMB1/ASPN/MATN2/CTHRC1/SRPX/COL6A1/TNC/LAMA4/EFEMP2/COL16A1/COL10A1/PRELP/COL21A1/TGFBI/POSTN/COL14A1/COL5A1/COL1A1/TNXB/COL24A1/COL2A1/COL1A2/FN1/LTBP2/COL27A1/SPARC/CILP/COL4A1/COL25A1/LUM/COL6A6/OGN/COL9A2/COL11A1/MXRA5/AGRN/COL22A1/COL9A3"
"BP","GO:0030198","extracellular matrix organization",264,-0.637691392609996,-2.17531399185506,1e-10,8.1775e-08,7.64342105263158e-08,1074,"tags=40%, list=11%, signal=37%","SH3PXD2A/ITGA11/SCUBE1/EXT1/FBLN5/MMP28/FURIN/TNFRSF11B/LRP1/MMP23B/COL8A2/GAS2/COL6A3/COL4A6/PLOD3/CTSK/ADAM12/COL13A1/SCUBE3/PHLDB1/RECK/FLRT2/APLP1/COL15A1/MFAP2/COL28A1/COL6A2/LOXL2/VWF/CCDC80/BGN/FSCN1/CRTAP/PXDN/ADAMTS12/P3H4/LOX/MPV17/DPT/B4GALT1/LAMC1/EGFL6/HTRA1/DCN/CREB3L1/ELN/COL18A1/LTBP3/NID2/ADAMTS7/NID1/FBN2/COL12A1/LAMB1/COL6A1/FKBP10/GPM6B/BCAN/MMP14/TNC/LAMA4/EFEMP2/ITGA1/COL16A1/COL10A1/ADAMTS9/QSOX1/TGFBI/ADAMTS2/FAP/POSTN/ECM2/COL14A1/COL5A1/COL1A1/TNXB/SULF1/COL24A1/COL2A1/MMP9/COL1A2/FN1/IHH/COL27A1/SPARC/ADAMTS14/LOXL4/COL4A1/LOXL3/LUM/ICAM1/ADAM19/COL9A2/ADAMTS8/SERPINH1/COL11A1/NCAN/ITGA10/PAPLN/AGRN/COL22A1/ADAMTS1/COL9A3/MATN4/ITGA8"
"CC","GO:0030312","external encapsulating structure",321,-0.629657473945142,-2.19627908986297,1e-10,8.1775e-08,7.64342105263158e-08,1540,"tags=47%, list=15%, signal=41%","SEMA7A/AEBP1/HAPLN2/EMILIN2/FREM1/BMP7/ADAMTS18/EMILIN3/ADAMTS15/APOA1/WNT5B/FGFR2/LRIG2/SRPX2/DLG1/FBLN5/MMP28/UCMA/LGALS1/TNFRSF11B/ANOS1/CASK/CRELD1/BMPER/P3H1/MMP23B/TGFB3/WNT5A/COL8A2/L1CAM/SPON2/COL6A3/COL4A6/PLOD3/THBS2/CLEC3B/ANGPT1/COL13A1/ALPL/LEFTY2/FLRT2/HAPLN4/ATRN/APLP1/COL15A1/MFAP2/COL28A1/COL6A2/HMCN1/LOXL2/VWF/CD248/EDIL3/CCDC80/BGN/SOST/PXDN/NCAM1/ADAMTS12/CDH13/OTOG/PHOSPHO1/LOX/DPT/LAMC1/FGL2/EGFL6/MGP/TGM2/ANGPTL1/HSP90B1/HTRA1/FREM2/DCN/SPON1/ELN/COL18A1/LTBP3/NID2/LINGO2/ADAMTS7/NID1/FBN2/COL12A1/LAMB1/ASPN/MATN2/CTHRC1/SRPX/COL6A1/BCAN/MMP14/TNC/LAMA4/EFEMP2/COL16A1/COL10A1/ADAMTS9/PRELP/COL21A1/COLEC12/TRIL/TGFBI/ADAMTS2/POSTN/ECM2/CALR/COL14A1/COL5A1/COL1A1/TNXB/SULF1/COL24A1/COL2A1/MMP9/COL1A2/FN1/LTBP2/IHH/COL27A1/SPARC/CILP/ADAMTS14/COL4A1/COL25A1/TGFB1I1/LUM/ICAM1/ADAM19/COL6A6/OGN/THBS4/COL9A2/ADAMTS8/CDH2/SERPINH1/TPSB2/TMEFF1/COL11A1/NCAN/MXRA5/PAPLN/AGRN/SCARA3/COL22A1/ADAMTS1/COL9A3/MATN4/FBLN7/CHAD"
"CC","GO:0031012","extracellular matrix",321,-0.629657473945142,-2.19627908986297,1e-10,8.1775e-08,7.64342105263158e-08,1540,"tags=47%, list=15%, signal=41%","SEMA7A/AEBP1/HAPLN2/EMILIN2/FREM1/BMP7/ADAMTS18/EMILIN3/ADAMTS15/APOA1/WNT5B/FGFR2/LRIG2/SRPX2/DLG1/FBLN5/MMP28/UCMA/LGALS1/TNFRSF11B/ANOS1/CASK/CRELD1/BMPER/P3H1/MMP23B/TGFB3/WNT5A/COL8A2/L1CAM/SPON2/COL6A3/COL4A6/PLOD3/THBS2/CLEC3B/ANGPT1/COL13A1/ALPL/LEFTY2/FLRT2/HAPLN4/ATRN/APLP1/COL15A1/MFAP2/COL28A1/COL6A2/HMCN1/LOXL2/VWF/CD248/EDIL3/CCDC80/BGN/SOST/PXDN/NCAM1/ADAMTS12/CDH13/OTOG/PHOSPHO1/LOX/DPT/LAMC1/FGL2/EGFL6/MGP/TGM2/ANGPTL1/HSP90B1/HTRA1/FREM2/DCN/SPON1/ELN/COL18A1/LTBP3/NID2/LINGO2/ADAMTS7/NID1/FBN2/COL12A1/LAMB1/ASPN/MATN2/CTHRC1/SRPX/COL6A1/BCAN/MMP14/TNC/LAMA4/EFEMP2/COL16A1/COL10A1/ADAMTS9/PRELP/COL21A1/COLEC12/TRIL/TGFBI/ADAMTS2/POSTN/ECM2/CALR/COL14A1/COL5A1/COL1A1/TNXB/SULF1/COL24A1/COL2A1/MMP9/COL1A2/FN1/LTBP2/IHH/COL27A1/SPARC/CILP/ADAMTS14/COL4A1/COL25A1/TGFB1I1/LUM/ICAM1/ADAM19/COL6A6/OGN/THBS4/COL9A2/ADAMTS8/CDH2/SERPINH1/TPSB2/TMEFF1/COL11A1/NCAN/MXRA5/PAPLN/AGRN/SCARA3/COL22A1/ADAMTS1/COL9A3/MATN4/FBLN7/CHAD"
"BP","GO:0043062","extracellular structure organization",264,-0.637691392609996,-2.17531399185506,1e-10,8.1775e-08,7.64342105263158e-08,1074,"tags=40%, list=11%, signal=37%","SH3PXD2A/ITGA11/SCUBE1/EXT1/FBLN5/MMP28/FURIN/TNFRSF11B/LRP1/MMP23B/COL8A2/GAS2/COL6A3/COL4A6/PLOD3/CTSK/ADAM12/COL13A1/SCUBE3/PHLDB1/RECK/FLRT2/APLP1/COL15A1/MFAP2/COL28A1/COL6A2/LOXL2/VWF/CCDC80/BGN/FSCN1/CRTAP/PXDN/ADAMTS12/P3H4/LOX/MPV17/DPT/B4GALT1/LAMC1/EGFL6/HTRA1/DCN/CREB3L1/ELN/COL18A1/LTBP3/NID2/ADAMTS7/NID1/FBN2/COL12A1/LAMB1/COL6A1/FKBP10/GPM6B/BCAN/MMP14/TNC/LAMA4/EFEMP2/ITGA1/COL16A1/COL10A1/ADAMTS9/QSOX1/TGFBI/ADAMTS2/FAP/POSTN/ECM2/COL14A1/COL5A1/COL1A1/TNXB/SULF1/COL24A1/COL2A1/MMP9/COL1A2/FN1/IHH/COL27A1/SPARC/ADAMTS14/LOXL4/COL4A1/LOXL3/LUM/ICAM1/ADAM19/COL9A2/ADAMTS8/SERPINH1/COL11A1/NCAN/ITGA10/PAPLN/AGRN/COL22A1/ADAMTS1/COL9A3/MATN4/ITGA8"
"BP","GO:0045229","external encapsulating structure organization",265,-0.637651364047984,-2.17435858512749,1e-10,8.1775e-08,7.64342105263158e-08,1074,"tags=40%, list=11%, signal=36%","SH3PXD2A/ITGA11/SCUBE1/EXT1/FBLN5/MMP28/FURIN/TNFRSF11B/LRP1/MMP23B/COL8A2/GAS2/COL6A3/COL4A6/PLOD3/CTSK/ADAM12/COL13A1/SCUBE3/PHLDB1/RECK/FLRT2/APLP1/COL15A1/MFAP2/COL28A1/COL6A2/LOXL2/VWF/CCDC80/BGN/FSCN1/CRTAP/PXDN/ADAMTS12/P3H4/LOX/MPV17/DPT/B4GALT1/LAMC1/EGFL6/HTRA1/DCN/CREB3L1/ELN/COL18A1/LTBP3/NID2/ADAMTS7/NID1/FBN2/COL12A1/LAMB1/COL6A1/FKBP10/GPM6B/BCAN/MMP14/TNC/LAMA4/EFEMP2/ITGA1/COL16A1/COL10A1/ADAMTS9/QSOX1/TGFBI/ADAMTS2/FAP/POSTN/ECM2/COL14A1/COL5A1/COL1A1/TNXB/SULF1/COL24A1/COL2A1/MMP9/COL1A2/FN1/IHH/COL27A1/SPARC/ADAMTS14/LOXL4/COL4A1/LOXL3/LUM/ICAM1/ADAM19/COL9A2/ADAMTS8/SERPINH1/COL11A1/NCAN/ITGA10/PAPLN/AGRN/COL22A1/ADAMTS1/COL9A3/MATN4/ITGA8"
"CC","GO:0062023","collagen-containing extracellular matrix",250,-0.617468684394403,-2.10013894973032,1e-10,8.1775e-08,7.64342105263158e-08,1112,"tags=41%, list=11%, signal=38%","P3H1/MMP23B/TGFB3/WNT5A/COL8A2/L1CAM/COL6A3/COL4A6/PLOD3/THBS2/CLEC3B/ANGPT1/COL13A1/LEFTY2/ATRN/APLP1/COL15A1/MFAP2/COL28A1/COL6A2/HMCN1/LOXL2/VWF/EDIL3/CCDC80/BGN/SOST/PXDN/NCAM1/CDH13/DPT/LAMC1/FGL2/EGFL6/MGP/TGM2/ANGPTL1/HSP90B1/HTRA1/FREM2/DCN/SPON1/ELN/COL18A1/LTBP3/NID2/NID1/FBN2/COL12A1/LAMB1/ASPN/MATN2/CTHRC1/SRPX/COL6A1/TNC/LAMA4/EFEMP2/COL16A1/COL10A1/ADAMTS9/PRELP/COL21A1/TGFBI/ADAMTS2/POSTN/CALR/COL14A1/COL5A1/COL1A1/TNXB/SULF1/COL24A1/COL2A1/MMP9/COL1A2/FN1/LTBP2/COL27A1/SPARC/CILP/COL4A1/COL25A1/TGFB1I1/LUM/ICAM1/ADAM19/COL6A6/OGN/THBS4/COL9A2/ADAMTS8/CDH2/SERPINH1/TPSB2/TMEFF1/COL11A1/MXRA5/AGRN/SCARA3/ADAMTS1/COL9A3/MATN4"
"CC","GO:0005581","collagen trimer",57,-0.808099552833987,-2.27485099553281,2.02511603900897e-10,1.4720343474663e-07,1.37589462814071e-07,1164,"tags=65%, list=11%, signal=58%","C1QTNF1/COL8A2/COL6A3/COL4A6/COL13A1/EMID1/COL15A1/COL28A1/COL6A2/LOX/DCN/COL18A1/COL12A1/CTHRC1/COL6A1/C1QTNF6/COL16A1/COL10A1/COL21A1/COLEC12/C1QTNF9B/COL14A1/COL5A1/COL1A1/COL24A1/COL2A1/COL1A2/COL27A1/COL4A1/COL25A1/LUM/COL6A6/COL9A2/COL11A1/SCARA3/COL22A1/COL9A3"
"MF","GO:0030020","extracellular matrix structural constituent conferring tensile strength",31,-0.887694064856794,-2.20036703885537,1.32050063615256e-09,8.63871516171005e-07,8.07451388990549e-07,1074,"tags=84%, list=11%, signal=75%","COL8A2/COL6A3/COL4A6/COL13A1/COL15A1/COL28A1/COL6A2/COL18A1/COL12A1/COL6A1/COL16A1/COL10A1/COL21A1/COL14A1/COL5A1/COL1A1/COL24A1/COL2A1/COL1A2/COL27A1/COL4A1/COL25A1/COL6A6/COL9A2/COL11A1/COL9A3"
