"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",-0.851827074232626,"144568"
"AAAS","aaas",-0.816571820457389,"8086"
"AACS","aacs",-0.710329763270057,"65985"
"AADAC","LOC107380045",0.423469588794508,"13"
"AADAT","aadat",-0.873926769440053,"51166"
"AAGAB","aagab",0.0220942552536768,"79719"
"AAK1","LOC107373159",-0.237661952486151,"22848"
"AAMDC","aamdc",1.13200219001251,"28971"
"AAMP","aamp",-0.00139598459465024,"14"
"AAR2","aar2",2.40781341797869,"25980"
"AARS2","aars2",-0.0228316393582992,"57505"
"AARSD1","aarsd1",-0.327872774445377,"80755"
"AASDH","aasdh",-0.0358954370068143,"132949"
"AASDHPPT","aasdhppt",0.225003492853523,"60496"
"AASS","aass",-0.502490980847972,"10157"
"AATF","aatf",-0.0978262807478026,"26574"
"AATK","aatk",-0.000203939697681557,"9625"
"AATK","LOC107378275",-2.02316208131551,"9625"
"ABAT","abat",2.83425883112808,"18"
"ABCA1","LOC107391047",0.884113497981036,"19"
"ABCA3","abca3",0.0239643475372681,"21"
"ABCA5","abca5",-0.0162318658385333,"23461"
"ABCB10","abcb10",-1.22377118653165,"23456"
"ABCB6","abcb6",-0.454185298663667,"10058"
"ABCB7","abcb7",-0.617768864927254,"22"
"ABCB8","LOC107383862",-0.0526326218167227,"11194"
"ABCB9","abcb9",0.0191162870054043,"23457"
"ABCC1","LOC107391801",1.11724399304423,"4363"
"ABCC1","LOC107373251",-0.07649029287322,"4363"
"ABCC10","abcc10",0.00818549719701377,"89845"
"ABCC2","abcc2",0.0745736024996684,"1244"
"ABCC3","LOC107388296",-0.235252966489289,"8714"
"ABCC4","abcc4",0.687994265003793,"10257"
"ABCC5","abcc5",0.225003492853523,"10057"
"ABCC8","abcc8",-1.04567181567042,"6833"
"ABCC9","LOC107387088",0.490420576694531,"10060"
"ABCD1","LOC107391455",2.52061091228509,"215"
"ABCD3","LOC107395207",0.140021356897128,"5825"
"ABCD3","abcd3",2.83959598621483,"5825"
"ABCD4","abcd4",-0.00993927627367455,"5826"
"ABCE1","abce1",-0.968876097043195,"6059"
"ABCF1","abcf1",-0.977679610694085,"23"
"ABCF2","abcf2",-1.49437091650393,"10061"
"ABCF3","abcf3",-0.0337461864456197,"55324"
"ABCG2","LOC107376824",0.00416687181849278,"9429"
"ABHD10","abhd10",-0.00236752889205382,"55347"
"ABHD12","LOC107376141",0.0544920512782221,"26090"
"ABHD12","abhd12b",0.442952729241597,"26090"
"ABHD13","abhd13",-0.204680188543816,"84945"
"ABHD14A","abhd14a",0.890268346060156,"25864"
"ABHD14B","abhd14b",0.461784567476663,"84836"
"ABHD15","LOC107380403",-3.86944078325966,"116236"
"ABHD16A","abhd16a",-0.784287655846157,"7920"
"ABHD17B","abhd17b",-1.71961277864391,"51104"
