"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"MF","GO:0005201","extracellular matrix structural constituent",115,-0.780347117715201,-1.99737400245052,1e-10,9.78428571428571e-08,9.06766917293233e-08,1241,"tags=54%, list=11%, signal=48%","PODN/DPT/THBS1/HMCN1/MXRA5/COL24A1/COL25A1/COL14A1/LAMB4/COL7A1/SPON1/PXDN/FBN2/LAMA2/COL21A1/MATN3/COL27A1/THBS3/FMOD/ANOS1/TNC/FBLN5/LTBP1/COL4A1/AEBP1/POSTN/NID2/SRPX2/COL4A6/MFAP2/LAMA4/COL11A1/COL6A1/LAMB2/COL15A1/HSPG2/ABI3BP/COL12A1/SPARC/DCN/OGN/COL6A3/COLQ/COL6A6/HAPLN1/COL28A1/ASPN/COL16A1/LUM/COL10A1/EMILIN3/COL5A1/COL22A1/ELN/CTHRC1/BGN/COL2A1/COL9A2/COL6A2/COL1A2/PRELP/COL1A1"
"BP","GO:0030198","extracellular matrix organization",284,-0.673440052414739,-1.8493215383895,1e-10,9.78428571428571e-08,9.06766917293233e-08,1125,"tags=35%, list=10%, signal=32%","ITGA10/PTX3/QSOX1/MMP14/COL24A1/KDR/TGFB2/HTRA1/ICAM1/COL14A1/LAMB4/PDGFRA/COL7A1/SH3PXD2B/MMP9/ADAMTS15/RECK/PXDN/FBN2/ECM2/MMP2/LAMA2/FKBP10/PDGFB/MATN3/COL27A1/FMOD/JAM2/ITGA1/FURIN/TNC/ITGB8/FSCN1/FBLN5/MYH11/LOXL3/EGFLAM/HAS2/ANTXR1/SH3PXD2A/LOXL2/ITGB1/MMP16/COL4A1/ADAMTS3/AEBP1/LOXL1/POSTN/NID2/MMP23B/COL4A6/ADAM12/BMP1/COLGALT1/MFAP2/ADAMTS2/PHLDB2/CCDC80/LAMA4/PHLDB1/COL11A1/COL6A1/LOXL4/CREB3L1/LAMB2/GAS2/COL15A1/HSPG2/COL12A1/SPARC/ITGA11/DCN/COL6A3/COLQ/SERPINH1/HAPLN1/LOX/ADAMTS9/ADAMTS10/COL28A1/COL16A1/LUM/BCAN/COL10A1/ADAMTS14/ADAMTSL2/COL5A1/COL22A1/ELN/SCX/VIT/BGN/COL2A1/COL9A2/ADAMTS7/COL6A2/COL1A2/COL1A1"
"CC","GO:0030312","external encapsulating structure",352,-0.689662250366072,-1.92006766593076,1e-10,9.78428571428571e-08,9.06766917293233e-08,1249,"tags=38%, list=11%, signal=35%","PAPLN/PODN/DPT/LRRN1/THBS1/HMCN1/LTBP3/PTX3/TGFBR3/MXRA5/CLEC3B/MMP14/COL24A1/TGFB2/THBS4/TMEFF2/HTRA1/ICAM1/WNT11/ALPL/LRRC15/SPON2/COL25A1/COL14A1/LAMB4/COL7A1/SPON1/APOA1/MMP9/ADAMTS15/SEMA3B/PXDN/FBN2/ECM2/FBLN7/TMEFF1/CXCL12/MMP2/LAMA2/COL21A1/CALR/PDGFB/MATN3/COL27A1/THBS3/FGFBP3/FMOD/ITIH5/CHAD/ANOS1/TNC/ANGPT2/EGFL7/FBLN5/EGFLAM/LRRTM1/LOXL2/FREM2/FLRT3/TGFB1I1/MMP16/LTBP1/COL4A1/ADAMTS3/GDF10/AEBP1/CDH13/LOXL1/POSTN/ANGPTL3/NID2/SRPX2/NCAM1/MMP23B/COL4A6/MFAP2/ADAMTS2/CCDC80/CCBE1/LAMA4/COLEC12/MDK/ANGPTL2/COL11A1/COL6A1/GPC5/LINGO3/PHOSPHO1/BMPER/SDC2/LAMB2/COL15A1/COL26A1/HSPG2/ABI3BP/COL12A1/P3H1/SPARC/DCN/OGN/COL6A3/LGALS1/COLQ/SERPINH1/COL6A6/HAPLN1/LOX/ADAMTS9/ADAMTS10/TGFB3/COL28A1/ASPN/COL16A1/LUM/TGM2/BCAN/COL10A1/EMILIN3/ADAMTS14/ADAMTSL2/COL5A1/COL22A1/ELN/CTHRC1/VIT/BGN/COL2A1/COL9A2/ADAMTS7/CD248/COL6A2/COL1A2/PRELP/UCMA/COL1A1"
"CC","GO:0031012","extracellular matrix",352,-0.689662250366072,-1.92006766593076,1e-10,9.78428571428571e-08,9.06766917293233e-08,1249,"tags=38%, list=11%, signal=35%","PAPLN/PODN/DPT/LRRN1/THBS1/HMCN1/LTBP3/PTX3/TGFBR3/MXRA5/CLEC3B/MMP14/COL24A1/TGFB2/THBS4/TMEFF2/HTRA1/ICAM1/WNT11/ALPL/LRRC15/SPON2/COL25A1/COL14A1/LAMB4/COL7A1/SPON1/APOA1/MMP9/ADAMTS15/SEMA3B/PXDN/FBN2/ECM2/FBLN7/TMEFF1/CXCL12/MMP2/LAMA2/COL21A1/CALR/PDGFB/MATN3/COL27A1/THBS3/FGFBP3/FMOD/ITIH5/CHAD/ANOS1/TNC/ANGPT2/EGFL7/FBLN5/EGFLAM/LRRTM1/LOXL2/FREM2/FLRT3/TGFB1I1/MMP16/LTBP1/COL4A1/ADAMTS3/GDF10/AEBP1/CDH13/LOXL1/POSTN/ANGPTL3/NID2/SRPX2/NCAM1/MMP23B/COL4A6/MFAP2/ADAMTS2/CCDC80/CCBE1/LAMA4/COLEC12/MDK/ANGPTL2/COL11A1/COL6A1/GPC5/LINGO3/PHOSPHO1/BMPER/SDC2/LAMB2/COL15A1/COL26A1/HSPG2/ABI3BP/COL12A1/P3H1/SPARC/DCN/OGN/COL6A3/LGALS1/COLQ/SERPINH1/COL6A6/HAPLN1/LOX/ADAMTS9/ADAMTS10/TGFB3/COL28A1/ASPN/COL16A1/LUM/TGM2/BCAN/COL10A1/EMILIN3/ADAMTS14/ADAMTSL2/COL5A1/COL22A1/ELN/CTHRC1/VIT/BGN/COL2A1/COL9A2/ADAMTS7/CD248/COL6A2/COL1A2/PRELP/UCMA/COL1A1"
"BP","GO:0043062","extracellular structure organization",284,-0.673440052414739,-1.8493215383895,1e-10,9.78428571428571e-08,9.06766917293233e-08,1125,"tags=35%, list=10%, signal=32%","ITGA10/PTX3/QSOX1/MMP14/COL24A1/KDR/TGFB2/HTRA1/ICAM1/COL14A1/LAMB4/PDGFRA/COL7A1/SH3PXD2B/MMP9/ADAMTS15/RECK/PXDN/FBN2/ECM2/MMP2/LAMA2/FKBP10/PDGFB/MATN3/COL27A1/FMOD/JAM2/ITGA1/FURIN/TNC/ITGB8/FSCN1/FBLN5/MYH11/LOXL3/EGFLAM/HAS2/ANTXR1/SH3PXD2A/LOXL2/ITGB1/MMP16/COL4A1/ADAMTS3/AEBP1/LOXL1/POSTN/NID2/MMP23B/COL4A6/ADAM12/BMP1/COLGALT1/MFAP2/ADAMTS2/PHLDB2/CCDC80/LAMA4/PHLDB1/COL11A1/COL6A1/LOXL4/CREB3L1/LAMB2/GAS2/COL15A1/HSPG2/COL12A1/SPARC/ITGA11/DCN/COL6A3/COLQ/SERPINH1/HAPLN1/LOX/ADAMTS9/ADAMTS10/COL28A1/COL16A1/LUM/BCAN/COL10A1/ADAMTS14/ADAMTSL2/COL5A1/COL22A1/ELN/SCX/VIT/BGN/COL2A1/COL9A2/ADAMTS7/COL6A2/COL1A2/COL1A1"
"BP","GO:0045229","external encapsulating structure organization",285,-0.673163640728011,-1.84764758444064,1e-10,9.78428571428571e-08,9.06766917293233e-08,1125,"tags=34%, list=10%, signal=32%","ITGA10/PTX3/QSOX1/MMP14/COL24A1/KDR/TGFB2/HTRA1/ICAM1/COL14A1/LAMB4/PDGFRA/COL7A1/SH3PXD2B/MMP9/ADAMTS15/RECK/PXDN/FBN2/ECM2/MMP2/LAMA2/FKBP10/PDGFB/MATN3/COL27A1/FMOD/JAM2/ITGA1/FURIN/TNC/ITGB8/FSCN1/FBLN5/MYH11/LOXL3/EGFLAM/HAS2/ANTXR1/SH3PXD2A/LOXL2/ITGB1/MMP16/COL4A1/ADAMTS3/AEBP1/LOXL1/POSTN/NID2/MMP23B/COL4A6/ADAM12/BMP1/COLGALT1/MFAP2/ADAMTS2/PHLDB2/CCDC80/LAMA4/PHLDB1/COL11A1/COL6A1/LOXL4/CREB3L1/LAMB2/GAS2/COL15A1/HSPG2/COL12A1/SPARC/ITGA11/DCN/COL6A3/COLQ/SERPINH1/HAPLN1/LOX/ADAMTS9/ADAMTS10/COL28A1/COL16A1/LUM/BCAN/COL10A1/ADAMTS14/ADAMTSL2/COL5A1/COL22A1/ELN/SCX/VIT/BGN/COL2A1/COL9A2/ADAMTS7/COL6A2/COL1A2/COL1A1"
"CC","GO:0062023","collagen-containing extracellular matrix",269,-0.701632877734557,-1.9184620723121,1e-10,9.78428571428571e-08,9.06766917293233e-08,1078,"tags=38%, list=10%, signal=35%","MXRA5/CLEC3B/COL24A1/TGFB2/THBS4/TMEFF2/HTRA1/ICAM1/LRRC15/COL25A1/COL14A1/LAMB4/COL7A1/SPON1/APOA1/MMP9/ADAMTS15/SEMA3B/PXDN/FBN2/TMEFF1/CXCL12/MMP2/LAMA2/COL21A1/CALR/PDGFB/MATN3/COL27A1/THBS3/FGFBP3/FMOD/ITIH5/TNC/ANGPT2/EGFL7/FBLN5/EGFLAM/LOXL2/FREM2/TGFB1I1/LTBP1/COL4A1/ADAMTS3/GDF10/AEBP1/CDH13/LOXL1/POSTN/ANGPTL3/NID2/SRPX2/NCAM1/MMP23B/COL4A6/MFAP2/ADAMTS2/CCDC80/LAMA4/MDK/ANGPTL2/COL11A1/COL6A1/GPC5/SDC2/LAMB2/COL15A1/COL26A1/HSPG2/ABI3BP/COL12A1/P3H1/SPARC/DCN/OGN/COL6A3/LGALS1/COLQ/SERPINH1/COL6A6/HAPLN1/ADAMTS9/ADAMTS10/TGFB3/COL28A1/ASPN/COL16A1/LUM/TGM2/COL10A1/EMILIN3/COL5A1/ELN/CTHRC1/VIT/BGN/COL2A1/COL9A2/COL6A2/COL1A2/PRELP/COL1A1"
"CC","GO:0005788","endoplasmic reticulum lumen",207,-0.67848951051394,-1.82703833013613,3.22217185489552e-09,2.63333555603164e-06,2.44046590018839e-06,1110,"tags=29%, list=10%, signal=26%","QSOX1/LRPAP1/COL24A1/P4HA2/COL25A1/COL14A1/COL7A1/SPON1/APOA1/COL21A1/FKBP10/CALR/PDGFB/MATN3/COL27A1/RCN3/MEN1/RCN1/PDGFC/IGFBP3/TNC/P4HA1/FKBP7/LTBP1/COL4A1/COL4A6/COLGALT2/COLGALT1/WFS1/CALU/COL11A1/COL6A1/SDC2/LAMB2/CKAP4/COL15A1/FKBP14/COL26A1/UGGT2/COL12A1/P3H1/GPX7/COL6A3/LGALS1/SERPINH1/COL28A1/COL16A1/COL10A1/COL5A1/COL22A1/FSTL1/COL2A1/COL9A2/ADAMTS7/COL6A2/COL1A2/ERP27/COL1A1/BGLAP"
"BP","GO:0045047","protein targeting to ER",102,0.717095446243503,2.13306282242049,3.46036209728205e-09,2.63333555603164e-06,2.44046590018839e-06,2049,"tags=66%, list=19%, signal=54%","SSR3/SPCS3/RPL27/RPL36/RPS11/RPL7/RPL36A/RPL29/RPL3/RPL26/RPL23/RPS17/RPS5/ZFAND2B/RPL37A/RPLP2/RPS23/RPL13A/RPL19/RPS16/RPS8/RPL15/RPS27/RPL28/RPL31/RPL35A/RPS15/RPS18/RPL32/RPS6/RPS21/RPL30/RPL23A/RPS15A/RPS25/RPS24/RPL10A/RPL35/RPL39/RPL9/RPL34/RPL7A/RPS13/RPS27A/RPL11/RPS28/RPL18/SEC61G/RPS12/RPS29/RPL37/RPL21/RPS26/CHMP4B/RPL22/RPS3/SPCS1/RPL12/RPS14/RPS19/RPL14/RPLP1/RPL27A/RPL24/RPS7/RPS10/RPL8"
"MF","GO:0005198","structural molecule activity",445,-0.587060835142582,-1.64935858836724,6.51967488032689e-09,4.46532532553589e-06,4.1382778450917e-06,968,"tags=21%, list=9%, signal=20%","COL25A1/PCLO/SEC31A/COL14A1/ROCK2/LAMB4/COL7A1/SPON1/GNL1/PXDN/FBN2/ADD3/CLDN5/PGM5/LLGL1/SPTBN1/LAMA2/MAP4/PANX1/ADD1/ACTN2/COL21A1/MARVELD1/MATN3/COL27A1/THBS3/FMOD/KRT19/ASPH/CRYGC/CRYGB/PANX3/ANOS1/CLDN19/SYNM/TNC/FBLN5/MYH11/CTBP2/SPTBN4/MSN/LTBP1/COL4A1/TLN2/BICD1/AEBP1/POSTN/TUBA1A/NID2/SRPX2/COL4A6/MAP2/MFAP2/LAMA4/COL11A1/COL6A1/SORBS2/CSRP2/LAMB2/COL15A1/HSPG2/CLDN6/ABI3BP/COL12A1/SPARC/NEFL/DCN/OGN/COL6A3/COLQ/COL6A6/HAPLN1/MBP/COL28A1/ASPN/COL16A1/LUM/COL10A1/PLP1/EMILIN3/TUBB/MPZ/COL5A1/COL22A1/ELN/CTHRC1/BGN/COL2A1/COL9A2/COL6A2/COL1A2/PRELP/TUBA1B/COL1A1/BGLAP"
