"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",-0.449413127927066,"144568"
"A3GALT2","LOC107372345",0.122609926695825,"127550"
"A3GALT2","LOC107385260",1.19854575952896,"127550"
"AAAS","aaas",4.95635432144616e-05,"8086"
"AACS","aacs",0.332177360235094,"65985"
"AADAC","LOC107380045",0.138864115151565,"13"
"AADAT","aadat",0.150709819992537,"51166"
"AAGAB","aagab",-0.0987430727045799,"79719"
"AAK1","LOC107373159",-2.78705449797271,"22848"
"AAMDC","aamdc",1.12433215124377,"28971"
"AAMP","aamp",0.0419173787537744,"14"
"AANAT","LOC107382246",0.0146895270465726,"15"
"AAR2","aar2",-0.0108650477647254,"25980"
"AARS2","aars2",0.000161867996788713,"57505"
"AARSD1","aarsd1",-0.0146895270465725,"80755"
"AASDH","aasdh",-0.00113571856006619,"132949"
"AASDHPPT","aasdhppt",-0.025172258220178,"60496"
"AASS","aass",-0.209714011956114,"10157"
"AATF","aatf",0.359167012307759,"26574"
"AATK","LOC107378275",-0.0309036747366685,"9625"
"AATK","aatk",-1.0473867820376,"9625"
"ABAT","abat",-0.00139707705312222,"18"
"ABCA1","LOC107391047",0.0271000894900756,"19"
"ABCA1","LOC107381037",2.01279097533136,"19"
"ABCA1","LOC107372735",-0.400125550057549,"19"
"ABCA12","LOC107376062",0.417723791518945,"26154"
"ABCA12","abca12",0.562943176992678,"26154"
"ABCA3","abca3",0.237068320309383,"21"
"ABCA4","LOC107383559",0.286211182131542,"24"
"ABCA5","abca5",-0.00486342152032991,"23461"
"ABCB10","abcb10",-0.081837468599326,"23456"
"ABCB6","abcb6",-0.016742690289522,"10058"
"ABCB7","abcb7",-0.0039507687988269,"22"
"ABCB8","LOC107383862",0.000586758491968619,"11194"
"ABCB9","abcb9",-0.00228178791116491,"23457"
"ABCC1","LOC107392837",-0.110928375396954,"4363"
"ABCC1","LOC107373251",-0.0404752113509527,"4363"
"ABCC1","LOC107391801",0.0257145974125831,"4363"
"ABCC10","abcc10",-0.105043911118381,"89845"
"ABCC2","abcc2",-2.81842634741804,"1244"
"ABCC3","LOC107388296",-0.000242764645164109,"8714"
"ABCC4","abcc4",-0.0668693749682012,"10257"
"ABCC5","abcc5",0.109603011431631,"10057"
