"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",112,0.794209865152466,2.51311342853111,1e-10,1.05415384615385e-08,8.69473684210526e-09,1722,"tags=69%, list=16%, signal=59%","RPL36/RPL27/RPL29/RPS11/RPS17/RPL36A/RPL13A/RPL30/RPS8/RPL18A/RPS5/RPL32/RPL23A/RPL9/RPLP2/RPS29/RPS13/RPL23/RPS23/UBA52/RPL18/RPS4X/RPL34/RPS25/RPL26/RPS10/RPS24/RPL14/RPS28/RPL37A/RPL7/SMG9/RPS21/RPL11/RPL28/RPS15/RPS18/RPS15A/RPL19/RPL39/RPL31/RPS7/RPL24/RPL3/RPL35A/RPLP1/RPL8/RPL35/RPL21/RPL22/RPS6/RPS27/RPL10A/RPL12/RPL15/RPS14/HELZ2/RPS3A/RPS16/RPS27A/RPS12/RPL7A/RPL37/RPS3/RPL27A/RPS26/RPS19/RPS20/UPF1/RPS9/RPL10/RPL13/RPS2/RPL4/RPLP0/RPL6/RPL5"
"BP","GO:0000956","nuclear-transcribed mRNA catabolic process",185,0.722456727133716,2.42292338152808,1e-10,1.05415384615385e-08,8.69473684210526e-09,1722,"tags=46%, list=16%, signal=39%","RPL36/POLR2D/RPL27/MRTO4/RPL29/RPS11/RPS17/RPL36A/RPL13A/RPL30/RPS8/RPL18A/RPS5/RPL32/RPL23A/RPL9/RPLP2/RPS29/RPS13/RPL23/RPS23/UBA52/RPL18/RPS4X/RPL34/RPS25/RPL26/RPS10/RPS24/RPL14/RPS28/RPL37A/RPL7/SMG9/RPS21/RPL11/RPL28/RPS15/RPS18/RPS15A/RPL19/RPL39/RPL31/RPS7/RPL24/RPL3/RPL35A/RPLP1/RPL8/RPL35/RPL21/RPL22/RPS6/RPS27/RPL10A/RPL12/RPL15/RPS14/HELZ2/RPS3A/RPS16/RPS27A/ZFP36L2/RPS12/RPL7A/RPL37/RPS3/RPL27A/RPS26/RPS19/EXOSC5/RC3H2/RPS20/UPF1/RPS9/RPL10/RPL13/ZFP36L1/RPS2/ZC3H12A/RPL4/RPLP0/TOB1/RPL6/RPL5"
"BP","GO:0001816","cytokine production",453,0.478014086817915,1.73606050532146,1e-10,1.05415384615385e-08,8.69473684210526e-09,1566,"tags=30%, list=14%, signal=26%","ZP3/CCL3/IL17RA/IL1R1/PLCG2/BCL10/IRF7/TMEM106A/AIF1/CD3E/HLA-G/ITK/EPX/SASH3/ALOX5/CD244/CCR7/CARD9/PTPRC/TMSB4X/TIRAP/TMIGD2/POLR3K/HDAC9/CYBA/PTGER4/CD58/BTK/MAPK13/CD84/LBP/CRP/C5AR1/GATA3/PTAFR/XBP1/HSP90AB1/SYK/CLNK/NOD2/NOD1/NRROS/MAVS/IL17RC/SERPINB1/FFAR2/TIGIT/PRKCQ/SLAMF6/IFIH1/F11R/CD2/INPP5D/BATF/RELA/CYP1B1/HSPB1/LYN/TLR5/RNF128/CLU/JAK2/TSPO/F2RL1/TRIM21/ITGAV/PTPN6/MALT1/CD74/IRF4/STAT6/CEBPB/PARK7/IL6R/ITGB6/REL/CEBPG/VTCN1/LY9/HLA-A/MOG/STAT1/EIF2AK2/RSAD2/HLA-DPB1/CD2AP/LGR4/MCOLN2/RIPK3/IKBKE/CAPN2/DDIT3/HLA-DPA1/TWSG1/EREG/TLR1/SEMA7A/PIK3CD/RPS3/ALOX15B/NLRC3/MYB/IL5RA/BTN1A1/SETD2/RIOK3/EBI3/PCSK5/RASGRP1/LGALS9B/B2M/ATF4/TNFAIP3/FADD/CD226/ABCD1/C3/SIGIRR/LURAP1/NFATC3/CARD11/PLD4/DHX58/TUSC2/HAVCR2/IL16/TRIM16/CD40/CYLD/MUL1/MEFV/TLR3/NCKAP1L/RPS6KA5"
"BP","GO:0001819","positive regulation of cytokine production",261,0.582260369224034,2.03167111369877,1e-10,1.05415384615385e-08,8.69473684210526e-09,1488,"tags=33%, list=13%, signal=30%","ZP3/CCL3/IL17RA/IL1R1/PLCG2/BCL10/IRF7/AIF1/CD3E/HLA-G/EPX/SASH3/CD244/CCR7/CARD9/PTPRC/TIRAP/TMIGD2/POLR3K/CYBA/PTGER4/CD58/MAPK13/LBP/C5AR1/GATA3/PTAFR/XBP1/SYK/CLNK/NOD2/NOD1/MAVS/IL17RC/FFAR2/TIGIT/PRKCQ/SLAMF6/IFIH1/CD2/RELA/CYP1B1/HSPB1/TLR5/CLU/JAK2/F2RL1/MALT1/CD74/IRF4/STAT6/CEBPB/PARK7/IL6R/CEBPG/LY9/HLA-A/STAT1/EIF2AK2/RSAD2/HLA-DPB1/MCOLN2/DDIT3/HLA-DPA1/EREG/TLR1/SEMA7A/RPS3/ALOX15B/MYB/SETD2/RIOK3/EBI3/RASGRP1/B2M/ATF4/FADD/CD226/C3/LURAP1/CARD11/DHX58/TUSC2/HAVCR2/IL16/TRIM16/CD40"
"BP","GO:0002250","adaptive immune response",223,0.651083263410107,2.22771960705679,1e-10,1.05415384615385e-08,8.69473684210526e-09,1505,"tags=42%, list=14%, signal=37%","WAS/ZP3/IL17RA/C1QC/IL1R1/BCL10/IRF7/SAMSN1/CLEC10A/CD3E/HLA-G/ITK/SASH3/CD244/SLAMF7/PTPRC/SH2D1A/PTK2B/RAB27A/CTSS/BTLA/UNC93B1/CLEC4M/BTK/CD84/CRP/JAG1/GATA3/ZAP70/CLEC4D/C1QA/SYK/TNFSF13B/NOD2/KLHL6/C4B/CD3D/PRKCQ/ERAP1/SLAMF6/INPP5D/BATF/LYN/CLU/CD247/JAK2/CLEC4C/SLA2/PTPN6/TEC/TEC/MALT1/CD74/IRF4/IL6R/VTCN1/LY9/HLA-A/SKAP1/IL7R/CRACR2A/C1R/RSAD2/HLA-DPB1/FUT7/MCOLN2/LAMP3/RIPK3/HLA-DPA1/PIK3CD/PRKCD/STX7/SWAP70/EBI3/NFKBID/PLA2G4A/B2M/PVR/RC3H2/IL13RA2/TNFAIP3/FADD/CD226/CLEC4G/UNC13D/PRF1/CTSH/ICAM1/C3/CLCF1/FYN/CTSC/HAVCR2/CD40/MR1"
"BP","GO:0002253","activation of immune response",301,0.580569117376028,2.05715091544625,1e-10,1.05415384615385e-08,8.69473684210526e-09,1792,"tags=39%, list=16%, signal=34%","WAS/C1QC/ARPC3/PLCG2/BCL10/ACTB/FCGR1A/LPXN/FPR2/PSMF1/ARPC1B/CLEC10A/CD3E/CD22/ITK/CCR7/HCK/CARD9/PTPRC/SH2D1A/BAIAP2/GRAP2/GPS2/CPN2/BLNK/BTK/VAV1/CRP/C5AR1/GATA3/ZAP70/CLEC4D/ARPC4/C1QA/HSP90AB1/SYK/LCP2/NOD2/KRAS/MAVS/KLHL6/CFH/C4B/CD3D/FFAR2/PRKCQ/INPP5D/RAPGEF1/RELA/LYN/CACNB3/SPG21/CLU/PLCL2/CD247/CLEC4C/SLA2/PTPN6/TEC/TEC/PRAM1/MALT1/VTCN1/PAWR/PHPT1/HLA-A/ACTG1/MOG/SKAP1/ACTR2/C1R/HLA-DPB1/CD300A/MFAP4/CFP/TESPA1/HLA-DPA1/SRC/PSME1/PIK3CD/KHDRBS1/RPS3/TAB3/PRKCD/BTN1A1/ACTR3/NFKBID/RC3H2/RBCK1/CD226/PSMB9/PSMB6/C3/PRKCH/ARPC5/PSMB8/FYN/BRK1/YES1/CARD11/MUC5B/FCRL3/NCKAP1L/RPS6KA5/MUC15/WIPF1/ZC3H12A/IKBKB/CLEC4E/SIN3A/DENND1B/MAPK3/COLEC10/VAV3/ELF1/CDC42/PSMD9/SFPQ/MUC16"
"BP","GO:0002263","cell activation involved in immune response",485,0.537188218302367,1.96257349964101,1e-10,1.05415384615385e-08,8.69473684210526e-09,2004,"tags=35%, list=18%, signal=30%","VAMP2/CCL3/HVCN1/BIN2/P2RX1/PLCG2/GMFG/FPR2/GLIPR1/CD44/EEF2/EPX/ALOX5/CD244/RAB3D/PTPRC/CYBA/PTGER4/PTK2B/ITGAL/RAB27A/CTSS/CD58/BTK/CXCR1/CD84/LBP/C5AR1/JUP/GATA3/SIGLEC14/CLEC4D/PTAFR/XBP1/HSP90AB1/SYK/CLNK/CSTB/ROCK1/ITGAM/GNS/PLAUR/CAP1/SERPINB1/CST3/STXBP1/SLAMF6/STXBP2/PYGL/LTA4H/BATF/CCT2/AP2A2/NPC2/LYN/PLCL2/LPCAT1/F2RL1/CLEC4C/COTL1/ITGAV/PTPN6/MVP/PRAM1/MALT1/CD74/DSC1/GPR84/IRF4/NDUFC2/ATP8B4/IL6R/SNAP23/RPS6/VAMP8/LCP1/LY9/TMC6/CRACR2A/ACTR2/OSTF1/NME2/CYBB/RAB44/COMMD9/MFNG/TMEM179B/CD300A/CFP/CD53/ATG7/RAP2B/APBB1IP/ANO6/CTSB/STXBP3/CAB39/PIK3CD/LRRC7/PRKCD/EEF1A1/MYB/PSAP/GGH/ATP6V1D/CTSA/GLA/SWAP70/TMEM30A/NFKBID/CEP290/COMMD3/DNASE1/B2M/TSPAN14/RC3H2/GM2A/IL13RA2/UNC13D/PIGR/B4GALT1/KCMF1/CTSH/ICAM1/C3/CLCF1/ITGB2/ARPC5/OLFM4/NBEAL2/CTSC/HAVCR2/CD40/DOCK2/STX4/RAB3A/ALDOC/NCKAP1L/TMBIM1/GOLGA7/DSP/LAMP1/ANXA2/ARMC8/ZC3H12A/SPTAN1/RAB5C/GSN/CTSZ/NDFIP1/ZBTB7B/ARG1/PKP1/PFKL/HLX/MAPK14/STAT3/GRN/HPSE/HSPA8/TNFRSF1B/DNASE1L3/FOXP1/ALDH3B1/RHOG/S100A13/CFD/PGLYRP2"
"BP","GO:0002274","myeloid leukocyte activation",457,0.585051723768433,2.12838634648128,1e-10,1.05415384615385e-08,8.69473684210526e-09,1997,"tags=37%, list=18%, signal=31%","VAMP2/CCL3/HVCN1/BIN2/P2RX1/GMFG/CEBPA/FPR2/GLIPR1/CD44/TMEM106A/AIF1/EEF2/EPX/ALOX5/IL18RAP/RAB3D/PTPRC/CYBA/ITGAL/RAB27A/CTSS/CD58/BTK/CXCR1/CD84/LBP/C5AR1/JUP/SIGLEC14/CLEC4D/C1QA/PTAFR/HSP90AB1/SYK/SNCA/LCP2/CLNK/CSTB/SPI1/ROCK1/DCSTAMP/ITGAM/GNS/PLAUR/CAP1/CST7/SERPINB1/CST3/STXBP1/STXBP2/CD2/PYGL/LTA4H/BATF/CCT2/AP2A2/NPC2/LYN/CLU/JAK2/LPCAT1/F2RL1/CLEC4C/COTL1/ITGAV/PTPN6/MVP/PRAM1/CD74/DSC1/GPR84/IRF4/NDUFC2/ATP8B4/ITGB6/SNAP23/VAMP8/TMC6/CRACR2A/ACTR2/OSTF1/NME2/ADGRF5/CYBB/RAB44/COMMD9/TMEM179B/CD300A/CFP/CD53/ATG7/RAP2B/ANO6/CTSB/STXBP3/CAB39/TLR1/MAPT/PIK3CD/LRRC7/PRKCD/EEF1A1/PSAP/GGH/ATP6V1D/CTSA/GLA/TMEM30A/PLA2G4A/CEP290/COMMD3/DNASE1/B2M/TSPAN14/GM2A/IL13RA2/CD226/UNC13D/PIGR/HAMP/PREX1/B4GALT1/KCMF1/CTSH/C3/ITGB2/ARPC5/OLFM4/NBEAL2/CTSC/HAVCR2/DOCK2/STX4/RAB3A/TLR3/ALDOC/NCKAP1L/TMBIM1/GOLGA7/TNIP2/DSP/LAMP1/ANXA2/ARMC8/ZC3H12A/SPTAN1/RAB5C/GSN/CNR2/CTSZ/ARG1/PKP1/PFKL/MAPK14/GRN/HPSE/HSPA8/TNFRSF1B/DNASE1L3/FOXP1/ALDH3B1/TLR7/ADAM9/RHOG/S100A13/CFD"
"BP","GO:0002275","myeloid cell activation involved in immune response",389,0.568329142056843,2.04188434854698,1e-10,1.05415384615385e-08,8.69473684210526e-09,1693,"tags=31%, list=15%, signal=28%","VAMP2/CCL3/HVCN1/BIN2/P2RX1/GMFG/FPR2/GLIPR1/CD44/EEF2/EPX/ALOX5/RAB3D/PTPRC/CYBA/ITGAL/RAB27A/CTSS/CD58/BTK/CXCR1/CD84/LBP/C5AR1/JUP/SIGLEC14/CLEC4D/PTAFR/HSP90AB1/SYK/CLNK/CSTB/ROCK1/ITGAM/GNS/PLAUR/CAP1/SERPINB1/CST3/STXBP1/STXBP2/PYGL/LTA4H/CCT2/AP2A2/NPC2/LYN/LPCAT1/F2RL1/CLEC4C/COTL1/ITGAV/PTPN6/MVP/PRAM1/DSC1/GPR84/NDUFC2/ATP8B4/SNAP23/VAMP8/TMC6/CRACR2A/ACTR2/OSTF1/NME2/CYBB/RAB44/COMMD9/TMEM179B/CD300A/CFP/CD53/ATG7/RAP2B/ANO6/CTSB/STXBP3/CAB39/PIK3CD/LRRC7/PRKCD/EEF1A1/PSAP/GGH/ATP6V1D/CTSA/GLA/TMEM30A/CEP290/COMMD3/DNASE1/B2M/TSPAN14/GM2A/IL13RA2/UNC13D/PIGR/B4GALT1/KCMF1/CTSH/C3/ITGB2/ARPC5/OLFM4/NBEAL2/CTSC/HAVCR2/DOCK2/STX4/RAB3A/ALDOC/NCKAP1L/TMBIM1/GOLGA7/DSP/LAMP1/ANXA2/ARMC8/SPTAN1/RAB5C/GSN"
"BP","GO:0002283","neutrophil activation involved in immune response",352,0.555699266219318,1.98425191888378,1e-10,1.05415384615385e-08,8.69473684210526e-09,1693,"tags=31%, list=15%, signal=27%","HVCN1/BIN2/P2RX1/GMFG/FPR2/GLIPR1/CD44/EEF2/EPX/ALOX5/RAB3D/PTPRC/CYBA/ITGAL/RAB27A/CTSS/CD58/CXCR1/C5AR1/JUP/SIGLEC14/CLEC4D/PTAFR/HSP90AB1/SYK/CSTB/ROCK1/ITGAM/GNS/PLAUR/CAP1/SERPINB1/CST3/STXBP2/PYGL/LTA4H/CCT2/AP2A2/NPC2/LPCAT1/CLEC4C/COTL1/ITGAV/PTPN6/MVP/PRAM1/DSC1/GPR84/NDUFC2/ATP8B4/SNAP23/VAMP8/TMC6/CRACR2A/ACTR2/OSTF1/NME2/CYBB/RAB44/COMMD9/TMEM179B/CD300A/CFP/CD53/ATG7/RAP2B/ANO6/CTSB/STXBP3/CAB39/LRRC7/PRKCD/EEF1A1/PSAP/GGH/ATP6V1D/CTSA/GLA/TMEM30A/CEP290/COMMD3/DNASE1/B2M/TSPAN14/GM2A/UNC13D/PIGR/B4GALT1/KCMF1/CTSH/C3/ITGB2/ARPC5/OLFM4/NBEAL2/CTSC/DOCK2/RAB3A/ALDOC/NCKAP1L/TMBIM1/GOLGA7/DSP/LAMP1/ANXA2/ARMC8/SPTAN1/RAB5C/GSN"
