"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",-0.0299002275597967,"144568"
"A3GALT2","LOC107372345",2.87721523123976,"127550"
"A3GALT2","LOC107385260",0.338009552576516,"127550"
"AAAS","aaas",-0.726102443643443,"8086"
"AACS","aacs",0.0664966837809861,"65985"
"AADAC","LOC107380045",1.15442308739675,"13"
"AADAT","aadat",0.0290352175489201,"51166"
"AAGAB","aagab",0.428282630524684,"79719"
"AAK1","LOC107373159",-2.43558489281882,"22848"
"AAMDC","aamdc",1.16956141254823,"28971"
"AAMP","aamp",0.0160795474782161,"14"
"AANAT","LOC107382246",-0.0226459673052555,"15"
"AAR2","aar2",0.0288213110778797,"25980"
"AARS2","aars2",0.108075491804134,"57505"
"AARSD1","aarsd1",-0.348360661051028,"80755"
"AASDH","aasdh",-0.009595895732469,"132949"
"AASDHPPT","aasdhppt",-0.0453040907861864,"60496"
"AASS","aass",-0.21280509146621,"10157"
"AATF","aatf",-0.10663942671364,"26574"
"AATK","LOC107378275",0.0215504660223315,"9625"
"AATK","aatk",-0.599141252162427,"9625"
"ABAT","abat",0.00728172492650442,"18"
"ABCA1","LOC107381037",1.1344765361567,"19"
"ABCA1","LOC107372735",-0.0184517236413648,"19"
"ABCA1","LOC107391047",0.0589858970557919,"19"
"ABCA12","LOC107376062",0.738547631397572,"26154"
"ABCA12","abca12",0.727870771469015,"26154"
"ABCA3","abca3",0.0792249836607148,"21"
"ABCA4","LOC107383559",0.608403337695086,"24"
"ABCA5","abca5",0.00182488549466044,"23461"
"ABCB10","abcb10",0.0865363428955542,"23456"
"ABCB6","abcb6",-1.95293707077498,"10058"
"ABCB7","abcb7",0.000284400330286927,"22"
"ABCB8","LOC107383862",-0.580923975926956,"11194"
"ABCB9","abcb9",-0.068281919972045,"23457"
"ABCC1","LOC107373251",-0.510654617623172,"4363"
"ABCC1","LOC107392837",0.43435289268679,"4363"
"ABCC1","LOC107391801",-0.00767614891345401,"4363"
"ABCC10","abcc10",-0.830149674876208,"89845"
