"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0001816","cytokine production",460,0.50744936367084,1.85154531644049,1e-10,7.4138885502769e-08,6.29720976855974e-08,1359,"tags=26%, list=11%, signal=24%","HLA-G/STAT6/IL1RL1/GPNMB/IRF8/CRP/TRIM27/TLR7/SASH3/PLA2G1B/TLR5/NOD1/RUNX1/CD74/NCKAP1L/LBP/IFIH1/CSF1R/POLR3C/CCR7/CD58/CD244/HLA-DPA1/PIK3CG/CYLD/PLCG2/INPP5D/STAT1/CCL3/F2R/BCL3/B2M/PTAFR/CARD11/PTPRC/TLR3/AXL/HLA-DPB1/TIRAP/STAT3/TNFRSF1B/BATF/PLD4/BTK/PTPN6/CEBPB/RSAD2/SCRIB/ABCD2/C5AR1/CLNK/NOD2/RELA/CD200R1/REL/C3/RIPK3/RNF128/FOXP1/PGLYRP2/TLR1/TNFAIP3/CD40/DHX58/TAX1BP1/LRP1/JAK2/CASP1/BTN1A1/EBI3/NFATC4/ARRB2/IL5RA/TRIM25/FN1/TLR6/TMEM106A/IRF5/LY9/CD3E/TICAM1/NLRC3/IL16/IL1R1/IRF1/NLRP12/MEFV/PER1/HAVCR2/GBA/HDAC7/LAPTM4B/PIK3CD/EIF2AK2/NFAT5/CAPN2/GHSR/MOG/MALT1/ARNT/FRMD8/BPI/IKBKE/BAP1/AIF1/LURAP1/IL6R/IL17RA/PLCB1/C1QTNF4/RNF216/KIT/CYBA/IL1R2/NRROS/CD84/INS/NR4A3/SIGIRR/IL12RB2/SEMA7A"
"BP","GO:0001817","regulation of cytokine production",426,0.52164632317585,1.88710152136037,1e-10,7.4138885502769e-08,6.29720976855974e-08,2118,"tags=36%, list=18%, signal=31%","HLA-G/STAT6/IL1RL1/GPNMB/IRF8/CRP/TRIM27/TLR7/SASH3/PLA2G1B/TLR5/NOD1/RUNX1/CD74/NCKAP1L/LBP/IFIH1/CSF1R/POLR3C/CCR7/CD58/CD244/HLA-DPA1/CYLD/PLCG2/INPP5D/STAT1/CCL3/F2R/BCL3/B2M/PTAFR/CARD11/PTPRC/TLR3/AXL/HLA-DPB1/TIRAP/STAT3/TNFRSF1B/PLD4/BTK/PTPN6/CEBPB/RSAD2/SCRIB/ABCD2/C5AR1/CLNK/NOD2/RELA/CD200R1/REL/C3/RIPK3/RNF128/FOXP1/PGLYRP2/TLR1/TNFAIP3/CD40/DHX58/TAX1BP1/LRP1/JAK2/CASP1/BTN1A1/EBI3/NFATC4/ARRB2/IL5RA/TRIM25/FN1/TLR6/IRF5/LY9/CD3E/TICAM1/NLRC3/IL16/IL1R1/IRF1/NLRP12/MEFV/PER1/HAVCR2/GBA/HDAC7/LAPTM4B/EIF2AK2/CAPN2/GHSR/MOG/MALT1/ARNT/FRMD8/BPI/IKBKE/BAP1/AIF1/LURAP1/IL6R/IL17RA/PLCB1/C1QTNF4/RNF216/CYBA/IL1R2/CD84/INS/NR4A3/SIGIRR/IL12RB2/SEMA7A/LYN/BCL10/IL6ST/PCBP2/TRIM21/LTA/F11R/SOCS1/MAVS/ARG2/ATF4/LGALS9B/ZC3H12A/ASB1/LEF1/CREBBP/MCOLN2/MAST2/MERTK/CARD9/HEG1/MAPK14/DICER1/EPX/IL1RAP/IRF4/HYAL2/DDX21/POU2F2/SMAD4/CD2/EPHA2/CSK/TYROBP/RIOK3/CR1/NMI/MYB/APPL1/ITGB8"
"BP","GO:0002250","adaptive immune response",219,0.596851153703152,2.02194075000784,1e-10,7.4138885502769e-08,6.29720976855974e-08,1757,"tags=38%, list=15%, signal=33%","HLA-G/IL1RL1/CRP/TRIM27/SASH3/LAMP3/CD74/KLHL6/WAS/CTSS/CD244/HLA-DPA1/PIK3CG/INPP5D/SAMSN1/BCL3/B2M/PTPRC/IL4I1/C4B/C1QA/C1QC/HLA-DPB1/STAT3/TNFRSF1B/BATF/BTK/PTPN6/RSAD2/CRACR2A/NOD2/TEC/TEC/C3/MR1/RIPK3/PAG1/TNFAIP3/CD40/TNFSF13B/FUT7/JAK2/EBI3/STX7/LY9/TSC1/CD3E/TFEB/CLEC4C/IL1R1/IRF1/CLEC10A/HAVCR2/PIK3CD/PKN1/MALT1/BTLA/ERAP1/IL13RA2/PLA2G4A/JAG1/IL6R/IL17RA/CLEC4M/CD84/SLC22A13/LYN/FBXO38/BCL10/IL6ST/LTA/GNL1/TFE3/FYN/ZAP70/C1R/UNC13D/PTK2B/ARG2/PRDM1/ZC3H12A/LEF1/CD3D/MCOLN2"
"CC","GO:0005743","mitochondrial inner membrane",367,-0.61746841032714,-1.96375179207378,1e-10,7.4138885502769e-08,6.29720976855974e-08,2921,"tags=49%, list=24%, signal=38%","COX7C/NDUFV1/ACADVL/TIMM17B/NDUFS7/MRPS24/NDUFB6/NDUFA3/MTFP1/SFXN1/PPIF/NDUFAF1/SLC25A36/SHMT2/MRPL27/SLC25A30/NDUFAF4/MRPS31/SDHAF4/SLC25A15/UQCRHL/COX20/NDUFA11/MRPL55/MTX3/PMPCB/MRPL1/SMDT1/MRPS5/ABCB8/MRPL35/NDUFAF5/NDUFB4/COX6B1/APOO/NDUFV3/SLC25A20/MRPL16/NDUFS6/MRPL34/NDUFB11/TIMM8A/MRPL18/MRPL38/MRPS34/NDUFC1/MRPL40/LGALS3/ETFDH/MRPL3/NDUFA13/MRPS26/TIMM13/PTCD3/GRPEL1/ABCB10/COX4I1/CCDC51/MRPL19/STOML2/MRPS15/AIFM1/COQ5/TIMM22/TMEM177/COX6C/MRPL46/MRPL15/NDUFA6/MYOC/AURKAIP1/COX7B/FECH/NDUFAB1/TIMM23/TMEM126A/UQCRQ/BCS1L/CHCHD3/MPV17/MRPL47/MRPS18B/FPGS/IMMT/TIMM9/NDUFV2/COX5A/NDUFS4/FASTKD2/MRPL44/CRLS1/COQ9/MRPL54/MRPS33/SLC25A22/SPG7/MRPS22/SLC25A5/NDUFS8/MRPL9/NDUFAF3/IMMP2L/SLC25A11/SLC25A24/NDUFB7/MTG2/MRPL4/NDUFB9/PHB2/SLC25A25/PMPCA/CYCS/CYC1/MPC1/NDUFS2/SFXN4/CPT2/DAP3/ERAL1/HIGD1A/NDUFB10/UCP2/COX7A2/HCCS/SDHB/TYMS/MTX2/COX6A1/COX8A/TIMM17A/RDH13/NDUFA8/MRPL13/NNT/MPV17L2/SLC25A34/MRPL12/SFXN2/NDUFA9/TIMM50/UQCRFS1/TIMM44/CKMT2/UQCC1/TMEM70/DHODH/NDUFA10/SLC25A33/SAMM50/TOMM40/TIMMDC1/SLC25A12/NOA1/ATAD3A/PHB/HSPA9/COQ6/MPC2/THEM4/GCAT/HSPD1/COX15/SLC25A1/BOK/UQCRC2/CYP1A1/SLC25A16/FOXRED1/ENDOG/DNAJC11/OTC/GOT2/GATM/HADHB/MICU2/HADHA/MRPL37/COX10/SLC25A35/UQCRC1"
"CC","GO:0005759","mitochondrial matrix",393,-0.582661057855659,-1.85870094893577,1e-10,7.4138885502769e-08,6.29720976855974e-08,2784,"tags=43%, list=23%, signal=34%","PPIF/MMAA/BCKDHB/NDUFAF1/ACAA2/NUDT2/SHMT2/ABCE1/GCDH/MRPL27/DARS2/MRPS31/SDHAF4/PTCD1/MRPL55/POLG2/PMPCB/LIAS/SMDT1/MCCC2/LRPPRC/MRPS5/MRPL35/PPM1K/ECHS1/LRRC59/MRPL16/GPT2/AGXT2/MRPL34/DBT/MRPL18/YARS2/MRPL38/PUS1/MRPS34/DNA2/ME3/MRPL40/ETFDH/MRPL3/MRPS26/TSFM/TBRG4/GRPEL1/ETFA/HIBCH/MRPL19/ACO2/DECR1/MRPS15/COQ5/SUCLG2/MRPL46/MRPL15/TXN2/FECH/PDSS1/PITRM1/DLST/NDUFAB1/CS/ECI1/OAT/TRNT1/FDX1/MRPL47/MRPS18B/ABHD10/SSBP1/FPGS/ACSS2/GLS/TRMT10C/NUDT1/PPA2/FASTKD2/MRPL44/RARS2/PYROXD2/MRPL54/MRPS33/TFAM/ACAT1/MRPS22/SLC25A5/NDUFS8/MRPL9/ACOT11/HSD17B10/AADAT/ACADSB/DNAJA3/MTG2/MCAT/MRPL4/PDP1/PMPCA/GLRX5/NDUFAF7/SOD2/MARS2/NDUFS2/DAP3/ERAL1/NUDT13/ACADL/DHX30/TMLHE/IDH2/ACOT9/TYMS/FLAD1/ALDH4A1/PYCR1/SUCLG1/ALDH7A1/C1QBP/MRPL13/CCNB1/MPV17L2/ALDH5A1/HIBADH/MRPL12/NDUFA9/ACP6/TIMM44/IDH3A/PDHX/NDUFA10/GFM1/IVD/DLAT/MALSU1/PNPT1/RAD51/ATAD3A/PDHB/NAGS/PDSS2/NT5M/CDK1/HSPA9/VDAC1/DMGDH/THEM4/HSPD1/DLD/AUH/TUFM/PDE12/PCCA/FH/ACADS/PARS2/CASQ1/OTC/MTHFD2/GOT2/HADHB/MDH2/TRIT1/IDH3B/ALDH6A1/VDAC2/PCCB/HADHA/MRPL37/OXCT1"
"CC","GO:0019866","organelle inner membrane",409,-0.606785556893693,-1.93742560819444,1e-10,7.4138885502769e-08,6.29720976855974e-08,2921,"tags=47%, list=24%, signal=37%","COX7C/NDUFV1/ACADVL/TIMM17B/NDUFS7/MRPS24/NDUFB6/NDUFA3/MTFP1/SFXN1/PPIF/NDUFAF1/SLC25A36/SHMT2/SMAD3/MATR3/MRPL27/SLC25A30/NDUFAF4/MRPS31/SDHAF4/SLC25A15/UQCRHL/COX20/TMEM120B/NDUFA11/MRPL55/MTX3/PMPCB/MRPL1/SMDT1/LRPPRC/TM7SF2/EMD/MRPS5/ABCB8/MRPL35/NDUFAF5/NDUFB4/COX6B1/APOO/NDUFV3/SLC25A20/MRPL16/NDUFS6/MRPL34/NEMP1/NDUFB11/TIMM8A/MRPL18/ARL6IP6/MRPL38/MRPS34/NDUFC1/MRPL40/LGALS3/ETFDH/MRPL3/NDUFA13/MRPS26/TIMM13/PTCD3/GRPEL1/ABCB10/COX4I1/CCDC51/MRPL19/STOML2/MRPS15/AIFM1/COQ5/TIMM22/TMEM177/COX6C/MRPL46/MRPL15/NDUFA6/MYOC/AURKAIP1/COX7B/FECH/NDUFAB1/TIMM23/TMEM126A/UQCRQ/BCS1L/CHCHD3/MPV17/MRPL47/MRPS18B/FPGS/IMMT/TIMM9/NDUFV2/COX5A/NDUFS4/FASTKD2/MRPL44/CRLS1/COQ9/MRPL54/MRPS33/SLC25A22/SPG7/MRPS22/SLC25A5/NDUFS8/MRPL9/NDUFAF3/IMMP2L/SLC25A11/SLC25A24/NDUFB7/MTG2/MRPL4/NDUFB9/PHB2/SLC25A25/PMPCA/CYCS/CYC1/MPC1/NDUFS2/SFXN4/CPT2/DAP3/ERAL1/HIGD1A/NUTF2/NDUFB10/UCP2/COX7A2/HCCS/SDHB/TYMS/MTX2/COX6A1/COX8A/TIMM17A/RDH13/NDUFA8/MRPL13/NNT/P2RX3/MPV17L2/SLC25A34/MRPL12/SFXN2/NDUFA9/TIMM50/UQCRFS1/TIMM44/CKMT2/UQCC1/TMEM70/DHODH/LMNB2/NDUFA10/SLC25A33/SAMM50/TOMM40/TIMMDC1/SLC25A12/NOA1/ATAD3A/PHB/HSPA9/COQ6/MPC2/THEM4/GCAT/HSPD1/ATP1B4/COX15/SLC25A1/BOK/UQCRC2/CYP1A1/SLC25A16/FOXRED1/ENDOG/DNAJC11/OTC/LMNB1/GOT2/GATM/HADHB/MICU2/HADHA/MRPL37/COX10/SLC25A35/UQCRC1"
"MF","GO:0030695","GTPase regulator activity",382,0.506890870152816,1.81784406256814,1e-10,7.4138885502769e-08,6.29720976855974e-08,1598,"tags=27%, list=13%, signal=24%","FGD6/DOCK8/CCDC88C/P2RY12/MADD/RGL2/TNK2/ARHGEF16/RGS18/NCKAP1L/ALS2/WAS/SH3BP1/ARHGAP23/ARHGEF10/ARHGAP17/RALBP1/TBC1D22B/RIN1/DOCK3/MYO9B/SGSM1/CYTH4/USP6NL/SOS1/IQSEC1/ARHGAP44/RAPGEF1/FAM13B/AKAP13/RAB3GAP2/DENND1A/RASGEF1B/RGS14/WASL/BCR/CYTH1/PTGIR/SOS2/CCDC88A/GMIP/VAV1/RAP1GAP/DENND4C/RAB3IL1/HPS4/RALGAPA1/RASGRP3/RAPGEFL1/ARHGAP30/VAV3/TBC1D5/NF1/DOCK2/RIN3/IQGAP1/TBC1D25/TBC1D30/DENND1C/HERC1/LLGL1/ARHGAP18/RAPGEF3/DAB2IP/RAB3IP/GPS2/STXBP5L/ARAP1/RASGRF2/ARHGAP12/TBC1D12/ARHGAP26/ARHGAP25/ARHGAP29/BCAR3/ARHGEF12/FAM13A/SPATA13/AGFG1/TAGAP/TBC1D14/ARHGAP20/ACAP2/PLCB1/ASAP2/TBC1D8B/IPO5/GPSM2/ABR/SBF2/STXBP5/HPS1/RALGAPB/SRGAP3/DENND5A/ARFGEF1/GARNL3/PREX2/ARHGEF10L/IQSEC2/ARHGEF1/SRGAP2"
"BP","GO:0045087","innate immune response",469,0.47766361025276,1.74422277411751,1e-10,7.4138885502769e-08,6.29720976855974e-08,1761,"tags=32%, list=15%, signal=29%","FCGR1A/HLA-G/TAB3/IRF8/ARID5A/PARP9/CRP/TRIM27/APOE/TLR7/PLA2G1B/TLR5/NOD1/TNK2/HCK/CD74/WAS/LBP/IFIH1/CSF1R/POLR3C/CD58/CD244/IL36G/HLA-DPA1/PIK3CG/CYLD/SEC14L1/PLCG2/STAT1/CCL3/SLAMF8/PSTPIP1/TBKBP1/USP18/B2M/PTAFR/CARD11/NR1H2/TLR3/PSMB8/JAK1/AXL/C4B/C1QA/C1QC/HLA-DPB1/MPEG1/TIRAP/CFB/TYK2/LAMP1/CFH/PARP14/PLD4/BTK/PTPN6/TRIM68/RSAD2/IRF2/CLNK/NOD2/RELA/REL/MARCO/C3/SIGLEC14/MR1/NCF1/PSMB9/PGLYRP2/TLR1/DTX3L/VAV1/LYST/TNFAIP3/CD40/DHX58/FASLG/JAK2/CASP1/ANKHD1/ARRB2/TRIM25/IFI35/TLR6/KYNU/ELF4/ALPK1/TMEM106A/IRF5/DAB2IP/LY9/TICAM1/NLRC3/CLEC4C/ADGRB1/IRF1/CLEC10A/DAPK1/MEFV/HAVCR2/PSMB7/RAF1/SLA/PIK3CD/EIF2AK2/TRIM28/VCAM1/IFNAR1/CYBB/MALT1/ERAP1/IFI27/CLEC12B/BPI/IKBKE/AIF1/IL17RA/CYBA/CLEC4M/CD84/INS/CCL3L3/LYN/TRIM11/BCL10/SOCS3/PCBP2/TRIM21/TRIM23/COCH/STXBP4/FYN/SOCS1/ZAP70/C1R/MFAP4/UNC13D/MAVS/PSMF1/PTK2B/ARG2/PRDM1/OTUD4/GRN/TYRO3/RAB20/FBXW11/CREBBP/MCOLN2/KRAS"
"CC","GO:0098798","mitochondrial protein-containing complex",199,-0.644698814038167,-1.95595491366435,1e-10,7.4138885502769e-08,6.29720976855974e-08,3175,"tags=62%, list=27%, signal=46%","MRPL52/TOMM7/MRPL51/NDUFA12/MFN1/NDUFS3/MRPL53/MRPL42/NDUFA4/MRPL57/MRPS35/COX7C/NDUFV1/TIMM17B/NDUFS7/MRPS24/NDUFB6/NSUN3/NDUFA3/PPIF/BCKDHB/NDUFAF1/BAX/MRPL27/MRPS31/SDHAF4/UQCRHL/NDUFA11/MRPL55/POLG2/MTX3/PMPCB/SMDT1/MCCC2/MRPS5/MRPL35/NDUFB4/APOO/NDUFV3/MRPL16/NDUFS6/MRPL34/NDUFB11/DBT/MRPL18/MRPL38/MRPS34/DNA2/NDUFC1/MRPL40/MRPL3/NDUFA13/MRPS26/TIMM13/GRPEL1/COX4I1/MRPL19/MRPS15/SUCLG2/TIMM22/MRPL46/MRPL15/NDUFA6/NDUFAB1/TIMM23/UQCRQ/BCS1L/CHCHD3/MRPL47/MRPS18B/IMMT/TIMM9/NDUFV2/COX5A/TRMT10C/NDUFS4/MRPL44/MRPL54/MRPS33/TOMM22/SPG7/MRPS22/NDUFS8/MRPL9/HSD17B10/IMMP2L/NDUFB7/MRPL4/NDUFB9/PHB2/CYC1/NDUFS2/DAP3/NDUFB10/TOMM40L/SDHB/MTX2/COX6A1/TIMM17A/NDUFA8/MRPL13/MPV17L2/MRPL12/NDUFA9/TIMM50/UQCRFS1/NDUFA10/SAMM50/TOMM40/DLAT/MALSU1/PNPT1/PDHB/PHB/HSPA9/VDAC1/UQCRC2/FOXRED1/DNAJC11/MICU2/HADHA/MRPL37/UQCRC1"
"BP","GO:0001819","positive regulation of cytokine production",264,0.556714572962079,1.91897899025533,1.04568244714766e-10,7.4138885502769e-08,6.29720976855974e-08,1359,"tags=28%, list=11%, signal=25%","HLA-G/STAT6/IL1RL1/IRF8/TLR7/SASH3/PLA2G1B/TLR5/NOD1/RUNX1/CD74/LBP/IFIH1/CSF1R/POLR3C/CCR7/CD58/CD244/HLA-DPA1/PLCG2/STAT1/CCL3/F2R/BCL3/B2M/PTAFR/CARD11/PTPRC/TLR3/HLA-DPB1/TIRAP/STAT3/CEBPB/RSAD2/SCRIB/C5AR1/CLNK/NOD2/RELA/C3/TLR1/CD40/DHX58/LRP1/JAK2/CASP1/EBI3/NFATC4/TLR6/IRF5/LY9/CD3E/TICAM1/IL16/IL1R1/IRF1/NLRP12/HAVCR2/EIF2AK2/MALT1/ARNT/FRMD8/AIF1/LURAP1/IL6R/IL17RA/PLCB1/C1QTNF4/CYBA/INS/NR4A3/IL12RB2/SEMA7A"
