"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",-0.0199819910892699,"144568"
"AAAS","aaas",-0.081354854802587,"8086"
"AACS","aacs",-0.0459497714550106,"65985"
"AADAC","LOC107380045",0.0108970104127259,"13"
"AADAT","aadat",-0.625211882540295,"51166"
"AAGAB","aagab",-0.66679368713415,"79719"
"AAK1","LOC107373159",0.283276932904994,"22848"
"AAMDC","aamdc",0.150090594607252,"28971"
"AAMP","aamp",-0.596715918622008,"14"
"AAR2","aar2",-2.10975408226825,"25980"
"AARS2","aars2",-0.0747333057518157,"57505"
"AARSD1","aarsd1",-0.0469821281718851,"80755"
"AASDH","aasdh",0.183917056108744,"132949"
"AASDHPPT","aasdhppt",0.515280457019656,"60496"
"AASS","aass",-0.0442598362608686,"10157"
"AATF","aatf",-0.226197676041905,"26574"
"AATK","LOC107378275",-0.0173682697143965,"9625"
"AATK","aatk",-0.0391055154930704,"9625"
"ABAT","abat",1.92405577694144,"18"
"ABCA1","LOC107392625",0.291038717527588,"19"
"ABCA1","LOC107372735",0.183097433787732,"19"
"ABCA1","LOC107377411",0.0304473464602295,"19"
"ABCA1","LOC107391047",0.989404922900001,"19"
"ABCA1","LOC107381037",-0.00244480830566028,"19"
"ABCA12","LOC107376062",-0.000739903363674314,"26154"
"ABCA12","abca12",0.242608419357572,"26154"
"ABCA3","abca3",0.0940692271728164,"21"
"ABCA4","LOC107383559",0.157384364428284,"24"
"ABCA5","abca5",-0.00919903149571215,"23461"
"ABCB1","abcb1",0.85193824408674,"5243"
"ABCB10","abcb10",-0.389149718173713,"23456"
"ABCB6","abcb6",-1.21023280601723,"10058"
"ABCB7","abcb7",0.115689134725216,"22"
"ABCB8","LOC107383862",-0.310496871864143,"11194"
"ABCB9","abcb9",-0.0462923512979648,"23457"
"ABCC1","LOC107391801",0.00694765214590558,"4363"
"ABCC1","LOC107373251",-0.0756578371971507,"4363"
"ABCC1","LOC107392837",0.071105537034961,"4363"
"ABCC10","abcc10",-0.000965909669602588,"89845"
"ABCC12","LOC107381982",1.34536255839853,"94160"
"ABCC2","abcc2",0.10972243860167,"1244"
"ABCC3","LOC107388296",0.060883204664366,"8714"
"ABCC4","abcc4",0.736291700163443,"10257"
"ABCC5","abcc5",0.0432641370364042,"10057"
"ABCC8","abcc8",0.0106028338403841,"6833"
"ABCC9","LOC107387088",-0.010749358516498,"10060"
"ABCD1","LOC107391455",0.0278420620955871,"215"
"ABCD2","abcd2",1.22975596944754,"225"
"ABCD3","abcd3",-0.583752393436743,"5825"
"ABCD3","LOC107395207",-0.187219879695938,"5825"
"ABCD4","abcd4",0.000332383783290909,"5826"
"ABCE1","abce1",-0.25671437959754,"6059"
"ABCF1","abcf1",-1.8530917727765,"23"
"ABCF2","abcf2",-1.38464540912065,"10061"
"ABCF3","abcf3",-0.270303625098716,"55324"
"ABCG2","LOC107376824",0.263972193956933,"9429"
"ABCG4","abcg4",0.387780822581357,"64137"
"ABCG8","abcg8",-0.527112818681097,"64241"
"ABHD10","abhd10",-0.501995825452498,"55347"
"ABHD11","abhd11",-0.114479598175037,"83451"
"ABHD12","abhd12b",0.0641821716144086,"26090"
"ABHD12","LOC107375545",0.102264533694664,"26090"
"ABHD12","LOC107376141",-0.348271381921401,"26090"
"ABHD13","abhd13",-0.139569303410788,"84945"
"ABHD14A","abhd14a",0.065023710490319,"25864"
"ABHD14B","abhd14b",-0.10913684308447,"84836"
"ABHD15","LOC107380403",-0.421589156773734,"116236"
"ABHD16A","abhd16a",-3.2453474523121,"7920"
"ABHD17B","abhd17b",-1.54366922613953,"51104"
"ABHD17C","LOC107384127",-1.20700379123838,"58489"
"ABHD17C","LOC107393262",-0.000705264413718795,"58489"
"ABHD18","abhd18",0.0019494236685416,"80167"
"ABHD2","LOC107376844",-0.199089894245735,"11057"
"ABHD2","abhd2",1.13465381878273,"11057"
"ABHD3","LOC107377588",-0.332062453160081,"171586"
"ABHD3","abhd3",-0.412948337451584,"171586"
"ABHD4","abhd4",-0.00753812448234972,"63874"
"ABHD5","abhd5",0.215075693417934,"51099"
"ABHD5","LOC107383196",0.387780822581357,"51099"
"ABHD8","LOC107396936",-0.179843147726914,"79575"
"ABI1","LOC107390296",1.65394808961856,"10006"
"ABI1","abi1",0.314021540763987,"10006"
"ABI1","LOC107384312",-0.844629298046933,"10006"
"ABI1","LOC107389593",-0.0234924704262773,"10006"
"ABI2","abi2",1.25952551181709,"10152"
"ABI3BP","LOC107384590",1.78898025629899,"25890"
"ABI3BP","abi3bp",-0.391897757321044,"25890"
"ABL1","abl1",-0.0171758847297414,"25"
"ABL2","abl2",-0.118748736193078,"27"
"ABLIM1","ablim1",0.0193600982563186,"3983"
"ABLIM2","ablim2",0.150809809201301,"84448"
"ABLIM3","LOC107386751",0.0334731986899812,"22885"
"ABLIM3","LOC107394056",0.758396012496641,"22885"
