"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0001816","cytokine production",460,0.587271884939228,2.03625490867619,1e-10,4.43125e-08,3.85789473684211e-08,1658,"tags=35%, list=14%, signal=31%","NRROS/TLR5/C5AR1/PLCG2/CD58/INPP5D/CSF1R/NCKAP1L/STAT6/IL1RL1/TNFRSF1B/PTPRC/CARD11/MYB/EPX/HDAC9/NOD1/ALOX15B/SEMA7A/TIRAP/LTA/NR1H4/CAPN2/PTPN6/CYLD/IL1R1/ITK/STAT1/RNF128/ZBTB7B/CEBPB/ALOX5/LYN/CD200R1/IL6ST/C3/CD3E/HDAC7/GHSR/RIOK3/TRIM27/MAPK14/SASH3/PTAFR/S1PR3/JAK2/ZC3H12A/ITGB8/PLA2G1B/BPI/CYBA/DICER1/HSPA1B/CLNK/IL17RA/RIPK3/NLRC3/ARG1/DHX58/ABCD1/CD244/BCL10/PTGER4/NLRP12/CD40/IFIH1/NFATC3/EPHA2/CCR7/STAT3/PLD4/AIF1/ZFPM1/FOXP1/TLR3/TNFAIP3/GPNMB/CD84/NOD2/CARD9/KLF2/LBP/PLCB1/PCBP2/BTK/RSAD2/IRF5/ARHGEF2/F11R/TRIM21/HEG1/TGFB1/CASP1/PRKDC/PIK3CG/AXL/POLR3C/CCBE1/IKBKE/TRIM16/IRF8/TLR1/LGALS9B/PGLYRP2/RASGRP1/CD2/IL12RB2/TMF1/SIGIRR/NFATC2/HLA-DPB1/TMEM106A/CRP/IL5RA/MCOLN2/HLA-G/BTN1A1/HAVCR2/EZR/IL6R/RELA/CREB1/PRKCQ/PIK3CD/NLRX1/TICAM1/TSKU/CD276/LRP1/HIF1A/MALT1/BATF/HLA-DPA1/TLR7/BRCA1/TAX1BP1/ATF4/HMOX1/EIF2AK2/CASP8/TSPO/LY9/SFTPD/SCRIB/TMIGD2/NFKB1/SERPINE1/TRIM25/MAVS/GBA/REL/BAP1/CSK/LEF1/CREBBP/SERPINB1/RIPK2/MAP3K7/DDIT3"
"BP","GO:0001817","regulation of cytokine production",426,0.591795421923265,2.04323453473338,1e-10,4.43125e-08,3.85789473684211e-08,1658,"tags=35%, list=14%, signal=31%","TLR5/C5AR1/PLCG2/CD58/INPP5D/CSF1R/NCKAP1L/STAT6/IL1RL1/TNFRSF1B/PTPRC/CARD11/MYB/EPX/HDAC9/NOD1/ALOX15B/SEMA7A/TIRAP/LTA/NR1H4/CAPN2/PTPN6/CYLD/IL1R1/STAT1/RNF128/CEBPB/ALOX5/LYN/CD200R1/IL6ST/C3/CD3E/HDAC7/GHSR/RIOK3/TRIM27/MAPK14/SASH3/PTAFR/S1PR3/JAK2/ZC3H12A/ITGB8/PLA2G1B/BPI/CYBA/DICER1/HSPA1B/CLNK/IL17RA/RIPK3/NLRC3/ARG1/DHX58/ABCD1/CD244/BCL10/PTGER4/NLRP12/CD40/IFIH1/EPHA2/CCR7/STAT3/PLD4/AIF1/ZFPM1/FOXP1/TLR3/TNFAIP3/GPNMB/CD84/NOD2/CARD9/KLF2/LBP/PLCB1/PCBP2/BTK/RSAD2/IRF5/ARHGEF2/F11R/TRIM21/HEG1/TGFB1/CASP1/PRKDC/AXL/POLR3C/CCBE1/IKBKE/TRIM16/IRF8/TLR1/LGALS9B/PGLYRP2/RASGRP1/CD2/IL12RB2/TMF1/SIGIRR/HLA-DPB1/CRP/IL5RA/MCOLN2/HLA-G/BTN1A1/HAVCR2/EZR/IL6R/RELA/CREB1/PRKCQ/NLRX1/TICAM1/TSKU/CD276/LRP1/HIF1A/MALT1/HLA-DPA1/TLR7/BRCA1/TAX1BP1/ATF4/HMOX1/EIF2AK2/CASP8/TSPO/LY9/SFTPD/SCRIB/TMIGD2/NFKB1/SERPINE1/TRIM25/MAVS/GBA/REL/BAP1/CSK/LEF1/CREBBP/SERPINB1/RIPK2/MAP3K7/DDIT3"
"BP","GO:0001819","positive regulation of cytokine production",264,0.587100567860583,1.93614876254955,1e-10,4.43125e-08,3.85789473684211e-08,1706,"tags=36%, list=14%, signal=32%","TLR5/C5AR1/PLCG2/CD58/CSF1R/STAT6/IL1RL1/PTPRC/CARD11/MYB/EPX/NOD1/ALOX15B/SEMA7A/TIRAP/LTA/IL1R1/STAT1/CEBPB/IL6ST/C3/CD3E/RIOK3/MAPK14/SASH3/PTAFR/JAK2/PLA2G1B/CYBA/HSPA1B/CLNK/IL17RA/DHX58/CD244/BCL10/PTGER4/NLRP12/CD40/IFIH1/CCR7/STAT3/AIF1/ZFPM1/TLR3/NOD2/CARD9/LBP/PLCB1/RSAD2/IRF5/ARHGEF2/HEG1/TGFB1/CASP1/PRKDC/POLR3C/CCBE1/TRIM16/IRF8/TLR1/RASGRP1/CD2/IL12RB2/TMF1/HLA-DPB1/MCOLN2/HLA-G/HAVCR2/IL6R/RELA/CREB1/PRKCQ/TICAM1/CD276/LRP1/HIF1A/MALT1/HLA-DPA1/TLR7/BRCA1/ATF4/HMOX1/EIF2AK2/CASP8/LY9/SCRIB/TMIGD2/NFKB1/SERPINE1/MAVS/CREBBP/RIPK2/MAP3K7/DDIT3/ADAM8/CYP1B1"
"BP","GO:0002250","adaptive immune response",219,0.635309360369502,2.0474800430844,1e-10,4.43125e-08,3.85789473684211e-08,1654,"tags=40%, list=14%, signal=35%","CLEC4G/SAMSN1/INPP5D/UNC13D/IL1RL1/TNFRSF1B/PTPRC/TNFSF13B/KLHL6/LAMP3/CLEC10A/LTA/CRACR2A/HLX/PTPN6/IL1R1/ITK/SLAMF7/C1QC/ZBTB7B/LYN/IL6ST/C3/CD3E/TRIM27/SASH3/RAB27A/JAK2/GNL1/ZC3H12A/CLEC4C/TFE3/CLEC4M/CTSS/PAXIP1/IL17RA/RIPK3/C1QA/ARG1/CD244/BCL10/CD40/SUPT6H/STAT3/WAS/TNFAIP3/CD84/FUT7/NOD2/RNF19B/BTK/PTK2B/RSAD2/C4B/TFEB/TGFB1/PIK3CG/CD3D/PLA2G4A/TEC/TEC/RC3H1/HLA-DPB1/CTSC/CD247/CRP/MCOLN2/HLA-G/HAVCR2/IL6R/PRKCQ/PIK3CD/SH2D1A/SLC15A4/MALT1/BATF/HLA-DPA1/TAP2/C1R/MTOR/LY9/SLA2/ZBTB1/CSK/LEF1/RIPK2/SLC22A13/MAP3K7"
"BP","GO:0002521","leukocyte differentiation",336,0.607864524013681,2.04721716591086,1e-10,4.43125e-08,3.85789473684211e-08,1642,"tags=32%, list=14%, signal=29%","CEBPA/LYL1/GAB3/IKZF1/TESPA1/FCRL3/NRROS/IKZF3/CEBPE/PLCG2/INPP5D/CSF1R/MYH9/VAV1/GPS2/DCSTAMP/NCKAP1L/DOCK2/BLNK/PTPRC/CARD11/SPI1/MYB/SLC46A2/PPARG/HDAC9/MFNG/NCAPH2/PIR/LRRK1/HLX/SLAMF8/PTPN6/ITK/ITGA4/C1QC/ZBTB7B/CEBPB/LYN/CD3E/LEPR/MAPK14/SASH3/DOCK11/ZC3H12A/ITGB8/TFE3/KITLG/TPD52/LCK/RIPK3/ADGRG3/PTGER4/CCR1/JAG2/EPHA2/CCR7/STAT3/GNAS/ZFPM1/FOXP1/TLR3/FUT7/CA2/SOS2/FBXW7/BTK/PTK2B/RSAD2/TGFB1/PRKDC/AXL/CCR9/CD3D/ERBB2/IRF8/NOTCH2/ZBTB16/PGLYRP2/CD2/ITFG2/RC3H1/NFATC2/ITPKB/HLA-G/IL6R/CREB1/PIK3CD/RUNX3/MALT1/BATF/BCL2/CHD7/MITF/RBPJ/MTOR/CASP8/PDE1B/LY9/JUNB/ST3GAL1/CDK6/IHH/GBA/ZBTB1/LEF1/TOB2/ATM/RIPK2"
"BP","GO:0002694","regulation of leukocyte activation",309,0.603524290622673,2.02691042321046,1e-10,4.43125e-08,3.85789473684211e-08,1958,"tags=39%, list=16%, signal=33%","CEBPA/DOCK8/TESPA1/FCRL3/CLEC4G/IKZF3/LRRK2/SAMSN1/INPP5D/VAV1/NCKAP1L/UNC13D/IL1RL1/TNFRSF1B/TNFAIP8L2/PTPRC/GRAP2/CARD11/TNFSF13B/MYB/SLC46A2/ITGAM/TIRAP/TNFSF14/SLC7A1/CD22/VAV3/HLX/SLAMF8/PTPN6/ZBTB7B/PAWR/CEBPB/LYN/ITGB2/IL6ST/CD3E/SASH3/PTAFR/ZC3H12A/BPI/PAXIP1/CLNK/LCK/RIPK3/GPER1/ARG1/BCL10/CD40/SUPT6H/CCR7/PRKAR1A/AIF1/PRAM1/TNFAIP3/GPNMB/CD84/CD300A/NOD2/MAP3K8/LBP/SOS2/BTK/LAMP1/TGFB1/PRKDC/AXL/ERBB2/GRN/PLA2G4A/LGALS9B/ZBTB16/PGLYRP2/BLOC1S3/CD2/DLG1/RC3H1/NFATC2/HLA-DPB1/CTSC/EPO/ITPKB/HLA-G/HAVCR2/PRKCQ/TICAM1/RUNX3/CD276/SLC15A4/MALT1/BCL2/RAC2/HLA-DPA1/STXBP2/HMOX1/SFTPD/SCRIB/TMIGD2/IHH/ZBTB1/CSK/LEF1/ATM/RIPK2/ADAM8/CHRNB2/FYN/PRDX2/CBFB/BTLA/PKN1/PAK2/RHBDD3/DLG5/EFNB1/PDPK1/GLMN/AHR/ARG2"
"BP","GO:0002697","regulation of immune effector process",222,0.632888155233893,2.04425128765616,1e-10,4.43125e-08,3.85789473684211e-08,1411,"tags=36%, list=12%, signal=32%","FCRL3/C5AR1/CLEC4G/VAV1/UNC13D/TNFRSF1B/PTPRC/MYB/CFP/CFH/ITGAM/SEMA7A/PARP9/RAPGEF1/LTA/CD22/HLX/SLAMF8/PTPN6/IL1R1/STAT1/C1QC/PROS1/ZBTB7B/LYN/ITGB2/C3/RIOK3/SASH3/PTAFR/ZC3H12A/PAXIP1/TRIM44/CLNK/CFB/RIPK3/C1QA/ARG1/DHX58/CD244/BCL10/CD40/SUPT6H/WAS/TLR3/PRAM1/TNFAIP3/CD84/FUT7/CD300A/NOD2/DTX3L/LBP/PCBP2/BTK/RSAD2/C4B/IL18RAP/LAMP1/CLEC12B/TGFB1/PRKDC/GRN/PGLYRP2/RASGRP1/RC3H1/TRAF3IP2/HLA-G/HAVCR2/NLRX1/TICAM1/SH2D1A/SLC15A4/MALT1/RAC2/SEC14L1/STXBP2/C1R/HMOX1"
"BP","GO:0006954","inflammatory response",422,0.537638705765363,1.85292969988365,1e-10,4.43125e-08,3.85789473684211e-08,1841,"tags=34%, list=15%, signal=30%","CEBPA/NRROS/TLR5/C5AR1/LRRK2/SETD6/APOE/CSF1R/GPS2/HCK/UNC13D/IL1RL1/ITGAL/TNFRSF1B/BLNK/TNFAIP8L2/PTPRC/PSTPIP1/PPARG/HDAC9/NOD1/SEMA7A/TIRAP/IL36G/LTA/NR1H4/PIK3AP1/SLAMF8/CYLD/IL1R1/HYAL3/CEBPB/LTB4R/ALOX5/LYN/APOL3/ITGB2/CD200R1/IL6ST/C3/GHSR/PTGIR/MAPK14/PTAFR/UFL1/S1PR3/JAK2/ZC3H12A/ADGRE5/ANO6/B4GALT1/CYBA/CYBB/AGTR2/IL17RA/GPER1/NLRC3/ABCD1/PTGER4/NLRP12/CXCR3/CD40/CCR1/NFATC3/EPHA2/CCR7/STAT3/PLD4/AIF1/FOXP1/TLR3/TNFAIP3/FUT7/NOD2/LBP/BTK/ASH1L/IRF5/C4B/IL18RAP/F11R/TGFB1/CASP1/FNDC4/PIK3CG/AXL/SNAP23/GRN/F8/NOTCH2/TLR1/RICTOR/PGLYRP2/MAPK7/SIGIRR/CTSC/EPO/CRP/IL5RA/GPR4/TRAF3IP2/PDE2A/TNFRSF1A/IFI35/HAVCR2/IL6R/RELA/PRKCQ/PIK3CD/NLRX1/TICAM1/USP18/DAB2IP/HIF1A/PTGIS/DAGLB/TLR7/ADORA2A/CDO1/RBPJ/HMOX1/TGM2/GPX1/PLA2G4C/NFKB1/SERPINE1/GBA/ETS1/REL/BAP1/NFE2L2/ATM/ADM/RIPK2/CXCR4/ADAM8/NFX1/FN1/SCYL1/PRDX2/MEFV/GGT1/F2R/NAPEPLD/PARP4"
"BP","GO:0042110","T cell activation",279,0.58913557209574,1.95385804814807,1e-10,4.43125e-08,3.85789473684211e-08,2006,"tags=41%, list=17%, signal=35%","DOCK8/TESPA1/CLEC4G/MYH9/VAV1/LCP1/NCKAP1L/DOCK2/ITGAL/TNFRSF1B/TNFAIP8L2/PTPRC/GRAP2/CARD11/TNFSF13B/MYB/SLC46A2/NCAPH2/TNFSF14/SLC7A1/HLX/PTPN6/ITK/ZBTB7B/PAWR/CEBPB/LYN/IL6ST/CD3E/LEPR/SASH3/RAB27A/ZC3H12A/LCK/RIPK3/NLRC3/ARG1/BCL10/PTGER4/JAG2/ELF4/CCR7/STAT3/PRKAR1A/AIF1/ZFPM1/FOXP1/WAS/GPNMB/FUT7/CD300A/NOD2/MAP3K8/SOS2/KIF13B/RSAD2/PRKDC/PIK3CG/CCR9/CD3D/ERBB2/LGALS9B/ZBTB16/RASGRP1/CD2/DLG1/RC3H1/NFATC2/HLA-DPB1/EPO/ITPKB/HLA-G/GSN/HAVCR2/IL6R/PRKCQ/PIK3CD/RUNX3/CD276/MALT1/BATF/BCL2/RAC2/HLA-DPA1/CHD7/MTOR/CASP8/LY9/SFTPD/SLA2/SCRIB/TMIGD2/IHH/GBA/ZBTB1/CSK/LEF1/RIPK2/ADAM8/FYN/MR1/PRDX2/APBB1IP/CBFB/BTLA/PAK2/DLG5/EFNB1/TSC1/PDPK1/GLMN/ARG2/IRF4/STAT5B/MAFB"
"BP","GO:0045087","innate immune response",469,0.563573594152333,1.95371562434125,1e-10,4.43125e-08,3.85789473684211e-08,1779,"tags=35%, list=15%, signal=31%","SIGLEC14/TRIM68/KYNU/TLR5/SLA/PLCG2/CD58/APOE/CSF1R/VAV1/FCGR1A/HCK/UNC13D/TNFAIP8L2/NCF1/CARD11/PSTPIP1/CFP/PPARG/CFH/ITGAM/NOD1/TBKBP1/CLEC10A/TIRAP/PARP9/RAF1/IL36G/TYK2/NR1H4/FBXW11/SLAMF8/PTPN6/CYLD/SLAMF7/STAT1/C1QC/IRF2/LYN/C3/RIOK3/TRIM27/PTAFR/RAB27A/JAK2/PLA2G1B/BPI/CLEC4C/ARID5A/CYBA/CLEC4M/CLEC4E/CYBB/PARP14/CLNK/CFB/IL17RA/LCK/GPER1/MARCO/C1QA/NLRC3/ARG1/DHX58/CD244/BCL10/CD40/IFIH1/ELF4/JAK1/PLD4/AIF1/WAS/TLR3/RAB20/TNFAIP3/CD84/NOD2/ALPK1/CARD9/DTX3L/STXBP4/LBP/RNF19B/PCBP2/BTK/PTK2B/IFNAR1/RSAD2/SP100/IRF5/ARHGEF2/C4B/IL18RAP/LAMP1/NCF2/TRIM21/CLEC12B/CASP1/PRKDC/PIK3CG/AXL/POLR3C/IKBKE/NUB1/MAP3K5/GRN/IRF8/TLR1/PGLYRP2/RASGRP1/ECSIT/HLA-DPB1/TMEM106A/CRP/MCOLN2/FASLG/HLA-G/IFI35/GSN/HAVCR2/MST1R/RELA/PIK3CD/NLRX1/TICAM1/USP18/SH2D1A/DAB2IP/SLC15A4/STXBP3/MALT1/TAB3/HLA-DPA1/TLR7/TNK2/SEC14L1/C1R/TTC4/PIAS1/EIF2AK2/LY9/MRC1/SFTPD/KRAS/NFKB1/TRIM25/MAVS/REL/ZBTB1/CREBBP/EDN1/RIPK2/MAP3K7/TRIM39/ADAM8/FYN/SRPK2/ANKHD1/MR1/PSMF1/IRF7/MEFV"
