"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",-0.293352558952538,"144568"
"AAAS","aaas",-0.10748450404078,"8086"
"AACS","aacs",-1.07838590255323,"65985"
"AADAC","LOC107380045",0.137467200484593,"13"
"AADAT","aadat",0.00421460256600326,"51166"
"AAGAB","aagab",-0.089500879800953,"79719"
"AAK1","LOC107373159",0.325347840158495,"22848"
"AAMDC","aamdc",0.036503619133387,"28971"
"AAMP","aamp",-1.41609665128686,"14"
"AAR2","aar2",-0.100839140755981,"25980"
"AARS2","aars2",0.000580672532387067,"57505"
"AARSD1","aarsd1",-0.0228896793914027,"80755"
"AASDH","aasdh",0.173822676723276,"132949"
"AASDHPPT","aasdhppt",0.492811935144246,"60496"
"AASS","aass",0.546369937231355,"10157"
"AATF","aatf",-0.00789501441817196,"26574"
"AATK","LOC107378275",-0.634836001389243,"9625"
"AATK","aatk",-0.0277284128937538,"9625"
"ABAT","abat",0.549506207011459,"18"
"ABCA1","LOC107391047",0.76685625965643,"19"
"ABCA1","LOC107381037",-0.0113415391895635,"19"
"ABCA1","LOC107372735",0.0132574512620755,"19"
"ABCA1","LOC107377411",-0.0208153118254776,"19"
"ABCA1","LOC107392625",-0.0377196896362502,"19"
"ABCA12","LOC107376062",-0.00133057932948282,"26154"
"ABCA12","abca12",0.482712412247692,"26154"
"ABCA3","abca3",-0.126171169008281,"21"
"ABCA4","LOC107383559",1.44859912961477,"24"
"ABCA5","abca5",-1.23167798460454,"23461"
"ABCB1","abcb1",1.55843208136935,"5243"
"ABCB10","abcb10",0.799444762312016,"23456"
"ABCB6","abcb6",-0.443106104167981,"10058"
"ABCB7","abcb7",0.507499974409727,"22"
"ABCB8","LOC107383862",-0.429112707402461,"11194"
"ABCB9","abcb9",-0.00283350171898378,"23457"
"ABCC1","LOC107373251",0.084484242938195,"4363"
"ABCC1","LOC107391801",0.449200717994219,"4363"
"ABCC1","LOC107392837",-0.314075934841954,"4363"
"ABCC10","abcc10",-0.0723187154545491,"89845"
"ABCC12","LOC107381982",1.47669765452344,"94160"
"ABCC2","abcc2",0.305149960464861,"1244"
"ABCC3","LOC107388296",0.297931033898163,"8714"
"ABCC4","abcc4",0.189211872691614,"10257"
"ABCC5","abcc5",0.203890115080229,"10057"
"ABCC8","abcc8",0.00714081468220566,"6833"
"ABCC9","LOC107387088",-0.197233444133047,"10060"
"ABCD1","LOC107391455",1.18624494601935,"215"
"ABCD2","abcd2",0.0191278146934504,"225"
"ABCD3","LOC107395207",-0.249265102705712,"5825"
"ABCD3","abcd3",-0.221392500902661,"5825"
"ABCD4","abcd4",0.235050979892317,"5826"
"ABCE1","abce1",0.000855706847325707,"6059"
"ABCF1","abcf1",-0.402693432711937,"23"
"ABCF2","abcf2",-0.648019927479477,"10061"
"ABCF3","abcf3",-0.010414164429749,"55324"
"ABCG2","LOC107376824",1.1006395694282,"9429"
"ABCG4","abcg4",-3.71915879592929e-06,"64137"
"ABCG8","abcg8",-0.00525774267058569,"64241"
"ABHD10","abhd10",-0.339126555447234,"55347"
"ABHD11","abhd11",-0.716019765151272,"83451"
"ABHD12","LOC107375545",-0.00302687081404435,"26090"
"ABHD12","LOC107376141",-0.575065527885352,"26090"
"ABHD12","abhd12b",-0.0296998626229991,"26090"
"ABHD13","abhd13",-0.0472270716963644,"84945"
"ABHD14A","abhd14a",-0.0218875642994665,"25864"
"ABHD14B","abhd14b",-0.000382092885534801,"84836"
"ABHD15","LOC107380403",-0.0687196509101897,"116236"
"ABHD16A","abhd16a",-1.26811802574382,"7920"
"ABHD17B","abhd17b",-2.34427307795516,"51104"
"ABHD17C","LOC107393262",-0.352728612726305,"58489"
"ABHD17C","LOC107384127",-1.56191605409104,"58489"
"ABHD18","abhd18",1.66209448842101,"80167"
"ABHD2","abhd2",0.745032680997019,"11057"
"ABHD2","LOC107376844",-0.656025719759521,"11057"
"ABHD3","LOC107377588",-0.672254358692251,"171586"
"ABHD3","abhd3",-0.440416234331479,"171586"
"ABHD4","abhd4",0.000553507001685009,"63874"
"ABHD5","abhd5",0.00240878877714044,"51099"
"ABHD5","LOC107383196",3.13248916144735,"51099"
"ABHD8","LOC107396936",-0.24971839774121,"79575"
"ABI1","abi1",0.00101408444035835,"10006"
"ABI1","LOC107384312",-0.265937429598637,"10006"
"ABI1","LOC107390296",0.96510014891578,"10006"
"ABI1","LOC107389593",-0.147152650463716,"10006"
"ABI2","abi2",-0.000217455745108347,"10152"
"ABI3BP","LOC107384590",0.155941611322887,"25890"
"ABI3BP","abi3bp",-0.334674408125534,"25890"
"ABL1","abl1",0.0332498493187134,"25"
"ABL2","abl2",-0.295381449898258,"27"
"ABLIM1","ablim1",0.00580349697062559,"3983"
"ABLIM2","ablim2",0.160292866522794,"84448"
"ABLIM3","LOC107394056",0.218892288387236,"22885"
"ABLIM3","LOC107386751",0.140854967625901,"22885"
"ABLIM3","LOC107373670",0.23244810378363,"22885"
"ABR","LOC107377344",1.63838048364254,"29"
"ABR","abr",1.40326135814422,"29"
"ABRACL","abracl",-0.0497680224099757,"58527"
"ABT1","abt1",-0.294365809192549,"29777"
"ABTB1","abtb1",-0.0777211887058688,"80325"
"ABTB2","abtb2",-0.00103255009578039,"25841"
"ACAA1","acaa1",-0.0883446973353918,"30"
"ACAA2","acaa2",-0.322099359760949,"10449"
"ACACA","acaca",-0.500852242367487,"31"
"ACACB","acacb",1.00015703665729,"32"
"ACAD11","acad11",0.508242481718309,"84129"
"ACAD11","LOC107372609",0.430431794121889,"84129"
"ACAD11","LOC107374620",0.0831475629698909,"84129"
"ACAD8","acad8",0.0494459640006236,"27034"
"ACAD9","acad9",0.0342713430000546,"28976"
"ACADL","acadl",-0.738186534747036,"33"
"ACADM","acadm",-0.0284150870726091,"34"
"ACADS","acads",-0.125593895841385,"35"
"ACADS","LOC107383304",-0.418015116916547,"35"
"ACADSB","acadsb",0.000822412588099722,"36"
"ACADVL","LOC107393942",-0.00299416630641607,"37"
"ACADVL","acadvl",-0.0527242117946764,"37"
"ACAN","acan",2.28345721092308,"176"
"ACAP2","acap2",2.32954854915544,"23527"
"ACAP2","LOC107379876",0.00453475650036661,"23527"
"ACAP2","acap1",1.53938353185454,"23527"
"ACAP3","LOC107374920",-0.553444745479753,"116983"
"ACAP3","LOC107385549",-0.00346949339974621,"116983"
"ACAT1","acat1",-0.26499193855174,"38"
"ACAT2","acat2",-2.27625344116004,"39"
"ACBD3","acbd3",-0.0711063167062344,"64746"
"ACBD4","acbd4",-0.0322467187198208,"79777"
"ACBD5","acbd5",0.41350476170314,"91452"
"ACBD5","LOC107384316",-0.177770044893124,"91452"
"ACBD6","acbd6",0.00141677099423882,"84320"
"ACBD7","LOC107374258",-0.778958532125834,"414149"
"ACCS","accs",0.0743678537959451,"84680"
"ACE","ace",-0.0739551673077822,"1636"
"ACER2","acer2",1.09012332526046,"340485"
"ACER3","acer3",-1.26223105341607,"55331"
"ACHE","ache",-0.056132060980672,"43"
"ACHE","LOC107395693",1.15167448177771,"43"
"ACIN1","acin1",0.569402630031626,"22985"
"ACIN1","LOC107377177",0.19645994308132,"22985"
"ACKR3","ackr3",0.34192983542024,"57007"
