"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0002274","myeloid leukocyte activation",448,0.542639130177381,1.75180760554759,1e-10,1.13116666666667e-07,1.02456140350877e-07,1901,"tags=32%, list=18%, signal=27%","TNIP2/PLAU/CD2/TMEM179B/LYZ/CXCL6/NPC2/CTSB/ADGRG3/PTX3/LAMP2/PLAUR/HEXB/AIF1/SIGLEC5/SIGLEC14/MANBA/ATP6V0C/BATF/CYSTM1/CD59/PTAFR/MMP9/TNFRSF1B/TMEM106A/GPR84/GLA/GLIPR1/LTA4H/LRRK2/CYBA/RELB/BATF3/CTSS/PRCP/DERA/ATP6V1D/BRI3/PSAP/CTSC/DIAPH1/CD84/GALNS/HEBP2/KMT2E/TNF/PYGL/GATA2/SPHK2/GHDC/CYBB/LBP/AP1M1/ATP6AP2/B2M/IL1RL1/WNT5A/CRACR2A/CTSA/LAMTOR3/IST1/CTSD/ZC3H12A/FUCA2/CAND1/CLEC4C/TOM1/AGA/CAP1/COMMD9/STXBP1/FES/CSTB/PKM/GMFG/RAB10/EPX/NFKB1/SDCBP/TMEM30A/GPR137B/CDK13/PGLYRP1/CST7/NEU1/TICAM1/GLB1/MAN2B1/ATG7/UBR4/APP/F2RL1/SBNO2/LGALS3/BPI/PTPN6/SPI1/LAMTOR1/IL10/CD74/STK11IP/B4GALT1/NOTCH2/RAC1/TLR1/CLU/OLFM4/CTSZ/PRKCD/C3/CD63/CLNK/HAVCR2/CD226/PYCARD/PSMB7/RAB37/DNASE1L3/C1QA/IFI35/EEF1A1/SERPINB1/GRN/FRK/HAMP/QPCT/CD200/NCSTN/IGF2R/KCMF1/SNCA/RAC2/HUWE1/PLEKHO2/SYNGR1/MVP/GM2A/CD53/ALDOC/VAMP8/LYN/HVCN1"
"BP","GO:0006364","rRNA processing",197,-0.635092475641336,-2.11268676594466,1e-10,1.13116666666667e-07,1.02456140350877e-07,2177,"tags=40%, list=20%, signal=32%","DHX37/ZCCHC4/MTERF4/GAR1/MRM1/PES1/FDXACB1/MRTO4/LYAR/ERI1/WDR36/EBNA1BP2/TRMT112/POP5/RRP7A/RRS1/NSUN3/GTPBP4/DIS3/DDX49/DDX56/RRP9/ERI2/UTP4/SIRT7/HEATR1/RCL1/KRR1/DIMT1/DKC1/RPL7L1/DDX47/NOL6/PA2G4/ESF1/BOP1/SHQ1/KRI1/DDX54/C1D/NOB1/UTP15/BYSL/NOP56/NAT10/TBL3/NOC4L/UTP23/BMS1/NOP2/NOP58/UTP18/NOP14/FTSJ3/NOL10/RPUSD1/WDR55/WDR3/XRN2/EXOSC1/MPHOSPH10/NSUN5/FAM207A/NOL11/NVL/DDX27/RPF1/THUMPD1/WDR75/DDX51/METTL15/RRP1/REXO4/EXOSC10/WDR12/PWP2/SART1/DDX52"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",382,-0.575936367179069,-2.017835692163,1e-10,1.13116666666667e-07,1.02456140350877e-07,2218,"tags=37%, list=20%, signal=30%","RIOK2/SLU7/DENR/DHX37/EIF2S3/PRPF19/ZCCHC4/MTERF4/GAR1/METTL17/MRM1/PES1/FDXACB1/MRTO4/LYAR/ERI1/WDR36/EBNA1BP2/XRCC5/HSP90AB1/CLNS1A/TRMT112/ABCE1/POP5/RPLP0/DDX1/RRP7A/AAR2/LTV1/PUF60/RRS1/EIF3L/FASTKD2/NSUN3/GTPBP4/GTF3A/DIS3/DDX49/DDX56/RRP9/ERI2/UTP4/SIRT7/HEATR1/CDC73/GCFC2/MALSU1/RCL1/KRR1/DIMT1/DKC1/RPL7L1/EIF2S2/SRSF6/DDX47/NOL6/PA2G4/ESF1/MTERF3/BOP1/EIF3E/SHQ1/KRI1/DDX54/C1D/SNRNP200/NOB1/UTP15/BYSL/NOP56/NAT10/NMD3/TBL3/NOC4L/LUC7L/UTP23/BRIX1/DHX29/BMS1/CUL4A/NUFIP1/NOP2/TARBP2/NOC2L/NOP58/UTP18/CRNKL1/LSG1/DDX31/ZNF622/CUL4B/PSIP1/NOP14/PAK1IP1/CD2BP2/FTSJ3/NOL10/RPUSD1/ZNF658/WDR55/PWP1/NOM1/WDR3/SURF6/XRN2/NLE1/NPM1/EXOSC1/MPHOSPH10/NSUN5/EIF3D/EIF3C/FAM207A/CELF5/CPSF7/NOL11/NVL/DDX27/RPF1/THUMPD1/WDR75/DDX51/MYBBP1A/METTL15/RRP1/AGO2/EIF3B/REXO4/EXOSC10/SDAD1/URB2/EIF5/WDR12/PWP2/ERAL1/PTBP2/PRPF6/SART1/GNL2/DDX52"
"BP","GO:0034470","ncRNA processing",336,-0.547346150784996,-1.9059159851051,1e-10,1.13116666666667e-07,1.02456140350877e-07,2177,"tags=35%, list=20%, signal=28%","DHX37/ZCCHC4/MTERF4/GAR1/MRM1/SMAD1/ELAC2/PES1/FDXACB1/MRTO4/LYAR/ERI1/WDR36/EBNA1BP2/NSUN6/TRMT112/POP5/TRMT10C/DDX1/RRP7A/RRS1/TRNT1/NSUN3/GTPBP4/TRMT5/DIS3/DDX49/DDX56/RRP9/ERI2/UTP4/SIRT7/INTS2/TRMT44/ELP2/HEATR1/RCL1/KRR1/PARN/ADAT1/DIMT1/DKC1/FAM98B/RPL7L1/DDX47/TARBP1/NOL6/PA2G4/ESF1/BOP1/TSEN54/SHQ1/KRI1/DDX54/C1D/PUS3/ELP6/NOB1/UTP15/BYSL/NOP56/ALKBH8/NAT10/TBL3/SSB/MOCS3/NOC4L/DGCR8/UTP23/DUS2/BMS1/DUS3L/TRUB1/NOP2/TARBP2/CDKAL1/NOP58/UTP18/WDR4/TRMT6/NOP14/FTSJ3/NOL10/RPUSD1/WDR55/WDR3/XRN2/TRMT11/EXOSC1/MPHOSPH10/NSUN5/THUMPD3/FAM207A/NSUN2/NOL11/NVL/TRMT12/DDX27/RPF1/THUMPD1/WDR75/DDX51/METTL15/RRP1/AGO2/INTS10/TUT1/USB1/REXO4/EXOSC10/WDR12/PWP2/TOE1/SART1/PUS7/DDX52"
"BP","GO:0034660","ncRNA metabolic process",389,-0.516889578374176,-1.81608893523077,1e-10,1.13116666666667e-07,1.02456140350877e-07,2224,"tags=33%, list=21%, signal=27%","TRMT13/RIOK2/PSTK/DHX37/ZCCHC4/MTERF4/GAR1/MRM1/SMAD1/ELAC2/PES1/FDXACB1/MRTO4/LYAR/ERI1/WDR36/EBNA1BP2/NSUN6/TRMT112/POP5/TRMT10C/DDX1/RRP7A/DIS3L2/RRS1/MAPT/TRNT1/NSUN3/GTPBP4/TRMT5/DIS3/DDX49/DDX56/RRP9/ERI2/UTP4/SIRT7/INTS2/TRMT44/ELP2/HEATR1/FARSB/DTD2/RCL1/KRR1/PARN/ADAT1/DIMT1/DKC1/FAM98B/RPL7L1/DDX47/TARBP1/NOL6/PA2G4/ESF1/BOP1/TSEN54/SHQ1/KRI1/DDX54/C1D/PUS3/ELP6/NOB1/UTP15/BYSL/NOP56/ALKBH8/NAT10/TBL3/SSB/MOCS3/NOC4L/DGCR8/UTP23/DUS2/BMS1/DUS3L/TRUB1/NOP2/TARBP2/CDKAL1/NOP58/UTP18/WDR4/TRMT6/NOP14/FTSJ3/NOL10/RPUSD1/WDR55/WDR3/XRN2/TRMT11/EXOSC1/MPHOSPH10/NSUN5/THUMPD3/FAM207A/XPO5/NSUN2/QRSL1/NOL11/NVL/TRMT12/DDX27/RPF1/THUMPD1/WDR75/DDX51/METTL15/RRP1/AGO2/INTS10/TUT1/USB1/REXO4/EXOSC10/WDR12/MEPCE/PWP2/TOE1/RARS2/SART1/PUS7/DDX52"
"BP","GO:0042254","ribosome biogenesis",263,-0.64792926473932,-2.22387978834771,1e-10,1.13116666666667e-07,1.02456140350877e-07,2177,"tags=41%, list=20%, signal=34%","DHX37/ZCCHC4/MTERF4/GAR1/METTL17/MRM1/PES1/FDXACB1/MRTO4/LYAR/ERI1/WDR36/EBNA1BP2/XRCC5/TRMT112/ABCE1/POP5/RPLP0/RRP7A/LTV1/RRS1/FASTKD2/NSUN3/GTPBP4/GTF3A/DIS3/DDX49/DDX56/RRP9/ERI2/UTP4/SIRT7/HEATR1/MALSU1/RCL1/KRR1/DIMT1/DKC1/RPL7L1/DDX47/NOL6/PA2G4/ESF1/MTERF3/BOP1/SHQ1/KRI1/DDX54/C1D/NOB1/UTP15/BYSL/NOP56/NAT10/NMD3/TBL3/NOC4L/UTP23/BRIX1/DHX29/BMS1/CUL4A/NOP2/NOC2L/NOP58/UTP18/LSG1/DDX31/ZNF622/CUL4B/NOP14/PAK1IP1/FTSJ3/NOL10/RPUSD1/ZNF658/WDR55/PWP1/NOM1/WDR3/SURF6/XRN2/NLE1/NPM1/EXOSC1/MPHOSPH10/NSUN5/FAM207A/NOL11/NVL/DDX27/RPF1/THUMPD1/WDR75/DDX51/MYBBP1A/METTL15/RRP1/REXO4/EXOSC10/SDAD1/URB2/WDR12/PWP2/ERAL1/SART1/GNL2/DDX52"
"BP","GO:0016072","rRNA metabolic process",203,-0.600168300485619,-1.99931316155184,5.76645884138293e-10,5.59099373663799e-07,5.06407814040245e-07,2177,"tags=39%, list=20%, signal=32%","DHX37/ZCCHC4/MTERF4/GAR1/MRM1/PES1/FDXACB1/MRTO4/LYAR/ERI1/WDR36/EBNA1BP2/TRMT112/POP5/RRP7A/RRS1/MAPT/NSUN3/GTPBP4/DIS3/DDX49/DDX56/RRP9/ERI2/UTP4/SIRT7/HEATR1/RCL1/KRR1/DIMT1/DKC1/RPL7L1/DDX47/NOL6/PA2G4/ESF1/BOP1/SHQ1/KRI1/DDX54/C1D/NOB1/UTP15/BYSL/NOP56/NAT10/TBL3/NOC4L/UTP23/BMS1/NOP2/NOP58/UTP18/NOP14/FTSJ3/NOL10/RPUSD1/WDR55/WDR3/XRN2/EXOSC1/MPHOSPH10/NSUN5/FAM207A/NOL11/NVL/DDX27/RPF1/THUMPD1/WDR75/DDX51/METTL15/RRP1/REXO4/EXOSC10/WDR12/PWP2/SART1/DDX52"
"BP","GO:0002444","myeloid leukocyte mediated immunity",386,0.535208094827237,1.70679892347602,7.59366311101697e-09,5.89178747752329e-06,5.33652398451157e-06,1901,"tags=30%, list=18%, signal=25%","PLAU/TMEM179B/LYZ/CXCL6/NPC2/CTSB/ADGRG3/PTX3/LAMP2/PLAUR/HEXB/SIGLEC5/SIGLEC14/MANBA/ATP6V0C/CYSTM1/CD59/PTAFR/MMP9/PLA2G1B/TNFRSF1B/GPR84/GLA/GLIPR1/LTA4H/CYBA/CTSS/PRCP/DERA/ATP6V1D/BRI3/PSAP/CTSC/DIAPH1/CD84/GALNS/HEBP2/KMT2E/ACE/PYGL/GATA2/SPHK2/GHDC/CYBB/AP1M1/ATP6AP2/B2M/MAVS/CRACR2A/CTSA/LAMTOR3/IST1/CTSD/FUCA2/CAND1/CLEC4C/TOM1/AGA/CAP1/COMMD9/STXBP1/FES/CSTB/PKM/GMFG/RAB10/EPX/NFKB1/SDCBP/TMEM30A/CDK13/PGLYRP1/NEU1/TICAM1/GLB1/MAN2B1/ATG7/UBR4/F2RL1/LGALS3/BPI/PTPN6/LAMTOR1/STK11IP/B4GALT1/RAC1/OLFM4/CTSZ/PRKCD/C3/CD63/CLNK/PYCARD/PSMB7/RAB37/DNASE1L3/EEF1A1/SERPINB1/GRN/FRK/QPCT/NCSTN/IGF2R/KCMF1/RAC2/HUWE1/PLEKHO2/SYNGR1/MVP/GM2A/CD53/ALDOC/VAMP8/LYN/HVCN1"
"BP","GO:0002275","myeloid cell activation involved in immune response",381,0.530031976719975,1.69191303631544,7.81289042252978e-09,5.89178747752329e-06,5.33652398451157e-06,1901,"tags=30%, list=18%, signal=26%","PLAU/TMEM179B/LYZ/NPC2/CTSB/ADGRG3/PTX3/LAMP2/PLAUR/HEXB/SIGLEC5/SIGLEC14/MANBA/ATP6V0C/CYSTM1/CD59/PTAFR/MMP9/TNFRSF1B/GPR84/GLA/GLIPR1/LTA4H/CYBA/CTSS/PRCP/DERA/ATP6V1D/BRI3/PSAP/CTSC/DIAPH1/CD84/GALNS/HEBP2/PYGL/GATA2/SPHK2/GHDC/CYBB/LBP/AP1M1/ATP6AP2/B2M/CRACR2A/CTSA/LAMTOR3/IST1/CTSD/FUCA2/CAND1/CLEC4C/TOM1/AGA/CAP1/COMMD9/STXBP1/FES/CSTB/PKM/GMFG/RAB10/EPX/NFKB1/SDCBP/TMEM30A/CDK13/PGLYRP1/NEU1/TICAM1/GLB1/MAN2B1/ATG7/UBR4/F2RL1/SBNO2/LGALS3/BPI/PTPN6/LAMTOR1/STK11IP/B4GALT1/RAC1/OLFM4/CTSZ/PRKCD/C3/CD63/CLNK/HAVCR2/PYCARD/PSMB7/RAB37/DNASE1L3/IFI35/EEF1A1/SERPINB1/GRN/FRK/QPCT/NCSTN/IGF2R/KCMF1/RAC2/HUWE1/PLEKHO2/SYNGR1/MVP/GM2A/CD53/ALDOC/VAMP8/LYN/HVCN1"
"BP","GO:0002446","neutrophil mediated immunity",358,0.536597809161431,1.70476084636801,1.67494447588e-08,1.13678481577975e-05,1.02965007780412e-05,1901,"tags=29%, list=18%, signal=25%","PLAU/TMEM179B/LYZ/CXCL6/NPC2/CTSB/ADGRG3/PTX3/LAMP2/PLAUR/HEXB/SIGLEC5/SIGLEC14/MANBA/ATP6V0C/CYSTM1/CD59/PTAFR/MMP9/PLA2G1B/TNFRSF1B/GPR84/GLA/GLIPR1/LTA4H/CYBA/CTSS/PRCP/DERA/ATP6V1D/BRI3/PSAP/CTSC/DIAPH1/GALNS/HEBP2/KMT2E/ACE/PYGL/GHDC/CYBB/AP1M1/ATP6AP2/B2M/CRACR2A/CTSA/LAMTOR3/IST1/CTSD/FUCA2/CAND1/CLEC4C/TOM1/AGA/CAP1/COMMD9/CSTB/PKM/GMFG/RAB10/EPX/NFKB1/SDCBP/TMEM30A/CDK13/PGLYRP1/NEU1/GLB1/MAN2B1/ATG7/UBR4/F2RL1/LGALS3/BPI/PTPN6/LAMTOR1/STK11IP/B4GALT1/RAC1/OLFM4/CTSZ/PRKCD/C3/CD63/PYCARD/PSMB7/RAB37/DNASE1L3/EEF1A1/SERPINB1/GRN/FRK/QPCT/NCSTN/IGF2R/KCMF1/HUWE1/PLEKHO2/SYNGR1/MVP/GM2A/CD53/ALDOC/VAMP8/HVCN1"
