"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",1.29671576475048,"144568"
"A2ML1","LOC107373335",0.10568766545884,"144568"
"AAAS","aaas",0.0142625838895217,"8086"
"AACS","aacs",-1.50059071993946,"65985"
"AADAT","aadat",1.14697620904679,"51166"
"AAGAB","aagab",-0.158126237475007,"79719"
"AAK1","LOC107373159",0.344482886750012,"22848"
"AAMDC","aamdc",0.012920214217092,"28971"
"AAMP","aamp",-0.287694565438471,"14"
"AANAT","LOC107382246",-0.309328098570488,"15"
"AAR2","aar2",-0.267125089588403,"25980"
"AARS2","aars2",0.451325056841052,"57505"
"AARSD1","aarsd1",-0.0197734343402356,"80755"
"AASDH","aasdh",-0.289921044132228,"132949"
"AASDHPPT","aasdhppt",-0.0765894581610272,"60496"
"AASS","aass",-0.386415334778663,"10157"
"AATF","aatf",0.0244219032325764,"26574"
"AATK","aatk",-0.640817070953169,"9625"
"ABAT","abat",-0.00271493162061848,"18"
"ABCA1","LOC107391047",-0.000671484991672296,"19"
"ABCA1","LOC107377411",0.183097433787732,"19"
"ABCA1","LOC107381037",0.607996026660658,"19"
"ABCA3","abca3",0.00649428674821925,"21"
"ABCA4","LOC107383559",0.105665111336202,"24"
"ABCA5","abca5",-0.147946394377254,"23461"
"ABCB1","abcb1",-0.0076594120532269,"5243"
"ABCB10","abcb10",-0.207868839403519,"23456"
"ABCB6","abcb6",-0.0633473775604041,"10058"
"ABCB7","abcb7",-0.040993574089035,"22"
"ABCB8","LOC107383862",-0.10509342853623,"11194"
"ABCB9","abcb9",-0.0621077761598939,"23457"
"ABCC1","LOC107391801",0.0156806960821305,"4363"
"ABCC1","LOC107373251",0.956856211606064,"4363"
"ABCC1","LOC107392837",0.222448390100947,"4363"
"ABCC10","abcc10",0.00503825982587102,"89845"
"ABCC2","abcc2",0.00337832181161444,"1244"
"ABCC3","LOC107388296",0.076589458161027,"8714"
"ABCC4","abcc4",-0.0076594120532269,"10257"
"ABCC5","abcc5",0.415814461281497,"10057"
"ABCC8","abcc8",-0.0625193023259303,"6833"
"ABCC9","LOC107387088",-2.29484638091975,"10060"
"ABCD1","LOC107391455",0.213258524936584,"215"
"ABCD2","abcd2",-0.154439674740649,"225"
"ABCD3","LOC107395207",4.70616092437107e-05,"5825"
"ABCD3","abcd3",-0.00353632573810893,"5825"
"ABCD4","abcd4",0.0940692271728164,"5826"
"ABCE1","abce1",-0.235756885005878,"6059"
"ABCF1","abcf1",-0.530529577538587,"23"
"ABCF2","abcf2",-0.0372704440143961,"10061"
"ABCF3","abcf3",0.0206152484711146,"55324"
"ABCG2","LOC107376824",0.414379636033781,"9429"
"ABHD10","abhd10",-6.18422829205047e-06,"55347"
"ABHD11","abhd11",0.081354854802587,"83451"
"ABHD12","abhd12b",1.523958672966,"26090"
"ABHD12","LOC107376141",0.520327501613313,"26090"
"ABHD12","LOC107375545",0.176627378203378,"26090"
"ABHD13","abhd13",0.0940692271728164,"84945"
"ABHD14A","abhd14a",-0.0878214692294833,"25864"
"ABHD14B","abhd14b",0.0135820140812828,"84836"
"ABHD15","LOC107380403",-0.115689134725216,"116236"
"ABHD16A","abhd16a",-0.0580838322393264,"7920"
"ABHD17B","abhd17b",0.631030245469305,"51104"
"ABHD17C","LOC107384127",0.0053333415072711,"58489"
"ABHD17C","LOC107393262",0.037572636733656,"58489"
"ABHD18","abhd18",0.400224303345789,"80167"
"ABHD2","abhd2",0.446771870214789,"11057"
"ABHD2","LOC107376844",0.00251092693746133,"11057"
"ABHD3","LOC107377588",0.126302659509437,"171586"
"ABHD4","abhd4",0.294409537424377,"63874"
"ABHD5","abhd5",0.154439674740649,"51099"
"ABHD5","LOC107383196",0.317573848351118,"51099"
"ABHD6","abhd6",-0.551371295728547,"57406"
"ABHD8","LOC107396936",0.00947091469849727,"79575"
"ABI1","abi1",0.505293365713703,"10006"
"ABI1","LOC107390296",0.712545860623896,"10006"
"ABI1","LOC107389593",-0.122488232280598,"10006"
"ABI1","LOC107384312",0.220589537858095,"10006"
"ABI2","abi2",0.247584153788025,"10152"
"ABI3BP","abi3bp",0.040993574089035,"25890"
"ABL1","abl1",-0.000926067582741012,"25"
"ABL2","abl2",0.112084880874547,"27"
"ABLIM1","ablim1",-0.098934321032068,"3983"
"ABLIM2","ablim2",-1.12853297985247,"84448"
"ABLIM3","LOC107394056",-0.060883204664366,"22885"
"ABLIM3","LOC107373670",0.00271493162061848,"22885"
"ABLIM3","LOC107386751",-0.0326311329547624,"22885"
"ABO","LOC107385470",-0.013163922981162,"28"
"ABO","LOC107381863",-0.4333097804119,"28"
"ABR","LOC107377344",0.701946057072804,"29"
"ABR","abr",-0.000332383783290915,"29"
"ABRACL","abracl",0.0130839135188321,"58527"
"ABT1","abt1",-0.0234924704262773,"29777"
"ABTB1","abtb1",-0.36111046087494,"80325"
"ABTB2","abtb2",0.187219879695938,"25841"
"ACAA1","acaa1",0.015499244425862,"30"
"ACAA2","acaa2",0.440752305457292,"10449"
"ACACA","acaca",-0.685234423442273,"31"
"ACACB","acacb",-0.542615775924587,"32"
"ACAD11","LOC107372609",-0.0151399435554266,"84129"
"ACAD11","acad11",-0.102264533694664,"84129"
"ACAD11","LOC107374620",0.112084880874547,"84129"
"ACAD8","acad8",-1.9678006027677,"27034"
"ACAD9","acad9",-0.040042881334928,"28976"
"ACADL","acadl",-0.172661408821857,"33"
"ACADM","acadm",-0.106814410069861,"34"
"ACADS","acads",0.0828196761024574,"35"
"ACADS","LOC107383304",-0.00906474066003612,"35"
"ACADSB","acadsb",-0.749494531924348,"36"
"ACADVL","acadvl",-0.0729054036414046,"37"
"ACADVL","LOC107393942",0.0253724126439061,"37"
"ACAP2","acap1",-0.0260992328455558,"23527"
"ACAP2","LOC107379876",0.423041711346735,"23527"
"ACAP2","acap2",1.28988713795482,"23527"
"ACAP3","LOC107374920",-0.00638356579137502,"116983"
"ACAP3","LOC107385549",0.310496871864143,"116983"
"ACAT1","acat1",-0.0162322873480447,"38"
"ACAT2","acat2",0.00438505151841972,"39"
"ACBD3","acbd3",0.0171758847297414,"64746"
"ACBD4","acbd4",-0.121859801692683,"79777"
"ACBD5","acbd5",-0.00361678485973265,"91452"
"ACBD5","LOC107384316",0.169531292560298,"91452"
"ACBD6","acbd6",-0.00278482374191652,"84320"
"ACBD7","LOC107374258",2.39892326180815,"414149"
"ACCS","accs",-0.627146878807356,"84680"
"ACE","ace",0.981186917349297,"1636"
"ACER2","acer2",-0.0158633520405371,"340485"
"ACER3","acer3",0.0346157936211759,"55331"
"ACHE","LOC107395693",2.05290438080011,"43"
"ACIN1","acin1",-0.0738158368622345,"22985"
"ACIN1","LOC107377177",-0.00802970499780947,"22985"
"ACKR3","ackr3",0.0265904585729764,"57007"
"ACKR4","LOC107379530",0.091956533783461,"51554"
"ACKR4","LOC107381917",0.679045471329691,"51554"
"ACKR4","LOC107372710",6.58480955229727e-05,"51554"
"ACLY","LOC107387857",0.103390202418296,"47"
"ACLY","acly",-1.33131097279671,"47"
"ACO1","aco1",0.029388776101364,"48"
"ACO2","aco2",-0.000926067582741012,"50"
"ACO2","LOC107376317",-0.366337810400468,"50"
"ACOT1","LOC107380820",-0.0251327996790347,"641371"
"ACOT1","LOC107395266",-0.451325056841052,"641371"
"ACOT11","acot11",-0.0828196761024574,"26027"
"ACOT11","LOC107384368",-0.114479598175037,"26027"
"ACOT13","acot13",0.0863015779828906,"55856"
"ACOT8","acot8",-0.0270870534900406,"10005"
"ACOT9","acot9",-0.132828810296969,"23597"
"ACOX1","acox1",-0.208760707639374,"51"
"ACOX3","acox3",-0.0265904585729765,"8310"
"ACP1","acp1",0.155907467348805,"52"
"ACP2","acp2",0.479348023953873,"53"
"ACP5","acp5",0.421589156773734,"54"
"ACP6","acp6",-0.0480283823414215,"51205"
"ACP7","acp7",0.742870808711433,"390928"
"ACSBG2","LOC107394339",0.0592736720397222,"81616"
"ACSBG2","acsbg2",0.14302116064598,"81616"
"ACSF2","LOC107387470",-0.0693334923398386,"80221"
"ACSF3","acsf3",3.47551909141035e-06,"197322"
"ACSL1","acsl1",-0.10509342853623,"2180"
"ACSL3","LOC107384026",0.0498032476182779,"2181"
"ACSL4","acsl4",0.0108970104127259,"2182"
"ACSL6","LOC107386827",-0.161116656467954,"23305"
"ACSL6","LOC107393756",0.849496508081365,"23305"
"ACSS1","acss1",0.927767063167415,"84532"
"ACSS2","LOC107383541",-0.0888440155932293,"55902"
"ACSS2","LOC107390533",-0.14652808987332,"55902"
"ACSS3","acss3",-0.580087055491569,"79611"
"ACTA2","acta2",-1.02000594688293,"59"
"ACTB","LOC107386128",0.558449952688464,"60"
"ACTC1","LOC107392454",-0.0654470173819156,"70"
"ACTC1","LOC107377808",-0.0490886167853815,"70"
"ACTC1","acta1",-0.215988162215062,"70"
"ACTC1","actc1",-0.097839751413171,"70"
"ACTG1","actb",1.59187075520353,"71"
"ACTG1","LOC107389815",-0.0360761850982344,"71"
"ACTL6A","actl6a",-4.70616092437083e-05,"86"
"ACTN1","LOC107391737",-0.279994452527124,"87"
"ACTN2","actn3",0.298945695122692,"88"
"ACTN4","actn4",-0.604218588301721,"81"
"ACTR10","actr10",-0.164143958269244,"55860"
"ACTR1B","LOC107396565",-0.0637639331115008,"10120"
"ACTR2","actr2",0.0206152484711146,"10097"
"ACTR3","LOC107377239",0.0122770196579149,"10096"
"ACTR3","LOC107373242",0.263972193956933,"10096"
"ACTR3","LOC107382736",0.587434800972645,"10096"
"ACTR5","actr5",-0.192247601571295,"79913"
"ACTR6","actr6",-0.319957481658769,"64431"
"ACTR8","actr8",-0.0625193023259303,"93973"
"ACVR1","LOC107390883",-0.145822274156291,"90"
"ACVR1","acvr1",0.0808702120682973,"90"
"ACVR1","LOC107392117",-0.0549827599419411,"90"
"ACVR1B","acvr1b",-0.482537215931807,"91"
"ACVR2A","acvr2a",-0.00893154702093753,"92"
"ACVR2B","LOC107383557",-0.0466364691852103,"93"
"ACY1","acy1",-6.58480955229727e-05,"95"
"ACY3","LOC107377364",0.298945695122692,"91703"
"ACYP1","acyp1",0.113877879996923,"97"
"ADA","ada",0.0413134471196674,"100"
"ADAD2","adad2",0.0326311329547624,"161931"
"ADAL","adal",0.210552125535784,"161823"
"ADAM10","adam10",0.0268380834846335,"102"
"ADAM10","LOC107388626",-0.0565202947256047,"102"
"ADAM11","LOC107387859",0.0232633847540979,"4185"
"ADAM12","adam15",0.592990557384573,"8038"
"ADAM12","adam12",0.00563759707033953,"8038"
"ADAM12","LOC107387781",-0.17344984852179,"8038"
"ADAM17","LOC107377926",0.00126942445355839,"6868"
"ADAM17","adam17",0.00183481773017282,"6868"
"ADAM19","adam19",0.43925653972477,"8728"
"ADAM22","adam22",-0.00595109103206309,"53616"
"ADAM23","adam23",0.179843147726913,"8745"
"ADAM28","adam32",0.834959625963286,"10863"
"ADAM8","adam8",0.230943888766253,"101"
"ADAM8","LOC107387480",0.0684578367875177,"101"
"ADAM9","adam9",-0.0422820344176742,"8754"
"ADAMTS1","adamts1",0.147236128597988,"9510"
"ADAMTS10","LOC107392874",0.0629325017130693,"81794"
"ADAMTS12","LOC107394283",-0.11998696014652,"81792"
"ADAMTS14","adamts14",-0.193094185338256,"140766"
"ADAMTS15","LOC107380757",-0.260844801147167,"170689"
"ADAMTS15","LOC107386475",-0.0021282344222788,"170689"
"ADAMTS2","LOC107375858",-1.36310106381885,"9509"
"ADAMTS2","LOC107387186",0.037572636733656,"9509"
"ADAMTS3","adamts3",-0.747281651014241,"9508"
"ADAMTS5","adamts5",-0.040042881334928,"11096"
"ADAMTS7","LOC107381755",-0.736291700163444,"11173"
"ADAMTS8","adamts8",0.0223600497680725,"11095"
"ADAMTS9","adamts20",0.000173058036044606,"56999"
"ADAMTSL5","adamtsl5",-0.935630547380103,"339366"
"ADAP1","LOC107397365",-0.108553246169442,"11033"
"ADAP1","LOC107376464",-0.0346157936211759,"11033"
"ADAP1","LOC107388258",1.72247878911112,"11033"
"ADAP2","LOC107382320",0.753935261461055,"55803"
"ADAR","LOC107379542",0.505293365713703,"103"
"ADAR","adar",0.225256395084767,"103"
"ADARB1","LOC107389392",0.0372704440143962,"104"
"ADAT1","adat1",-0.357224486987308,"23536"
"ADAT2","adat2",-0.0153189944548228,"134637"
"ADAT3","adat3",-0.134828273690881,"113179"
"ADCK1","adck1",-0.0122770196579149,"57143"
"ADCK2","adck2",0.123751341496729,"90956"
"ADCK5","adck5",-0.238676988204089,"203054"
"ADCY1","LOC107393050",0.200825467016169,"107"
"ADCY2","LOC107376988",4.70616092437107e-05,"108"
"ADCY2","adcy7",0.0357812336905459,"108"
"ADCY2","LOC107383184",-0.129539186685852,"108"
"ADCY5","adcy5",-0.881666116881731,"111"
"ADCY6","LOC107390847",-0.261884440200512,"112"
"ADCY6","adcy6",-0.446771870214789,"112"
"ADCY8","adcy8",1.03416199774426,"114"
"ADCY9","LOC107390534",-0.397435000304127,"115"
"ADCY9","adcy9",-0.100590680789901,"115"
"ADCYAP1","LOC107383779",-3.90984760794107,"116"
"ADCYAP1R1","LOC107393069",-0.431832133621703,"117"
"ADCYAP1R1","LOC107383802",-0.625211882540295,"117"
"ADD1","add1",-0.0132487782156694,"118"
"ADD2","LOC107393523",-0.613694997440511,"119"
"ADD3","LOC107395483",-0.000309580708922047,"120"
"ADD3","add3",0.0169847251027314,"120"
"ADGRA2","adgra2",-0.396045528494452,"25960"
"ADGRA3","adgra3",0.136172018550367,"166647"
"ADGRB1","LOC107395204",0.0106028338403841,"575"
"ADGRB3","adgrb3",0.258773973488938,"577"
"ADGRD1","adgrd1",-0.458987594827037,"283383"
"ADGRE5","LOC107378310",0.00893154702093749,"976"
"ADGRE5","LOC107390510",-0.16567152388754,"976"
"ADGRF3","LOC107391992",0.018348667767189,"165082"
"ADGRG3","LOC107372360",1.87178201537704,"222487"
