"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",137,-0.746081277812722,-2.21009697070962,1e-10,1.65536585365854e-08,1.32246469833119e-08,1022,"tags=39%, list=9%, signal=36%","TUBG1/NSMCE2/NAA50/SPDL1/CDC20/CENPF/TRIP13/TTK/KIFC1/MAD2L1BP/MIS12/NEK2/NUDC/PLK1/PINX1/CHMP6/NUMA1/RAD21/ESPL1/PRC1/NCAPH/AURKB/CDCA8/NCAPG2/KIF4A/FBXO5/CCNB1/KIF2C/NCAPD2/RRS1/DSCC1/DSN1/SPAG5/SMC2/NCAPG/INCENP/ZW10/TACC3/NCAPD3/NDC80/NSL1/CENPK/MAD2L1/PTTG1/RACGAP1/KIF23/KNTC1/NUSAP1/BUB3/GEN1/KNSTRN/UBE2C/SMC4/NUF2"
"CC","GO:0000228","nuclear chromosome",176,-0.689628722370489,-2.1156484939429,1e-10,1.65536585365854e-08,1.32246469833119e-08,1112,"tags=40%, list=10%, signal=36%","SMARCAD1/TUBG1/ACTL6A/MCRS1/SMARCB1/PRPF19/TOP2A/TERF2IP/ORC3/UBE2I/RUVBL2/HDAC8/NOL6/RUVBL1/POLD2/RPA1/WDHD1/POLE3/MIS12/ORC5/NEK2/NIFK/PLK1/EXOSC9/PINX1/ORC4/RAD21/SMARCA5/RAD9A/BCAS2/MCM4/GINS2/POLD1/BRCA2/MCM7/MCM10/RBBP4/CCNB1/MCM2/NCAPD2/RRS1/RPA3/POLE/TIPIN/MCM6/DSN1/GINS3/SMC2/CENPT/PRIM2/INCENP/POLA1/GINS4/CHEK1/TIMELESS/NDC80/POLA2/BIRC5/CENPK/RAD51/POLE2/POLD3/PRIM1/SUV39H1/RPA2/MIS18BP1/GINS1/PMF1/PCNA/NUF2"
"CC","GO:0000313","organellar ribosome",79,-0.798162705867708,-2.18096306740845,1e-10,1.65536585365854e-08,1.32246469833119e-08,1723,"tags=68%, list=16%, signal=58%","MRPS18B/MALSU1/MRPL22/MRPL27/MRPS2/MRPS35/MRPL4/MPV17L2/MRPL2/MRPL48/MRPL20/MRPS22/MRPL55/MRPL45/MRPS21/MRPS34/MRPL21/MRPS17/MRPL19/MRPL28/NDUFAB1/MRPS24/MRPL14/MRPS18A/MRPL53/MRPL46/MRPL37/MRPS7/MRPL32/MRPL41/MRPS5/MRPL16/MRPL34/MRPL17/MRPL51/MRPL43/MRPS15/MRPS30/MRPL24/MRPL47/MRPL3/MRPL9/MRPL54/MRPL15/MRPS31/MRPS33/DAP3/MRPL13/MRPS26/MTERF4/MRPL40/MRPS16/MRPL12/MRPL11"
"BP","GO:0000723","telomere maintenance",129,-0.716869852988949,-2.10156511190732,1e-10,1.65536585365854e-08,1.32246469833119e-08,1261,"tags=38%, list=12%, signal=34%","DCLRE1B/ERCC1/HUS1/DKC1/PTGES3/NHP2/NSMCE2/RFC2/TERF2IP/WRN/CCT8/HDAC8/TPRKB/POLD2/RPA1/POLE3/NEK2/APEX1/TERT/PARP1/TERF1/CCT6A/PINX1/POLD1/BRCA2/AURKB/NOP10/RFC5/RECQL4/RFC4/FEN1/XRCC1/RPA3/POLE/CCT3/TCP1/PRIM2/CCNE2/POLA1/EXO1/POLA2/RAD51/POLE2/POLD3/PRIM1/RPA2/CCT5/RFC3/PCNA"
"CC","GO:0000775","chromosome, centromeric region",162,-0.67431186916327,-2.04759949502908,1e-10,1.65536585365854e-08,1.32246469833119e-08,677,"tags=35%, list=6%, signal=33%","MIS12/CENPU/NEK2/PLK1/PINX1/RAD21/PPP2R1A/HELLS/AURKB/CDCA8/ERCC6L/SEC13/CCNB1/SKA3/KIF2C/CBX3/CENPN/NCAPD2/CENPL/DSCC1/CBX5/CENPQ/NUP37/DSN1/ZNF330/SPAG5/OIP5/ZWILCH/CENPI/CENPT/NUDCD2/NCAPG/DCTN3/ESCO2/INCENP/ZW10/NCAPD3/CENPH/NDC80/NSL1/BIRC5/CENPK/MAD2L1/SUV39H1/CENPW/MIS18BP1/KNTC1/BUB3/DCTN5/KNSTRN/CENPM/CENPP/SMC4/PMF1/SPC24/SPC25/NUF2"
"BP","GO:0000819","sister chromatid segregation",160,-0.722808505546666,-2.18988766771944,1e-10,1.65536585365854e-08,1.32246469833119e-08,1022,"tags=38%, list=9%, signal=34%","NSMCE2/NAA50/SPDL1/CDC20/TOP2A/CENPF/TRIP13/HDAC8/TTK/KIFC1/MAD2L1BP/MIS12/NEK2/NUDC/PLK1/PINX1/CHMP6/NUMA1/RAD21/ESPL1/PRC1/NCAPH/AURKB/CDCA8/NCAPG2/KIF4A/PHB2/FBXO5/CCNB1/KIF2C/FEN1/NCAPD2/RRS1/DSCC1/DSN1/SPAG5/SMC2/NCAPG/ESCO2/INCENP/DDX11/ZW10/TACC3/NCAPD3/NDC80/NSL1/CENPK/MAD2L1/PTTG1/RMI2/RACGAP1/KIF23/KNTC1/NUSAP1/BUB3/GEN1/KNSTRN/UBE2C/SMC4/NUF2"
"MF","GO:0003735","structural constituent of ribosome",142,-0.74434687151928,-2.21970324005345,1e-10,1.65536585365854e-08,1.32246469833119e-08,1905,"tags=39%, list=18%, signal=32%","MRPL18/MRPL42/MRPL35/RPL4/RPL19/RPL5/MRPS18B/MRPL22/MRPL27/MRPS2/MRPS35/MRPL4/MRPL2/MRPL20/MRPS22/MRPL55/MRPS21/MRPS34/MRPL21/MRPS17/MRPL19/MRPL28/MRPS23/MRPS24/MRPL14/MRPS18A/MRPL46/MRPL37/MRPS7/MRPL32/MRPL41/RPL7L1/MRPS5/MRPL16/MRPL34/MRPL17/MRPL51/MRPL43/MRPS15/MRPL1/MRPS30/MRPL24/MRPL47/MRPL3/MRPL9/MRPL54/MRPS25/MRPL15/MRPS31/MRPS33/DAP3/MRPL13/MRPS16/MRPL12/MRPL11"
"CC","GO:0005743","mitochondrial inner membrane",363,-0.643424442650856,-2.10007599724528,1e-10,1.65536585365854e-08,1.32246469833119e-08,2149,"tags=45%, list=20%, signal=37%","UQCRB/COX4I1/ABCB8/TOMM40/COQ6/NDUFB6/UQCC1/LYN/SCO2/MRPS12/STOML2/DNAJC30/BOK/NDUFA13/SDHC/SLC25A19/SLC25A24/COX7B/MPC1/CYCS/MRPL18/MRPL42/OPA1/MRPL35/NDUFA10/MTX1/NDUFA5/SMIM20/ATAD3A/COX7C/COX6C/NDUFS5/TMEM14C/NDUFC2/SMDT1/MRPS18B/NDUFA3/PTPN1/NDUFB11/MRPL22/MRPL27/NDUFB2/MRPS2/NDUFS6/COX6B1/BCS1L/COX5B/MRPS35/NDUFV1/SLC25A51/SLC25A12/MRPL4/UCP3/MPV17L2/ERAL1/MRPL2/NDUFA6/COX10/NDUFS7/NDUFB3/COX20/MRPL48/NDUFA11/PTCD3/NDUFS4/MRPL20/HSPA9/TIMM8A/GUF1/GRPEL1/MRPS22/MRPL55/SAMM50/CKMT2/SLC25A11/SLC25A20/RDH13/TIMM10B/MRPL45/PET100/TMEM126A/MRPS21/MPC2/SLC25A32/MRPS34/NDUFV2/MRPL21/MRPS17/SLC25A26/MRPL19/MRPL28/MRPS23/NDUFAF3/IMMP2L/NDUFAF4/NDUFAB1/MRPS24/MRPL14/SFXN2/SLC25A21/MRPS18A/TIMM22/NDUFA8/NDUFB7/COX7A2/IMMP1L/MRPL53/UQCRQ/MRPL46/NDUFA12/MRPL37/MRPS7/MRPL32/SDHAF4/MRPL41/MRPS5/NDUFB8/MRPL16/MRPL34/TIMM9/MRPL17/COA3/MRPL51/MRPL43/MRPS15/MRPL1/NDUFB10/TIMM13/UQCRFS1/FOXRED1/MRPS30/MRPL24/MRPL47/MRPL3/MRPL9/NDUFA9/AURKAIP1/TMEM177/MRPL54/MRPS25/ENDOG/MRPL15/SHMT2/MTX2/PHB2/NDUFS3/COX15/HSPD1/MRPS31/NDUFB9/MRPS33/TMEM70/COQ9/MPV17/PHB/DAP3/MRPL13/MRPS26/TYMS/MRPL40/MRPS16/MRPL12/MRPL11"
"CC","GO:0005759","mitochondrial matrix",389,-0.654235459969987,-2.14452909211338,1e-10,1.65536585365854e-08,1.32246469833119e-08,1919,"tags=38%, list=18%, signal=32%","PARS2/MRPL18/MRPL42/DNA2/PCK2/MRPL35/NDUFA10/ATAD3A/TMLHE/HAGH/VDAC1/TOP3A/BCKDHB/PUS1/SMDT1/MRPS18B/PTPN1/YARS2/MALSU1/NAGS/MRPL22/MRPL27/MRPS2/OAT/MRPS35/MRPL4/MPV17L2/LRPPRC/ERAL1/MRPL2/BCO2/SUCLG1/NDUFS7/ABHD10/METTL17/MRPL48/ECI1/MMAB/TRMT5/SUCLG2/GADD45GIP1/TRUB2/MRPL20/HSPA9/FDX1/AGXT/GUF1/ECHS1/FAHD1/GRPEL1/MRPS22/LONP1/MRPL55/NUDT2/FASTKD5/ACADL/IDH3B/HIBADH/TRMT10C/TRIT1/HSD17B10/SDHAF1/MRPL45/GPX1/MRPS21/ARL2BP/IDH2/MRPS34/SOD1/MRPL21/MRPS17/MRPL19/MRPL28/MTHFD2/PIN4/NDUFAB1/MRPS24/MRPL14/PYCR2/FH/MRPS18A/PCCB/MCAT/VDAC2/GCSH/ACP6/MRPL53/PDHB/PDSS2/MRPL46/MRPL37/MRPS7/MRPL32/SDHAF4/MRPL41/PRDX3/MRPS5/NDUFB8/TERT/ABCE1/GPT2/MRPL16/MRPL34/MRPL17/MRPL51/MRPL43/MRPS15/TUFM/MRPS30/MRPL24/MRPL47/ALDH7A1/PNPT1/MRPL3/MRPL9/NDUFA9/MRPL54/SOD2/MRPL15/SHMT2/NDUFS3/CCNB1/HSPD1/NUDT1/MRPS31/REXO2/PYCR1/MRPS33/ACAT1/GLRX5/LRRC59/DTYMK/TSFM/CDK1/DAP3/C1QBP/MRPL13/MRPS26/RAD51/IDH3A/MTERF4/TYMS/MRPL40/MRPS16/MRPL12/MRPL11/SSBP1/TFAM"
"CC","GO:0005761","mitochondrial ribosome",79,-0.798162705867708,-2.18096306740845,1e-10,1.65536585365854e-08,1.32246469833119e-08,1723,"tags=68%, list=16%, signal=58%","MRPS18B/MALSU1/MRPL22/MRPL27/MRPS2/MRPS35/MRPL4/MPV17L2/MRPL2/MRPL48/MRPL20/MRPS22/MRPL55/MRPL45/MRPS21/MRPS34/MRPL21/MRPS17/MRPL19/MRPL28/NDUFAB1/MRPS24/MRPL14/MRPS18A/MRPL53/MRPL46/MRPL37/MRPS7/MRPL32/MRPL41/MRPS5/MRPL16/MRPL34/MRPL17/MRPL51/MRPL43/MRPS15/MRPS30/MRPL24/MRPL47/MRPL3/MRPL9/MRPL54/MRPL15/MRPS31/MRPS33/DAP3/MRPL13/MRPS26/MTERF4/MRPL40/MRPS16/MRPL12/MRPL11"
