"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",0.11245767962038,"144568"
"A2ML1","LOC107373335",0.0210079378995868,"144568"
"AAAS","aaas",-0.181548068065399,"8086"
"AACS","aacs",-0.00292669800931427,"65985"
"AADAT","aadat",-0.00590435431157868,"51166"
"AAGAB","aagab",-1.27721467075219,"79719"
"AAK1","LOC107373159",0.867857318333071,"22848"
"AAMDC","aamdc",0.000284400330286927,"28971"
"AAMP","aamp",-0.352561785195861,"14"
"AANAT","LOC107382246",0.00013706376875026,"15"
"AAR2","aar2",-0.283921500636041,"25980"
"AARS2","aars2",1.9261908867017,"57505"
"AARSD1","aarsd1",-0.00828955701187112,"80755"
"AASDH","aasdh",-0.0192845578656496,"132949"
"AASDHPPT","aasdhppt",-0.192533964485072,"60496"
"AASS","aass",-0.0104076972694418,"10157"
"AATF","aatf",-0.146360317987157,"26574"
"AATK","aatk",0.0511131657882124,"9625"
"ABAT","abat",0.0882165361130026,"18"
"ABCA1","LOC107381037",0.218085949294661,"19"
"ABCA1","LOC107391047",0.104273155401348,"19"
"ABCA1","LOC107377411",0.218085949294661,"19"
"ABCA3","abca3",0.947131407151129,"21"
"ABCA4","LOC107383559",0.15651989737326,"24"
"ABCA5","abca5",0.0133403553111356,"23461"
"ABCB1","abcb1",-0.00453287323642735,"5243"
"ABCB10","abcb10",-0.115441359781366,"23456"
"ABCB6","abcb6",0.0112567938666301,"10058"
"ABCB7","abcb7",-0.149895300862113,"22"
"ABCB8","LOC107383862",-0.198188339707821,"11194"
"ABCB9","abcb9",-0.130037719490605,"23457"
"ABCC1","LOC107392837",2.1658980715491,"4363"
"ABCC1","LOC107391801",0.260953021273293,"4363"
"ABCC1","LOC107373251",0.0133403553111356,"4363"
"ABCC10","abcc10",0.0273500578349368,"89845"
"ABCC2","abcc2",-0.223453746786233,"1244"
"ABCC3","LOC107388296",0.0305588844417638,"8714"
"ABCC4","abcc4",-0.0147455871657606,"10257"
"ABCC5","abcc5",-0.00423873244170007,"10057"
"ABCC8","abcc8",0.0393980305348544,"6833"
"ABCC9","LOC107387088",-0.201056426208857,"10060"
"ABCD1","LOC107391455",0.0920718788215893,"215"
"ABCD2","abcd2",-0.00757645933814099,"225"
"ABCD3","abcd3",0.0319018467718364,"5825"
"ABCD3","LOC107395207",-0.00634579838076554,"5825"
"ABCD4","abcd4",0.00151829708443581,"5826"
"ABCE1","abce1",-0.782418696951324,"6059"
"ABCF1","abcf1",-1.2106892464913,"23"
"ABCF2","abcf2",-0.698237765762287,"10061"
"ABCF3","abcf3",-0.237661952486151,"55324"
"ABCG2","LOC107376824",0.345232646718223,"9429"
"ABHD10","abhd10",-0.37190233067852,"55347"
"ABHD11","abhd11",-0.00818549719701377,"83451"
"ABHD12","LOC107376141",0.020138770362123,"26090"
"ABHD12","LOC107375545",0.0711997027689385,"26090"
"ABHD12","abhd12b",0.000250575880624438,"26090"
"ABHD13","abhd13",-0.0538678463297286,"84945"
"ABHD14A","abhd14a",0.000661701170327717,"25864"
"ABHD14B","abhd14b",0.283013622154779,"84836"
"ABHD15","LOC107380403",0.0640464250952946,"116236"
"ABHD16A","abhd16a",-0.58846507827471,"7920"
"ABHD17B","abhd17b",0.020138770362123,"51104"
"ABHD17C","LOC107384127",0.465617745026734,"58489"
"ABHD17C","LOC107393262",0.174896954265073,"58489"
"ABHD18","abhd18",-0.00431126151311153,"80167"
"ABHD2","abhd2",0.0873738930458591,"11057"
"ABHD2","LOC107376844",-0.0128006165604784,"11057"
"ABHD3","LOC107377588",-0.000774239032379247,"171586"
"ABHD4","abhd4",-4.08353001069532e-06,"63874"
"ABHD5","LOC107383196",0.344194307582719,"51099"
"ABHD5","abhd5",-0.138888356872942,"51099"
"ABHD6","abhd6",-0.25330593753781,"57406"
"ABHD8","LOC107396936",0.0563912098081057,"79575"
"ABI1","LOC107389593",0.077654940440636,"10006"
"ABI1","abi1",-9.20257519581052e-06,"10006"
"ABI1","LOC107390296",0.162080197664291,"10006"
"ABI1","LOC107384312",0.537131789454549,"10006"
"ABI2","abi2",2.44024090842729,"10152"
"ABI3BP","abi3bp",0.0232056450647827,"25890"
"ABL1","abl1",0.0346916205189726,"25"
"ABL2","abl2",0.124696049098349,"27"
"ABLIM1","ablim1",0.180875572528272,"3983"
"ABLIM2","ablim2",0.0257240153272272,"84448"
"ABLIM3","LOC107373670",0.873926769440053,"22885"
"ABLIM3","LOC107394056",0.251627421126185,"22885"
"ABLIM3","LOC107386751",0.00875007863940915,"22885"
"ABO","LOC107385470",-0.31696634932653,"28"
"ABO","LOC107381863",-0.342124109800055,"28"
"ABR","abr",0.302499149337363,"29"
"ABR","LOC107377344",-0.000993421887491057,"29"
"ABRACL","abracl",-0.0942589694783702,"58527"
"ABT1","abt1",-0.389702755890055,"29777"
"ABTB1","abtb1",-0.0265296989701052,"80325"
"ABTB2","abtb2",0.849839051179848,"25841"
"ACAA1","acaa1",0.586951229640252,"30"
"ACAA2","acaa2",0.110496282989062,"10449"
"ACACA","acaca",-0.00849987834130783,"31"
"ACACB","acacb",-0.134415857540009,"32"
"ACAD11","LOC107372609",0.00236752889205382,"84129"
"ACAD11","acad11",0.22191116855341,"84129"
"ACAD11","LOC107374620",-0.0020135355196076,"84129"
"ACAD8","acad8",0.00849987834130783,"27034"
"ACAD9","acad9",-0.0433707229458991,"28976"
"ACADL","acadl",-0.451671986143787,"33"
"ACADM","acadm",0.00206224044701719,"34"
"ACADS","acads",-0.0852895324328069,"35"
"ACADS","LOC107383304",0.00634579838076554,"35"
"ACADSB","acadsb",-0.00728172492650442,"36"
"ACADVL","LOC107393942",0.0301188343118038,"37"
"ACADVL","acadvl",-0.00808216935659272,"37"
"ACAP2","acap1",-0.22812456983846,"23527"
"ACAP2","LOC107379876",2.75010286516787,"23527"
"ACAP2","acap2",1.05969477429127,"23527"
"ACAP3","LOC107374920",0.290332322070736,"116983"
"ACAP3","LOC107385549",0.055753718572327,"116983"
"ACAT1","acat1",-1.42189761082174,"38"
"ACAT2","acat2",-0.000774239032379247,"39"
"ACBD3","acbd3",0.0199662082202175,"64746"
"ACBD4","acbd4",-0.0091485601564111,"79777"
"ACBD5","LOC107384316",0.355735562650365,"91452"
"ACBD5","acbd5",1.62838451216588,"91452"
"ACBD6","acbd6",0.00164604328482974,"84320"
"ACBD7","LOC107374258",0.167768444104749,"414149"
"ACCS","accs",-0.0107669996201613,"84680"
"ACE","ace",2.77615318872244,"1636"
"ACER2","acer2",-0.00030213642641184,"340485"
"ACER3","acer3",-0.0570331587438253,"55331"
"ACHE","LOC107395693",0.0157773817861746,"43"
"ACIN1","LOC107377177",0.0960321205911379,"22985"
"ACIN1","acin1",0.0715697790301106,"22985"
"ACKR3","ackr3",-0.33089147950624,"57007"
"ACKR4","LOC107381917",0.154694608086475,"51554"
"ACKR4","LOC107379530",-0.0159280533045963,"51554"
"ACKR4","LOC107372710",-9.32390075809783e-05,"51554"
"ACLY","acly",-0.169693248980151,"47"
"ACLY","LOC107387857",0.0447464833851796,"47"
"ACO1","aco1",-0.0342169536422521,"48"
"ACO2","LOC107376317",0.0137535051816043,"50"
"ACO2","aco2",-0.240087481603203,"50"
"ACOT1","LOC107380820",0.0563912098081057,"641371"
"ACOT1","LOC107395266",-0.125223721021242,"641371"
"ACOT11","LOC107384368",0.000927890342636384,"26027"
"ACOT11","acot11",0.110984562273137,"26027"
"ACOT13","acot13",-0.164592411771693,"55856"
"ACOT8","acot8",-0.261812221244625,"10005"
