"","Gut","Bone","Kidney","SpinalCord","Muscle","Heart","Skin","Spleen","Gonad","Brain","Liver","Fat","Eye","tissue.overlap"
"col16a1",1,1,0,1,1,0,1,0,0,0,0,1,0,6
"col1a2",1,1,0,1,1,1,1,0,0,1,1,1,0,9
"col6a1",1,1,1,0,1,0,1,0,0,0,0,0,0,5
"col6a2",1,1,1,0,1,0,1,0,0,0,0,0,0,5
"e2f3",1,0,0,0,0,1,0,0,0,1,1,1,0,5
"fbn1",1,1,1,0,1,0,1,0,0,0,0,0,0,5
"fstl1",1,1,0,1,1,0,1,1,0,1,0,0,0,7
"LOC107377776",1,0,0,1,1,0,1,0,0,1,0,0,0,5
"LOC107380370",1,0,1,1,1,1,1,0,0,1,0,0,0,7
"LOC107383282",1,1,0,1,1,1,1,1,0,1,0,1,0,9
"LOC107387006",1,1,0,1,1,0,1,0,0,0,0,1,1,7
"LOC107387680",1,1,0,1,1,1,1,0,0,0,1,1,0,8
"LOC107388660",1,0,0,1,1,1,1,0,1,0,0,0,0,6
"LOC107390237",1,1,0,1,1,0,1,0,0,1,0,0,0,6
"LOC107391613",1,1,0,1,1,1,1,0,0,1,1,1,0,9
"mfap2",1,1,1,1,1,1,1,0,0,1,0,0,0,8
"olfm1",1,0,0,1,1,0,0,0,0,1,0,1,0,5
"sparc",1,0,0,1,1,1,1,0,0,0,0,0,1,6
"tarbp2",1,0,0,1,0,1,0,0,0,1,0,0,1,5
"wfdc1",1,0,1,1,1,0,1,0,0,0,0,0,1,6
"ing4",0,1,0,1,1,0,1,1,0,0,0,0,1,6
"LOC107385470",0,1,0,0,1,0,1,0,0,0,0,1,1,5
"LOC107385621",0,1,0,1,1,1,0,1,0,0,0,1,0,6
"LOC107386331",0,1,0,1,1,0,1,0,0,1,0,0,1,6
"LOC107387002",0,1,1,1,1,1,1,1,0,1,0,0,0,8
"smc4",0,1,0,1,1,1,1,1,0,1,1,0,0,8
"sox4",0,1,1,1,0,0,0,0,0,1,0,0,1,5
"tdg",0,1,0,1,1,1,1,0,0,1,0,0,0,6
"gamt",0,0,1,1,0,1,1,0,0,0,0,1,1,6
"hmga1",0,0,1,1,1,1,0,1,0,1,0,1,0,7
"marcks",0,0,1,1,1,0,1,1,0,1,0,0,1,7
"ahcy",0,0,0,1,1,1,0,0,0,1,0,1,1,6
"basp1",0,0,0,1,1,0,1,1,0,1,0,0,0,5
"cbx1",0,0,0,1,1,1,0,0,0,1,0,0,1,5
"dcx",0,0,0,1,1,1,0,0,0,1,0,1,0,5
"fkbp1b",0,0,0,1,1,1,1,0,0,0,0,0,1,5
"LOC107380786",0,0,0,1,1,1,1,0,0,1,0,0,0,5
"LOC107384146",0,0,0,1,0,0,1,1,0,1,0,0,1,5
"LOC107386018",0,0,0,1,1,1,0,0,0,1,1,0,0,5
"LOC107386217",0,0,0,1,1,1,1,0,0,1,0,0,1,6
"LOC107386790",0,0,0,1,0,1,1,1,0,1,0,0,0,5
"LOC107389972",0,0,0,1,1,0,1,0,0,1,0,0,1,5
"mmd",0,0,0,1,0,1,0,0,0,1,0,1,1,5
"scml4",0,0,0,1,1,1,0,0,0,1,0,0,1,5
"tfdp1",0,0,0,1,0,1,0,0,0,1,0,1,1,5
"LOC107378633",0,0,0,0,1,1,0,1,0,1,1,0,0,5
"LOC107384539",0,0,0,0,1,1,1,0,0,1,1,0,1,6
"LOC107397251",0,0,0,0,1,0,1,0,0,1,0,1,1,5
"shmt1",0,0,0,0,1,1,0,1,0,1,0,1,0,5
