"","id"
"1","col16a1"
"2","col1a2"
"3","col6a1"
"4","col6a2"
"5","e2f3"
"6","fbn1"
"7","fstl1"
"8","LOC107377776"
"9","LOC107380370"
"10","LOC107383282"
"11","LOC107387006"
"12","LOC107387680"
"13","LOC107388660"
"14","LOC107390237"
"15","LOC107391613"
"16","mfap2"
"17","olfm1"
"18","sparc"
"19","tarbp2"
"20","wfdc1"
"21","ing4"
"22","LOC107385470"
"23","LOC107385621"
"24","LOC107386331"
"25","LOC107387002"
"26","smc4"
"27","sox4"
"28","tdg"
"29","gamt"
"30","hmga1"
"31","marcks"
"32","ahcy"
"33","basp1"
"34","cbx1"
"35","dcx"
"36","fkbp1b"
"37","LOC107380786"
"38","LOC107384146"
"39","LOC107386018"
"40","LOC107386217"
"41","LOC107386790"
"42","LOC107389972"
"43","mmd"
"44","scml4"
"45","tfdp1"
"46","LOC107378633"
"47","LOC107384539"
"48","LOC107397251"
"49","shmt1"
