"","Gut","Bone","Kidney","SpinalCord","Muscle","Heart","Skin","Spleen","Gonad","Brain","Liver","Fat","Eye","tissue.overlap"
"acp7",1,0,0,1,0,0,0,1,0,1,0,0,1,5
"LOC107373777",1,0,1,1,1,1,1,0,1,1,1,0,1,10
"LOC107387685",1,1,0,1,1,0,1,0,0,1,0,0,0,6
"LOC107391655",1,0,1,0,0,1,1,1,0,0,0,0,0,5
"vldlr",1,1,0,0,1,0,0,1,0,0,1,0,0,5
"calcoco2",0,1,0,1,1,0,1,0,0,1,0,0,1,6
"ezh1",0,1,0,1,1,0,0,0,0,1,0,1,1,6
"ing5",0,1,0,1,1,1,1,0,0,1,0,1,1,8
"LOC107372880",0,1,0,1,1,0,1,0,0,1,0,0,0,5
"LOC107372890",0,1,1,1,1,1,1,1,0,1,0,0,1,9
"LOC107372912",0,1,1,1,1,1,1,1,1,1,0,1,0,10
"LOC107373487",0,1,0,1,1,0,1,0,0,1,0,0,1,6
"LOC107373513",0,1,1,1,0,0,0,0,0,1,1,0,1,6
"LOC107376266",0,1,0,1,1,1,0,0,0,1,0,0,0,5
"LOC107376332",0,1,1,1,1,1,1,0,0,1,1,1,1,10
"LOC107377160",0,1,1,0,0,1,1,0,1,0,0,0,0,5
"LOC107378023",0,1,0,1,1,1,0,0,0,1,0,1,1,7
"LOC107378024",0,1,0,1,1,1,0,0,0,1,0,0,1,6
"LOC107379152",0,1,1,1,1,0,0,0,0,1,0,1,0,6
"LOC107382703",0,1,0,1,1,0,0,0,0,1,1,0,1,6
"LOC107387485",0,1,0,1,0,0,0,0,0,1,1,1,0,5
"psmf1",0,1,0,0,1,0,1,0,0,1,0,1,0,5
"LOC107372615",0,0,1,1,0,1,0,0,1,0,1,1,0,6
"LOC107372627",0,0,1,0,1,1,0,0,0,0,1,1,1,6
"LOC107372776",0,0,1,1,1,1,1,0,0,0,0,0,1,6
"LOC107374900",0,0,1,1,0,1,0,0,0,1,0,0,1,5
"LOC107382421",0,0,1,1,0,0,0,0,1,1,1,1,0,6
"LOC107393027",0,0,1,1,1,0,0,0,0,1,1,1,0,6
"LOC107372504",0,0,0,1,1,1,1,0,1,1,0,1,1,8
"LOC107372920",0,0,0,1,1,0,0,0,0,1,1,1,0,5
"LOC107376533",0,0,0,1,1,1,1,0,0,1,1,1,0,7
"LOC107380031",0,0,0,1,1,0,0,0,0,1,0,1,1,5
"LOC107397256",0,0,0,1,0,1,1,0,1,0,0,1,0,5
"parp9",0,0,0,1,0,0,1,0,0,1,0,1,1,5
"pros1",0,0,0,1,0,0,0,0,1,1,0,1,1,5
"sepp1",0,0,0,1,1,0,1,0,0,1,0,0,1,5
"map3k15",0,0,0,0,1,1,1,1,0,0,0,1,1,6
"myoc",0,0,0,0,1,1,1,0,0,0,0,1,1,5
