"","id"
"1","acp7"
"2","LOC107373777"
"3","LOC107387685"
"4","LOC107391655"
"5","vldlr"
"6","calcoco2"
"7","ezh1"
"8","ing5"
"9","LOC107372880"
"10","LOC107372890"
"11","LOC107372912"
"12","LOC107373487"
"13","LOC107373513"
"14","LOC107376266"
"15","LOC107376332"
"16","LOC107377160"
"17","LOC107378023"
"18","LOC107378024"
"19","LOC107379152"
"20","LOC107382703"
"21","LOC107387485"
"22","psmf1"
"23","LOC107372615"
"24","LOC107372627"
"25","LOC107372776"
"26","LOC107374900"
"27","LOC107382421"
"28","LOC107393027"
"29","LOC107372504"
"30","LOC107372920"
"31","LOC107376533"
"32","LOC107380031"
"33","LOC107397256"
"34","parp9"
"35","pros1"
"36","sepp1"
"37","map3k15"
"38","myoc"
