GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0030198	4.22539920055278e-08	11.1239802490339	1.2943143812709	11	559	extracellular matrix organization	0.870865748637517	3.91448646080357e-06
GO:0043062	4.22539920055278e-08	11.1239802490339	1.2943143812709	11	559	extracellular structure organization	0.870865748637517	3.91448646080357e-06
GO:0045229	4.38188782925773e-08	11.0823529411765	1.29894520195524	11	561	external encapsulating structure organization	0.864667435601692	3.91448646080357e-06
GO:0071230	8.64615413179257e-08	32.991452991453	0.222279392847955	6	96	cellular response to amino acid stimulus	16.1061197916667	5.79292326830102e-06
GO:0071229	1.74815438995005e-07	29.0920060331825	0.250064316953949	6	108	cellular response to acid chemical	12.7258230452675	9.37010753013228e-06
GO:0060351	7.07048292883325e-07	35.5183823529412	0.169024954978132	5	73	cartilage development involved in endochondral bone morphogenesis	23.2116719834866	3.15814904154552e-05
GO:0043200	1.97212143070362e-06	18.8466438020578	0.37741188577309	6	163	response to amino acid	5.58673642214611	7.5504077632653e-05
GO:0001101	6.24235532521801e-06	15.302510960542	0.460766658091073	6	199	response to acid chemical	3.74823868084139	0.000191796329223034
GO:0060350	6.44092150375859e-06	22.1112385321101	0.263956779006946	5	114	endochondral bone morphogenesis	9.51792859341336	0.000191796329223034
GO:0060349	3.85381405102353e-05	15.0234375	0.382042706457422	5	165	bone morphogenesis	4.54343434343434	0.00103282216567431
GO:0001501	4.9952138882603e-05	6.22196261682243	1.75508103936198	9	758	skeletal system development	0.387512966353618	0.0012170157473216
GO:0060348	8.12503982428588e-05	9.53146853146853	0.727038847440185	6	314	bone development	1.50547689561443	0.00181459222742385
GO:0007584	0.000138249475786926	8.61990950226244	0.801131978389503	6	346	response to nutrient	1.23988439306358	0.00262223714969153
GO:0032355	0.000143809869601001	11.2541079812207	0.50475945459223	5	218	response to estradiol	2.60279016917768	0.00262223714969153
GO:0001503	0.00014765251862669	6.02252252252252	1.57447903267301	8	680	ossification	0.428010380622837	0.00262223714969153
GO:0033273	0.000156551471623375	11.0443548387097	0.514021095960895	5	222	response to vitamin	2.50984092200308	0.00262223714969153
GO:0048705	0.000174099952642083	8.24918743228602	0.835863133521996	6	361	skeletal system morphogenesis	1.13898757682952	0.00274463454753402
GO:0031667	0.000206161810558608	5.72207334813567	1.65320298430666	8	714	response to nutrient levels	0.388218032310964	0.00306952029053927
GO:0009887	0.000280475505616057	3.93046174288562	3.82968870594289	12	1654	animal organ morphogenesis	0.108515650016303	0.00391814909154498
GO:0016043	0.000305417136862067	2.97498396407954	18.1180859274505	30	7825	cellular component organization	0.0121208953852749	0.00391814909154498
