GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,enrichment,padj
GO:0050778,0.000304145,6.519732206,1.357859532,7,910,positive regulation of immune response,0.209120879,0.04410105
GO:0050776,0.001158261,5.141266779,1.698070491,7,1138,regulation of immune response,0.133719781,0.083973921
GO:0002684,0.001968291,4.661363636,1.860715205,7,1247,positive regulation of immune system process,0.111364629,0.095134071
GO:0045087,0.002905699,4.91015677,1.469771032,6,985,innate immune response,0.152989255,0.105331578
GO:0002253,0.004090913,5.383529276,1.086287625,5,728,activation of immune response,0.233393838,0.118636468
GO:0048584,0.006337388,3.064993708,4.258605608,10,2854,positive regulation of response to stimulus,0.030372057,0.141577644
GO:0098542,0.007205812,4.029329403,1.769693851,6,1186,defense response to other organism,0.105527102,0.141577644
GO:0002252,0.008340548,3.898896074,1.824903525,6,1223,immune effector process,0.099238565,0.141577644
GO:0019221,0.008787578,4.444044879,1.304142012,5,874,cytokine-mediated signaling pathway,0.161930732,0.141577644
GO:0071345,0.012483575,3.55407752,1.989040391,6,1333,cellular response to cytokine stimulus,0.083535888,0.174595201
GO:0044092,0.013553953,3.48630644,2.024852071,6,1357,negative regulation of molecular function,0.080607174,0.174595201
GO:0002682,0.015018423,3.106463974,2.70079753,7,1810,regulation of immune system process,0.052859498,0.174595201
GO:0065009,0.017160016,2.506455193,5.69256496,11,3815,regulation of molecular function,0.018697595,0.174595201
GO:0034097,0.017484289,3.28177199,2.141240031,6,1435,response to cytokine,0.072082458,0.174595201
GO:0006955,0.018061572,2.795997299,3.484178029,8,2335,immune response,0.036299309,0.174595201
GO:0048583,0.024039717,2.27671924,7.635348598,13,5117,regulation of response to stimulus,0.012282723,0.198949278
GO:0051707,0.025852174,2.982202044,2.338204271,6,1567,response to other organism,0.060449874,0.198949278
GO:0045055,0.025998873,3.325684732,1.714484178,5,1149,regulated exocytosis,0.093694066,0.198949278
GO:0043207,0.026069216,2.975981319,2.342680731,6,1570,response to external biotic stimulus,0.060219076,0.198949278
GO:0009607,0.029633495,2.881548053,2.412811937,6,1617,response to biotic stimulus,0.056769275,0.214842836
GO:0006887,0.040892795,2.920859133,1.935322871,5,1297,exocytosis,0.073531291,0.281200858
