GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0050778	0.000304145171476555	6.51973220577872	1.35785953177258	7	910	positive regulation of immune response	0.209120879120879	0.0441010498641005
GO:0050776	0.00115826098199306	5.14126677919781	1.69807049138153	7	1138	regulation of immune response	0.133719780949528	0.0839739211944967
GO:0002684	0.00196829113111001	4.66136363636364	1.86071520452791	7	1247	positive regulation of immune system process	0.111364628757776	0.095134071336984
GO:0045087	0.00290569869850915	4.91015677044011	1.46977103164394	6	985	innate immune response	0.1529892550697	0.105331577820957
GO:0002253	0.00409091269611707	5.38352927616413	1.08628762541806	5	728	activation of immune response	0.233393838304553	0.118636468187395
GO:0048584	0.0063373879780282	3.06499370789844	4.25860560843838	10	2854	positive regulation of response to stimulus	0.0303720567747157	0.141577643831597
GO:0098542	0.00720581174129918	4.02932940309506	1.7696938512992	6	1186	defense response to other organism	0.105527102309405	0.141577643831597
GO:0002252	0.0083405478423917	3.89889607373799	1.82490352456908	6	1223	immune effector process	0.0992385652748593	0.141577643831597
GO:0019221	0.0087875778929957	4.44404487917146	1.30414201183432	5	874	cytokine-mediated signaling pathway	0.161930732213082	0.141577643831597
GO:0071345	0.0124835752955541	3.55407752039579	1.98904039104708	6	1333	cellular response to cytokine stimulus	0.0835358877228684	0.174595200674344
GO:0044092	0.013553953137269	3.48630643967432	2.02485207100592	6	1357	negative regulation of molecular function	0.0806071740243689	0.174595200674344
GO:0002682	0.0150184228650181	3.10646397418444	2.70079753022897	7	1810	regulation of immune system process	0.0528594975733341	0.174595200674344
GO:0065009	0.0171600155991535	2.50645519336371	5.69256496012349	11	3815	regulation of molecular function	0.018697594684705	0.174595200674344
GO:0034097	0.017484288883776	3.28177199014209	2.14124003087214	6	1435	response to cytokine	0.072082458206364	0.174595200674344
GO:0006955	0.0180615724835529	2.79599729879059	3.48417802932853	8	2335	immune response	0.0362993089977028	0.174595200674344
GO:0048583	0.024039717005114	2.27671923981191	7.6353485978904	13	5117	regulation of response to stimulus	0.012282723034176	0.198949277948216
GO:0051707	0.02585217382379	2.9822020443974	2.33820427064574	6	1567	response to other organism	0.0604498737318717	0.198949277948216
GO:0045055	0.0259988727527028	3.32568473193473	1.71448417802933	5	1149	regulated exocytosis	0.0936940662823312	0.198949277948216
GO:0043207	0.0260692157311456	2.97598131880351	2.3426807306406	6	1570	response to external biotic stimulus	0.0602190758245771	0.198949277948216
GO:0009607	0.0296334946511164	2.88154805278925	2.41281193722665	6	1617	response to biotic stimulus	0.0567692754281676	0.214842836220594
GO:0006887	0.0408927945966018	2.92085913312693	1.93532287110882	5	1297	exocytosis	0.0735312912961469	0.281200858051642
GO:0043933	0.0433654008178367	2.31713590545707	4.10043735528685	8	2748	protein-containing complex organization	0.0262082891037335	0.281200858051642
GO:0044419	0.0446042740357777	2.59120636864666	2.65752508361204	6	1781	biological process involved in interspecies interaction between organisms	0.0467956573236556	0.281200858051642
GO:0050790	0.0478152957265687	2.26593695122159	4.17952148186262	8	2801	regulation of catalytic activity	0.0252258558649618	0.288005443244813
GO:0006952	0.0496561109042781	2.51763470624732	2.7276562901981	6	1828	defense response	0.0444202509947378	0.288005443244813
GO:0006355	0.059551937196854	2.02391747158158	5.99099562644713	10	4015	regulation of DNA-templated transcription	0.015346559989082	0.325451373598723
GO:2001141	0.0606012902563139	2.01629914966655	6.00890146642655	10	4027	regulation of RNA biosynthetic process	0.0152552342707336	0.325451373598723
GO:0036211	0.0639660661067306	1.95359957708574	6.91613069205042	11	4635	protein modification process	0.0126670460324276	0.331252842338426
GO:0060255	0.0761183187687479	1.82159255799161	10.7464882943144	15	7202	regulation of macromolecule metabolic process	0.00715430029965603	0.345709732308918
GO:0051171	0.076856259751366	1.82348046676814	9.82433753537432	14	6584	regulation of nitrogen compound metabolic process	0.00798970109060737	0.345709732308918
GO:0006351	0.0786288031552656	1.9031999599379	6.28793413943916	10	4214	DNA-templated transcription	0.013931345984603	0.345709732308918
GO:0043412	0.0822856362585113	1.85032978183663	7.20560843838436	11	4829	macromolecule modification	0.0116697194389817	0.345709732308918
GO:0032774	0.082469085729135	1.88257199602781	6.34165165937741	10	4250	RNA biosynthetic process	0.0136963321799308	0.345709732308918
GO:0019222	0.0831028147513513	1.790266399424	11.8208386930795	16	7922	regulation of metabolic process	0.00630713965072611	0.345709732308918
GO:0031323	0.0834471767642216	1.78817022614299	10.8718291741703	15	7286	regulation of cellular metabolic process	0.00699028794821123	0.345709732308918
GO:0070887	0.0918131961814891	1.87747867803838	5.6119886802161	9	3761	cellular response to chemical stimulus	0.0157404804101711	0.360487376356829
GO:0042221	0.091986433966915	1.80470111586429	7.34139439156162	11	4920	response to chemical	0.0112420269019763	0.360487376356829
GO:0051252	0.0950805582841046	1.82111795231586	6.50728067918703	10	4361	regulation of RNA metabolic process	0.0130079831968343	0.362807393452504
GO:0044237	0.101604889110471	1.81273412318146	17.1597633136095	21	11500	cellular metabolic process	0.00392831001890359	0.375616888444833
GO:0080090	0.105327701589243	1.70655395229073	10.2585541548752	14	6875	regulation of primary metabolic process	0.00732765090909091	0.375616888444833
GO:0008152	0.110029940518812	1.88894871794872	19.432312837664	23	13023	metabolic process	0.00335496424028536	0.375616888444833
GO:0016192	0.110541243042273	1.90611082001572	4.15266272189349	7	2783	vesicle-mediated transport	0.0223590716646381	0.375616888444833
GO:0051172	0.1151224872149	1.88389962391389	4.1944430151788	7	2811	negative regulation of nitrogen compound metabolic process	0.0219158585832124	0.375616888444833
GO:0002376	0.11595831154892	1.81665817337637	5.03154103421662	8	3372	immune system process	0.0174059205036523	0.375616888444833
GO:0010605	0.116570758482879	1.8140481845945	5.03750964754309	8	3376	negative regulation of macromolecule metabolic process	0.0173646986815211	0.375616888444833
GO:0016070	0.129564549164329	1.66425769591541	7.79351685104194	11	5223	RNA metabolic process	0.00997550232262205	0.408409991931036
GO:0019219	0.134488210930069	1.67159344455393	6.94895806534602	10	4657	regulation of nucleobase-containing compound metabolic process	0.0114069533309028	0.412182905470555
GO:0019538	0.14178274745612	1.6009968620848	9.76763570877283	13	6546	protein metabolic process	0.00750539391772008	0.412182905470555
GO:0034654	0.148447383473129	1.62892460101509	7.0862361718549	10	4749	nucleobase-containing compound biosynthetic process	0.010969271894237	0.412182905470555
GO:0006796	0.150268865218201	1.68868980963046	5.34190892719321	8	3580	phosphate-containing compound metabolic process	0.015442089822415	0.412182905470555
GO:0043687	0.154057402986137	1.89625629012667	2.87388731669668	5	1926	post-translational protein modification	0.0333456800906651	0.412182905470555
GO:0050896	0.154474683606718	1.59425701288855	15.7735528685361	19	10571	response to stimulus	0.00420633246416309	0.412182905470555
GO:0071310	0.15608017351367	1.71897963468402	4.53316182145614	7	3038	cellular response to organic substance	0.0187631020893566	0.412182905470555
GO:0048519	0.15616085213934	1.56353601567209	9.92132750192951	13	6649	negative regulation of biological process	0.00727466212293681	0.412182905470555
GO:0006793	0.156345240006073	1.66917571243694	5.39264214046823	8	3614	phosphorus metabolic process	0.0151529025810895	0.412182905470555
GO:0018130	0.160253280114289	1.59578772403687	7.19665551839465	10	4823	heterocycle biosynthetic process	0.0106352478828703	0.41307139185909
GO:0019438	0.162379788523918	1.59007132418697	7.21605351170569	10	4836	aromatic compound biosynthetic process	0.0105781459839732	0.41307139185909
GO:0009892	0.172659614305596	1.6203367107536	5.52395163365063	8	3702	negative regulation of metabolic process	0.0144410675263944	0.4196179075711
GO:0010558	0.178071474955975	1.70818324793263	3.84527913558014	6	2577	negative regulation of macromolecule biosynthetic process	0.0223513908972675	0.4196179075711
GO:0032940	0.179220815342206	1.79113089350478	3.02459480319012	5	2027	secretion by cell	0.0301054170279909	0.4196179075711
GO:0048523	0.185320365285285	1.50424235521895	9.26627218934911	12	6210	negative regulation of cellular process	0.00769804040545481	0.4196179075711
GO:0031327	0.191284817787501	1.66547548143736	3.93033187548238	6	2634	negative regulation of cellular biosynthetic process	0.0213944856381332	0.4196179075711
GO:0010468	0.194539037913567	1.49569688715185	8.41574479032673	11	5640	regulation of gene expression	0.00855493310195664	0.4196179075711
GO:0050789	0.194658218841994	1.62685946369152	20.3634165165938	23	13647	regulation of biological process	0.00305517149592225	0.4196179075711
