"","animalID","sex","cohort","age_days","harvest_date","hatch_date","tissue","tissue_grind_date","RNA_extract_date","RNA_batch","RNA_extractor","RNAID","cDNA_batch","plate_well","sampleNames","lib","censored","censor_code","notes"
"A1_1","J9","F","2",155,"8/16/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA352",1,"A1","A1","A1_1",NA,NA,NA
"A1_2","A01","M","2",78,"5/31/22","3/14/22","Bone","4/19/23","4/22/23","Bone_1","EC","RNA572",2,"A1","A1","A1_2",NA,NA,NA
"A10_1","P_1B_10","M","1B",133,"1/31/22","9/20/21","Kidney",NA,"3/4/23","Kidney_1","JC","R258",1,"A10","A10","A10_1",NA,NA,NA
"A10_2","J_1A_14","M","1A",75,"11/22/21","9/8/21","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA423",2,"A10","A10","A10_2",NA,NA,NA
"A11_1","J_1A_22","M","1A",47,"10/25/21","9/8/21","Kidney",NA,"3/4/23","Kidney_2","JC","R274",1,"A11","A11","A11_1",NA,NA,NA
"A11_2","D_06","F","2",52,"5/5/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA439",2,"A11","A11","A11_2",NA,NA,NA
"A12_1","J_1B_4","M","1B",161,"2/28/22","9/20/21","Kidney",NA,"3/4/23","Kidney_2","EC","R290",1,"A12","A12","A12_1",NA,NA,NA
"A12_2","J_1B_4","M","1B",161,"2/28/22","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA455",2,"A12","A12","A12_2",NA,NA,NA
"A13_1","D12","M","2",134,"7/26/22","3/14/22","Muscle",NA,"3/15/23","Muscle_1","EC","RNA462",1,"A13","A13","A13_1",NA,NA,NA
"A13_2","D05","M","2",162,"8/23/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R187",2,"A13","A13","A13_2",NA,NA,NA
"A14_1","P_1B_8","M","1B",147,"2/14/22","9/20/21","Muscle",NA,"3/15/23","Muscle_1","EC","RNA478",1,"A14","A14","A14_1",NA,NA,NA
"A14_2","P_1A_10","M","1A",103,"12/20/21","9/8/21","Heart",NA,"3/3/23","Heart_1","JC","R203",2,"A14","A14","A14_2",NA,NA,NA
"A15_1","E_01","M","2",52,"5/5/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA494",1,"A15","A15","A15_1",NA,NA,NA
"A15_2","J_1A_25","M","1A",103,"12/20/21","9/8/21","Heart",NA,"3/3/23","Heart_1","JC","R219",2,"A15","A15","A15_2",NA,NA,NA
"A16_1","P_1A_2","F","1A",103,"12/20/21","9/8/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA510",1,"A16","A16","A16_1",NA,NA,NA
"A17_1","C04","F","2",134,"7/26/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R77",1,"A17","A17","A17_1",NA,NA,NA
"A17_2","I06","F","2",78,"5/31/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","EC","RNA297",2,"A17","A17","A17_2",NA,NA,NA
"A18_1","J_1B_4","M","1B",161,"2/28/22","9/20/21","Skin",NA,"2/8/23","Skin_1","IG","R93",1,"A18","A18","A18_1",NA,NA,NA
"A18_2","P_1A_3","M","1A",152,"2/7/22","9/8/21","Spleen",NA,"3/6/23","Spleen_1","EC","RNA313",2,"A18","A18","A18_2",NA,NA,NA
"A19_1","I03","M","2",162,"8/23/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R109",1,"A19","A19","A19_1",NA,NA,NA
"A19_2","C1","F","2",155,"8/16/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","JC","RNA329",2,"A19","A19","A19_2",NA,NA,NA
"A2_1","P_1B_2","M","1B",133,"1/31/22","9/20/21","Gut",NA,"3/8/23","Gut_1","EC","RNA368",1,"A2","A2","A2_1",NA,NA,NA
"A2_2","P_1B_10","M","1B",133,"1/31/22","9/20/21","Bone","4/19/23","4/22/23","Bone_2","EC","RNA590",2,"A2","A2","A2_2",NA,NA,NA
"A20_1","J_1B_11","M","1B",161,"2/28/22","9/20/21","Skin",NA,"2/8/23","Skin_2","EC","R125",1,"A20","A20","A20_1",NA,NA,NA
"A20_2","J_1A_22","M","1A",47,"10/25/21","9/8/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA345",2,"A20","A20","A20_2",NA,NA,NA
"A21_1","A01","M","2",78,"5/31/22","3/14/22","Testis",NA,"2/10/23","Testis_1","EC","132",1,"A21","A21","A21_1",NA,NA,NA
"A21_2","D05","M","2",162,"8/23/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R23",2,"A21","A21","A21_2",NA,NA,NA
"A22_2","J_1A_1","M","1A",152,"2/7/22","9/8/21","Brain",NA,"1/31/23","Brain_1","EC","R39",2,"A22","A22","A22_2",NA,NA,NA
"A23_1","E02","F","2",78,"5/31/22","3/14/22","Ovary",NA,"2/24/23","Ovary_2","EC","164",1,"A23","A23","A23_1",NA,NA,NA
"A23_2","I06","F","2",78,"5/31/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R55",2,"A23","A23","A23_2",NA,NA,NA
"A24_1","J_1A_13","M","1A",75,"11/22/21","9/8/21","Testis",NA,"2/24/23","Testis_2","JC","180",1,"A24","A24","A24_1",NA,NA,NA
"A24_2","J_1A_25","M","1A",103,"12/20/21","9/8/21","Brain",NA,"2/1/23","Brain_2","IG","R71",2,"A24","A24","A24_2",NA,NA,NA
"A3_1","I05","F","2",134,"7/26/22","3/14/22","Gut",NA,"3/8/23","Gut_1","JC","RNA384",1,"A3","A3","A3_1",NA,NA,NA
"A3_2","J05","F","2",102,"6/24/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA606",2,"A3","A3","A3_2",NA,NA,NA
