gtf_gene_id,gtf_gene_name,ncbi_gene_id,ensembl_gene_id,atlas_gene
LOC139071432,LOC139071432,139071432,,
LOC139071438,LOC139071438,139071438,,
LOC139072265,LOC139072265,139072265,,
LOC107385520,LOC107385520,107385520,,
LOC129157067,LOC129157067,129157067,,
LOC139072266,LOC139072266,139072266,,
LOC139070601,LOC139070601,139070601,,
LOC129164336,LOC129164336,129164336,,
LOC139072245,LOC139072245,139072245,,
LOC139063175,LOC139063175,139063175,,
LOC139064302,LOC139064302,139064302,,
LOC139072279,LOC139072279,139072279,,
LOC139066147,LOC139066147,139066147,,
LOC139066325,LOC139066325,139066325,,
LOC139071441,LOC139071441,139071441,,
LOC139067072,LOC139067072,139067072,,
LOC139072269,LOC139072269,139072269,,
LOC129159217,LOC129159217,129159217,,
LOC139072271,LOC139072271,139072271,,
LOC139071443,LOC139071443,139071443,,
LOC139071444,LOC139071444,139071444,,
LOC139068889,LOC139068889,139068889,,
LOC139069574,LOC139069574,139069574,,
LOC139069678,LOC139069678,139069678,,
LOC139069745,LOC139069745,139069745,,
LOC139069880,LOC139069880,139069880,,
LOC139070064,LOC139070064,139070064,,
LOC139071638,LOC139071638,139071638,,
LOC139071498,LOC139071498,139071498,,
LOC139071724,LOC139071724,139071724,,
LOC139071563,LOC139071563,139071563,,
LOC129160216,LOC129160216,129160216,,
LOC129160091,LOC129160091,129160091,,
LOC107372990,LOC107372990,107372990,,
LOC107374007,LOC107374007,107374007,,
LOC129160768,LOC129160768,129160768,,
LOC107373397,LOC107373397,107373397,,
LOC139071445,LOC139071445,139071445,,
LOC139070783,LOC139070783,139070783,,
LOC139070785,LOC139070785,139070785,,
LOC139061825,LOC139061825,139061825,,
LOC139061700,LOC139061700,139061700,,
LOC139062201,LOC139062201,139062201,,
LOC139070786,LOC139070786,139070786,,
acsl4a,acsl4a,107384735,,
nxt2,nxt2,107384736,,
psmd10,psmd10,107384737,,
xiap,xiap,107384738,,
stag2b,stag2b,107384733,,
LOC139063719,LOC139063719,139063719,,
efnb1,efnb1,107375977,ENSNFUG00015011946,efnb1
LOC139063402,LOC139063402,139063402,,
LOC139063644,LOC139063644,139063644,,
LOC129162026,LOC129162026,129162026,,
LOC129162032,LOC129162032,129162032,,
LOC107378241,LOC107378241,107378241,ENSNFUG00015011905,LOC107378241
LOC107379485,LOC107379485,107379485,ENSNFUG00015011568,LOC107379485
zc4h2,zc4h2,107386844,ENSNFUG00015011515,zc4h2
LOC107380808,LOC107380808,107380808,ENSNFUG00015011357,
asb12b,asb12b,107385579,ENSNFUG00015011500,LOC107385579
LOC129161924,LOC129161924,129161924,,
LOC139072247,LOC139072247,139072247,,
LOC139070789,LOC139070789,139070789,,
LOC139071449,LOC139071449,139071449,,
LOC139066172,LOC139066172,139066172,,
tenm1,tenm1,107387623,ENSNFUG00015005353,tenm1
LOC139066346,LOC139066346,139066346,,
LOC139066357,LOC139066357,139066357,,
sh2d1ab,sh2d1ab,107388858,,
LOC107389596,LOC107389596,107389596,,
apool,apool,107390355,ENSNFUG00015004561,apool
si:ch211-26b3.4,si:ch211-26b3.4,107391624,ENSNFUG00015004180,LOC107391624
hdx,hdx,107393424,ENSNFUG00015004104,hdx
rps6kal,rps6kal,107394670,,
LOC107383029,LOC107383029,107383029,,
LOC139061497,LOC139061497,139061497,,
LOC107397113,LOC107397113,107397113,ENSNFUG00015002561,LOC107397113
LOC107372316,LOC107372316,107372316,,
si:dkey-237j10.2,si:dkey-237j10.2,107373523,,
sh3bgrl,sh3bgrl,107374423,ENSNFUG00015002533,sh3bgrl
LOC107374700,LOC107374700,107374700,,
LOC107374845,LOC107374845,107374845,,
tent5d,tent5d,107374765,,
LOC139070790,LOC139070790,139070790,,
tbx22,tbx22,107374963,,
LOC107375096,LOC107375096,107375096,ENSNFUG00015002514,itm2a
gpr174,gpr174,107375307,ENSNFUG00015002507,gpr174
p2ry10,p2ry10,107375177,,
lpar4,lpar4,107375389,,
cysltr1,cysltr1,107375567,ENSNFUG00015002490,LOC107375567
LOC129161616,LOC129161616,129161616,,
LOC107375731,LOC107375731,107375731,ENSNFUG00015002478,LOC107375731
LOC139068864,LOC139068864,139068864,,
polr1d,polr1d,107375796,,
sybl1,sybl1,107376086,ENSNFUG00015002463,
mtus1a,mtus1a,107375862,,
pdgfrl,pdgfrl,107376171,ENSNFUG00015002432,pdgfrl
slc7a2,slc7a2,107376428,ENSNFUG00015002400,slc7a2
mtmr7a,mtmr7a,107376614,ENSNFUG00015002346,
cnot7,cnot7,107376675,,
zdhhc2,zdhhc2,107376816,ENSNFUG00015002127,zdhhc2
micu3b,micu3b,107376955,ENSNFUG00015002127,zdhhc2
fgf20b,fgf20b,107377308,ENSNFUG00015002324,LOC107377308
wu:fb74b10,wu:fb74b10,107377456,,
her11,her11,107383087,,
her5,her5,107383157,ENSNFUG00015002048,
smim19,smim19,107377527,ENSNFUG00015002046,smim19
pld7,pld7,107377598,ENSNFUG00015002019,LOC107377598
gpr137,gpr137,107377852,ENSNFUG00015002014,LOC107377852
syvn1,syvn1,107377924,,
smad5,smad5,107378051,ENSNFUG00015001992,LOC107378051
ap1ar,ap1ar,107378242,ENSNFUG00015001969,ap1ar
LOC107378415,LOC107378415,107378415,,
LOC107383231,LOC107383231,107383231,,
gabra4,gabra4,107378547,ENSNFUG00015001945,gabra4
LOC139069756,LOC139069756,139069756,,
LOC107378612,LOC107378612,107378612,,
guf1,guf1,107378735,ENSNFUG00015001648,guf1
pfdn6,pfdn6,107378873,ENSNFUG00015001589,pfdn6
mmgt1,mmgt1,107378806,ENSNFUG00015001579,mmgt1
ints6l,ints6l,107378941,ENSNFUG00015001325,ints6l
mospd1,mospd1,107379090,ENSNFUG00015001277,mospd1
pabir2,pabir2,107379017,ENSNFUG00015001252,LOC107379017
hprt1,hprt1,107379265,ENSNFUG00015001123,hprt1
phf6,phf6,107379348,ENSNFUG00015001073,phf6
cab39l1,cab39l1,107375067,,
LOC129161087,LOC129161087,129161087,,
gpc3,gpc3,107379575,,
LOC129161076,LOC129161076,129161076,,
gpc4,gpc4,107379649,ENSNFUG00015001011,LOC107379649
brd8b,brd8b,107379723,ENSNFUG00015000986,LOC107379723
LOC107379916,LOC107379916,107379916,ENSNFUG00015000983,LOC107379916
LOC107380003,LOC107380003,107380003,,
sting1,sting1,107380073,,
ppp3cb,ppp3cb,107380138,ENSNFUG00015000808,LOC107380138
ube2d2,ube2d2,107380321,ENSNFUG00015000733,ube2d2
zgc:110843,zgc:110843,107380706,ENSNFUG00015000711,
LOC107380447,LOC107380447,107380447,,
zgc:92242,zgc:92242,107380777,ENSNFUG00015000699,LOC107380777
psd2,psd2,107372317,,
purab,purab,139071452,,
nrg2b,nrg2b,107380938,,
LOC107381105,LOC107381105,107381105,,
eif1ad,eif1ad,107381184,ENSNFUG00015000622,eif1ad
ctsf,ctsf,107381272,ENSNFUG00015000508,LOC107381272
aup1,aup1,107381358,ENSNFUG00015000612,aup1
fnta,fnta,107381432,ENSNFUG00015000584,fnta
pigg,pigg,107381506,ENSNFUG00015000424,pigg
LOC129160896,LOC129160896,129160896,,
fam199x,fam199x,107381679,ENSNFUG00015000397,fam199x
LOC129160877,LOC129160877,129160877,,
commd5,commd5,107381875,,
LOC107381954,LOC107381954,107381954,ENSNFUG00015000299,LOC107381954
zgc:66433,zgc:66433,107382040,,
dcps,dcps,107382541,ENSNFUG00015000176,dcps
ids,ids,107382373,ENSNFUG00015000126,ids
aff2,aff2,107375231,,
LOC129160835,LOC129160835,129160835,,
LOC139070762,LOC139070762,139070762,,
LOC139070742,LOC139070742,139070742,,
LOC139070720,LOC139070720,139070720,,
fmr1,fmr1,107382613,ENSNFUG00015000047,fmr1
rab33a,rab33a,107382813,,
LOC107382745,LOC107382745,107382745,,
si:ch211-159i8.4,si:ch211-159i8.4,107382895,,
LOC129160806,LOC129160806,129160806,,
LOC139070628,LOC139070628,139070628,,
LOC107373079,LOC107373079,107373079,,
LOC139070246,LOC139070246,139070246,,
LOC139070684,LOC139070684,139070684,,
LOC139070171,LOC139070171,139070171,,
hdac3,hdac3,107374590,ENSNFUG00015010555,hdac3
LOC139070749,LOC139070749,139070749,,
LOC139071456,LOC139071456,139071456,,
LOC129163035,LOC129163035,129163035,,
LOC107372454,LOC107372454,107372454,,
LOC139061616,LOC139061616,139061616,,
LOC107372998,LOC107372998,107372998,,
LOC107395007,LOC107395007,107395007,,
LOC139070672,LOC139070672,139070672,,
fbxo7,fbxo7,107388023,,
kiaa0930,kiaa0930,107374005,,
nup50,nup50,107372914,,
zgc:113210,zgc:113210,107373196,,
phf21b,phf21b,107387975,,
LOC139070734,LOC139070734,139070734,,
LOC107382548,LOC107382548,107382548,,
kcna1b,kcna1b,107387962,ENSNFUG00015019226,
LOC107382537,LOC107382537,107382537,,
LOC139070984,LOC139070984,139070984,,
LOC107387941,LOC107387941,107387941,ENSNFUG00015019220,LOC107387941
LOC139071467,LOC139071467,139071467,,
LOC139070833,LOC139070833,139070833,,
LOC129161851,LOC129161851,129161851,,
atp6v1f,atp6v1f,107387918,ENSNFUG00015019207,atp6v1f
lamtor4,lamtor4,107387927,ENSNFUG00015019199,lamtor4
LOC107387912,LOC107387912,107387912,ENSNFUG00015019179,LOC107387912
gcc1,gcc1,107387897,,
dennd6b,dennd6b,107387905,ENSNFUG00015019037,dennd6b
lta4h,lta4h,107372836,ENSNFUG00015009842,lta4h
LOC139071459,LOC139071459,139071459,,
LOC139070629,LOC139070629,139070629,,
mical3b,mical3b,107374222,,
svopl,svopl,107374461,,
LOC139071548,LOC139071548,139071548,,
LOC139071589,LOC139071589,139071589,,
irf5,irf5,107395293,,
tnpo3,tnpo3,107395292,,
LOC129162208,LOC129162208,129162208,,
opn1sw1,opn1sw1,107374390,,
calua,calua,139071690,,
sco2,sco2,107374393,,
ncaph2,ncaph2,107372694,,
LOC139071725,LOC139071725,139071725,,
tspan12,tspan12,107395094,,
ing3,ing3,107395093,,
cped1,cped1,107372977,,
wnt16,wnt16,139072187,,
stab2,stab2,107387888,,
ovch1,ovch1,107387872,,
LOC107387851,LOC107387851,107387851,ENSNFUG00015013279,
socs2,socs2,107387837,,
cradd,cradd,107387830,,
ptpro,ptpro,107387820,,
eps8a,eps8a,107387784,,
dusp16,dusp16,107387814,,
crebl2,crebl2,107387776,,
gpr19,gpr19,107387770,,
tbk1,tbk1,107387745,ENSNFUG00015013019,tbk1
lrp6,lrp6,107387741,ENSNFUG00015012593,lrp6
mansc1,mansc1,107387733,,
LOC107387724,LOC107387724,107387724,,
pthlha,pthlha,107387713,,
rpl18a,rpl18a,107387705,ENSNFUG00015012549,rpl18a
LOC129163086,LOC129163086,129163086,,
xpot,xpot,107387679,ENSNFUG00015012528,xpot
rtcb,rtcb,107387696,ENSNFUG00015012511,rtcb
LOC107387689,LOC107387689,107387689,,
LOC107387671,LOC107387671,107387671,ENSNFUG00015012489,kcnmb4
ptprb,ptprb,107387665,ENSNFUG00015012458,ptprb
ptprr,ptprr,107387656,,
LOC107387648,LOC107387648,107387648,ENSNFUG00015012378,LOC107387648
si:dkey-119f1.1,si:dkey-119f1.1,107387640,,
LOC107387638,LOC107387638,107387638,ENSNFUG00015012363,trmt61b
rab21,rab21,107387637,ENSNFUG00015012349,rab21
LOC107387630,LOC107387630,107387630,,
LOC107387619,LOC107387619,107387619,ENSNFUG00015012316,myrfl
cct2,cct2,107387609,ENSNFUG00015012230,cct2
nots,nots,107387581,ENSNFUG00015012215,LOC107387581
LOC107387574,LOC107387574,107387574,ENSNFUG00015011708,best3
LOC129163028,LOC129163028,129163028,,
shank3b,shank3b,107373879,,
