ensembl_gene_id,atlas_gene
ENSNFUG00015010335,pdia4
ENSNFUG00015007938,dpp3
ENSNFUG00015004375,tcp11l2
ENSNFUG00015016298,pdia6
ENSNFUG00015017752,hsp90b1
ENSNFUG00015001451,hells
ENSNFUG00015010218,psmd13
ENSNFUG00015009448,uap1
ENSNFUG00015020297,gfm1
ENSNFUG00015004157,psma2
ENSNFUG00015004648,dmgdh
ENSNFUG00015024484,sardh
ENSNFUG00015024426,acacb
ENSNFUG00015024773,acly
ENSNFUG00015012465,arfgap1
ENSNFUG00015025275,syde2
ENSNFUG00015003076,rbmx
ENSNFUG00015016259,pcmtd1
ENSNFUG00015004359,fbxo32
ENSNFUG00015001453,macc1
ENSNFUG00015013564,psmd2
ENSNFUG00015005095,cnot6l
ENSNFUG00015002015,papss1
ENSNFUG00015008855,crebrf
ENSNFUG00015022250,ap2a1
ENSNFUG00015017164,psmb3
ENSNFUG00015021815,fam65c
ENSNFUG00015012681,gpatch2l
ENSNFUG00015016836,dhdds
ENSNFUG00015006067,manf
ENSNFUG00015006744,trmt2b
ENSNFUG00015004671,parp1
ENSNFUG00015000438,tmem100
ENSNFUG00015003184,smarca5
ENSNFUG00015021896,mrps25
ENSNFUG00015021659,hbp1
ENSNFUG00015004572,nelfa
ENSNFUG00015013264,kat7
ENSNFUG00015022082,copa
ENSNFUG00015017914,hbp1
ENSNFUG00015015916,klhl22
ENSNFUG00015008627,sec31a
ENSNFUG00015022075,gba
ENSNFUG00015009087,eepd1
ENSNFUG00015003571,xpnpep3
ENSNFUG00015005004,pgm3
ENSNFUG00015023905,tcea3
ENSNFUG00015010592,snrpf
ENSNFUG00015025313,psmd1
ENSNFUG00015020384,lig1
ENSNFUG00015006235,sdf2
ENSNFUG00015019333,psmd7
ENSNFUG00015002697,dedd2
ENSNFUG00015013879,agpat4
ENSNFUG00015005078,jmy
ENSNFUG00015017425,amd1
ENSNFUG00015000261,arhgef26
ENSNFUG00015004172,psmc4
ENSNFUG00015004831,psma3
ENSNFUG00015021101,ciao1
ENSNFUG00015002145,lrpprc
ENSNFUG00015004708,mcm6
ENSNFUG00015004860,nat9
ENSNFUG00015021721,prmt1
ENSNFUG00015025446,timm13
ENSNFUG00015021534,suco
ENSNFUG00015013919,hyou1
ENSNFUG00015002126,pold1
ENSNFUG00015018326,smarcad1
ENSNFUG00015013479,pdia3
ENSNFUG00015002329,rpa1
ENSNFUG00015015964,pus7l
ENSNFUG00015001713,poglut1
ENSNFUG00015009603,fbxo25
ENSNFUG00015008709,ebf1
ENSNFUG00015018918,sephs1
ENSNFUG00015012092,api5
ENSNFUG00015007421,prkcsh
ENSNFUG00015017206,hnrnpr
ENSNFUG00015015714,psma5
ENSNFUG00015009278,mcm2
ENSNFUG00015005772,oxnad1
ENSNFUG00015012052,prep
ENSNFUG00015001449,suclg1
ENSNFUG00015021569,pithd1
ENSNFUG00015003230,xpo5
ENSNFUG00015022647,bsdc1
ENSNFUG00015018027,fasn
ENSNFUG00015015820,sart3
ENSNFUG00015000651,cluh
ENSNFUG00015020925,surf4
ENSNFUG00015024903,zranb1
ENSNFUG00015022672,cnot4
ENSNFUG00015001955,creld2
ENSNFUG00015003121,ppm1g
ENSNFUG00015024056,mxd1
ENSNFUG00015011128,rab8b
ENSNFUG00015020230,gnl2
ENSNFUG00015023184,whamm
ENSNFUG00015018238,copb2
ENSNFUG00015004644,ankib1
ENSNFUG00015005512,kpna5
ENSNFUG00015013532,gfi1b
ENSNFUG00015016038,kctd9
ENSNFUG00015004364,cebpa
ENSNFUG00015003243,nr3c1
ENSNFUG00015011165,ube3a
ENSNFUG00015012475,tbpl2
ENSNFUG00015001104,lpin1
ENSNFUG00015021705,tubgcp5
ENSNFUG00015006450,pigl
ENSNFUG00015014877,stard7
ENSNFUG00015002081,ncoa1
ENSNFUG00015021050,hspa5
ENSNFUG00015002841,epor
ENSNFUG00015010411,egln3
ENSNFUG00015004686,bcl9l
ENSNFUG00015021758,ppil1
ENSNFUG00015004536,tmem147
ENSNFUG00015024938,cpamd8
ENSNFUG00015016122,spata20
ENSNFUG00015004130,nup88
ENSNFUG00015019773,prrc2c
ENSNFUG00015022262,dnajb11
ENSNFUG00015007139,ddost
ENSNFUG00015017248,uhrf1
ENSNFUG00015021837,fam134a
ENSNFUG00015004961,ctso
ENSNFUG00015021526,mysm1
ENSNFUG00015016420,hnrnpk
