go_id	Evidence	gene_id
GO:0016020	ISO	LOC107395014
GO:0016021	ISO	LOC107395014
GO:0005575	ISO	LOC107393889
GO:0003674	ISO	LOC107393889
GO:0008089	ISO	LOC107389740
GO:0005739	ISO	LOC107389740
GO:0016020	ISO	LOC107389740
GO:0016021	ISO	LOC107389740
GO:1904115	ISO	LOC107389740
GO:0005634	ISO	kdm5a
GO:0006338	ISO	kdm5a
GO:0046872	ISO	kdm5a
GO:0005634	ISO	kdm5a
GO:0035097	ISO	kdm5a
GO:0032452	ISO	kdm5a
GO:0034647	ISO	kdm5a
GO:0016577	ISO	kdm5a
GO:0034721	ISO	kdm5a
GO:0008746	ISO	LOC107381730
GO:0016491	ISO	LOC107381730
GO:1902600	ISO	LOC107381730
GO:0055114	ISO	LOC107381730
GO:0016020	ISO	LOC107381730
GO:0016021	ISO	LOC107381730
GO:0005739	ISO	LOC107381730
GO:0051287	ISO	LOC107381730
GO:0050661	ISO	LOC107381730
GO:0008746	ISO	LOC107381730
GO:0006740	ISO	LOC107381730
GO:0005634	ISO	fam212b
GO:0019901	ISO	fam212b
GO:0030291	ISO	fam212b
GO:0030291	ISO	fam212b
GO:0071901	ISO	fam212b
GO:0043066	ISO	mien1
GO:0051491	ISO	mien1
GO:0004888	ISO	pth2r
GO:0007166	ISO	pth2r
GO:0016020	ISO	pth2r
GO:0004930	ISO	pth2r
GO:0016021	ISO	pth2r
GO:0007186	ISO	pth2r
GO:0007165	ISO	pth2r
GO:0017046	ISO	pth2r
GO:0008528	ISO	pth2r
GO:0001653	ISO	pth2r
GO:0004991	ISO	pth2r
GO:0004991	ISO	pth2r
GO:0007189	ISO	pth2r
GO:0007399	ISO	LOC107385607
GO:0007264	ISO	LOC107391060
GO:0005085	ISO	LOC107391060
GO:0005515	ISO	LOC107391060
GO:0005096	ISO	LOC107391060
GO:0043547	ISO	LOC107391060
GO:0009266	ISO	LOC107390554
GO:0009416	ISO	LOC107390554
GO:0045892	ISO	LOC107390554
GO:0005923	ISO	LOC107392671
GO:0005198	ISO	LOC107392671
GO:0016021	ISO	LOC107392671
GO:0016020	ISO	LOC107392671
GO:0005886	ISO	LOC107392671
GO:0030054	ISO	LOC107392671
GO:0060322	ISO	LOC107392671
GO:0060322	ISO	LOC107392671
GO:0006897	ISO	LOC107381200
GO:0005509	ISO	LOC107381200
GO:0005085	ISO	LOC107381200
GO:0005515	ISO	LOC107381200
GO:0016020	ISO	LOC107372396
GO:0016021	ISO	LOC107372396
GO:0005509	ISO	LOC107376438
