tax_id,GeneID,Ensembl_gene_identifier,RNA_nucleotide_accession.version,Ensembl_rna_identifier,protein_accession.version,Ensembl_protein_identifier
105023,7256389,ENSNFUG00015000011,-,-,YP_002456257.1,ENSNFUP00015000003.1
105023,7256390,ENSNFUG00015000007,-,-,YP_002456256.1,ENSNFUP00015000002.1
105023,7256391,ENSNFUG00015000017,-,-,YP_002456258.1,ENSNFUP00015000004.1
105023,7256392,ENSNFUG00015000028,-,-,YP_002456264.1,ENSNFUP00015000010.1
105023,7256393,ENSNFUG00015000033,-,-,YP_002456266.1,ENSNFUP00015000012.1
105023,7256394,ENSNFUG00015000029,-,-,YP_002456265.1,ENSNFUP00015000011.1
105023,7256395,ENSNFUG00015000034,-,-,YP_002456267.1,ENSNFUP00015000013.1
105023,7256396,ENSNFUG00015000036,-,-,YP_002456268.1,ENSNFUP00015000014.1
105023,7256397,ENSNFUG00015000026,-,-,YP_002456263.1,ENSNFUP00015000009.1
105023,7256398,ENSNFUG00015000022,-,-,YP_002456260.1,ENSNFUP00015000006.1
105023,7256399,ENSNFUG00015000020,-,-,YP_002456259.1,ENSNFUP00015000005.1
105023,7256400,ENSNFUG00015000024,-,-,YP_002456262.1,ENSNFUP00015000008.1
105023,7256401,ENSNFUG00015000023,-,-,YP_002456261.1,ENSNFUP00015000007.1
105023,64988109,ENSNFUG00015000008,-,-,-,-
105023,64988110,ENSNFUG00015000012,-,-,-,-
105023,64988111,ENSNFUG00015000027,-,-,-,-
105023,64988112,ENSNFUG00015000030,-,-,-,-
105023,64988113,ENSNFUG00015000035,-,-,-,-
105023,64988114,ENSNFUG00015000037,-,-,-,-
105023,64988115,ENSNFUG00015000025,-,-,-,-
105023,64988116,ENSNFUG00015000021,-,-,-,-
105023,64988117,ENSNFUG00015000018,-,-,-,-
105023,64988118,ENSNFUG00015000003,-,-,-,-
105023,64988119,ENSNFUG00015000004,-,-,-,-
105023,64988120,ENSNFUG00015000005,-,-,-,-
105023,64988121,ENSNFUG00015000006,-,-,-,-
